bill_id,account_id,billing_month,bill_date,service_amount,tax_amount,adjustment_amount,total_due,load_timestamp
500026,300003,2025-03,2025-03-01,99.99,3.98,0.0,103.97,2025-03-04 00:00:00
500027,300003,2025-04,2025-04-01,99.99,4.5,0.0,104.49,2025-04-02 00:00:00
500028,300003,2025-05,2025-05-01,99.99,7.47,0.0,107.46,2025-05-04 00:00:00
500029,300003,2025-06,2025-06-01,99.99,7.4,0.0,107.39,2025-06-02 00:00:00
500030,300003,2025-07,2025-07-01,99.99,4.17,0.0,104.16,2025-07-04 00:00:00
500031,300003,2025-08,2025-08-01,99.99,6.49,9.99,116.47,2025-08-01 00:00:00
500032,300003,2025-09,2025-09-01,99.99,6.45,4.99,111.43,2025-09-03 00:00:00
500033,300003,2025-10,2025-10-01,99.99,3.98,-5.0,98.97,2025-10-02 00:00:00
500034,300003,2025-11,2025-11-01,99.99,4.33,-5.0,99.32,2025-11-02 00:00:00
500035,300003,2025-12,2025-12-01,99.99,6.89,0.0,106.88,2025-12-04 00:00:00
500036,300003,2026-01,2026-01-01,99.99,4.14,4.99,109.12,2026-01-03 00:00:00
500037,300003,2026-02,2026-02-01,99.99,7.07,0.0,107.06,2026-02-01 00:00:00
500038,300003,2026-03,2026-03-01,99.99,4.59,9.99,114.57,2026-03-04 00:00:00
500039,300003,2026-04,2026-04-01,99.99,5.4,0.0,105.39,2026-04-03 00:00:00
500040,300003,2026-05,2026-05-01,99.99,4.56,4.99,109.54,2026-05-02 00:00:00
500041,300003,2026-06,2026-06-01,99.99,4.5,0.0,104.49,2026-06-03 00:00:00
500042,300004,2025-01,2025-01-01,54.99,2.03,0.0,57.02,2025-01-03 00:00:00
500043,300004,2025-02,2025-02-01,54.99,3.21,0.0,58.2,2025-02-02 00:00:00
500044,300004,2025-03,2025-03-01,54.99,2.97,4.99,62.95,2025-03-03 00:00:00
500045,300004,2025-04,2025-04-01,54.99,3.71,9.99,68.69,2025-04-01 00:00:00
500046,300004,2025-05,2025-05-01,54.99,3.92,-5.0,53.91,2025-05-02 00:00:00
500047,300004,2025-06,2025-06-01,54.99,2.02,-5.0,52.01,2025-06-02 00:00:00
500048,300004,2025-07,2025-07-01,54.99,2.78,9.99,67.76,2025-07-02 00:00:00
500049,300004,2025-08,2025-08-01,54.99,2.04,4.99,62.02,2025-08-03 00:00:00
500050,300004,2025-09,2025-09-01,54.99,2.87,9.99,67.85,2025-09-01 00:00:00
500051,300004,2025-10,2025-10-01,54.99,3.01,4.99,62.99,2025-10-01 00:00:00
500052,300004,2025-11,2025-11-01,54.99,3.63,0.0,58.62,2025-11-04 00:00:00
500053,300004,2025-12,2025-12-01,54.99,2.63,9.99,67.61,2025-12-03 00:00:00
500054,300004,2026-01,2026-01-01,54.99,3.82,0.0,58.81,2026-01-04 00:00:00
500055,300004,2026-02,2026-02-01,54.99,3.64,0.0,58.63,2026-02-03 00:00:00
500056,300004,2026-03,2026-03-01,54.99,2.58,0.0,57.57,2026-03-02 00:00:00
500057,300004,2026-04,2026-04-01,54.99,3.6,-5.0,53.59,2026-04-02 00:00:00
500058,300004,2026-05,2026-05-01,54.99,4.08,0.0,59.07,2026-05-03 00:00:00
500059,300004,2026-06,2026-06-01,54.99,3.46,9.99,68.44,2026-06-01 00:00:00
500060,300005,2025-01,2025-01-01,79.99,4.2,0.0,84.19,2025-01-02 00:00:00
500061,300005,2025-02,2025-02-01,79.99,5.48,0.0,85.47,2025-02-01 00:00:00
500062,300005,2025-03,2025-03-01,79.99,2.89,0.0,82.88,2025-03-01 00:00:00
500063,300005,2025-04,2025-04-01,79.99,4.97,0.0,84.96,2025-04-01 00:00:00
500064,300005,2025-05,2025-05-01,79.99,4.64,0.0,84.63,2025-05-04 00:00:00
500065,300005,2025-06,2025-06-01,79.99,5.76,-5.0,80.75,2025-06-04 00:00:00
500066,300005,2025-07,2025-07-01,79.99,4.93,0.0,84.92,2025-07-03 00:00:00
500067,300005,2025-08,2025-08-01,79.99,5.36,0.0,85.35,2025-08-03 00:00:00
500068,300005,2025-09,2025-09-01,79.99,3.49,4.99,88.47,2025-09-01 00:00:00
500069,300005,2025-10,2025-10-01,79.99,5.01,0.0,85.0,2025-10-02 00:00:00
500070,300005,2025-11,2025-11-01,79.99,5.28,0.0,85.27,2025-11-04 00:00:00
500071,300005,2025-12,2025-12-01,79.99,2.82,-5.0,77.81,2025-12-03 00:00:00
500072,300005,2026-01,2026-01-01,79.99,4.19,4.99,89.17,2026-01-01 00:00:00
500073,300005,2026-02,2026-02-01,79.99,3.45,0.0,83.44,2026-02-03 00:00:00
500074,300005,2026-03,2026-03-01,79.99,5.66,0.0,85.65,2026-03-04 00:00:00
500075,300005,2026-04,2026-04-01,79.99,4.91,0.0,84.9,2026-04-04 00:00:00
500076,300005,2026-05,2026-05-01,79.99,4.03,9.99,94.01,2026-05-03 00:00:00
500077,300005,2026-06,2026-06-01,79.99,3.42,4.99,88.4,2026-06-04 00:00:00
500078,300006,2025-04,2025-04-01,179.99,12.11,4.99,197.09,2025-04-04 00:00:00
500079,300006,2025-05,2025-05-01,179.99,8.4,0.0,188.39,2025-05-01 00:00:00
500080,300006,2025-06,2025-06-01,179.99,11.25,0.0,191.24,2025-06-01 00:00:00
500081,300006,2025-07,2025-07-01,179.99,7.41,-5.0,182.4,2025-07-01 00:00:00
500082,300006,2025-08,2025-08-01,179.99,10.49,0.0,190.48,2025-08-04 00:00:00
500083,300006,2025-09,2025-09-01,179.99,12.19,0.0,192.18,2025-09-02 00:00:00
500084,300006,2025-10,2025-10-01,179.99,11.47,0.0,191.46,2025-10-03 00:00:00
500085,300006,2025-11,2025-11-01,179.99,9.18,9.99,199.16,2025-11-01 00:00:00
500086,300006,2025-12,2025-12-01,179.99,8.26,-5.0,183.25,2025-12-01 00:00:00
500087,300006,2026-01,2026-01-01,179.99,11.36,4.99,196.34,2026-01-04 00:00:00
500088,300006,2026-02,2026-02-01,179.99,9.21,0.0,189.2,2026-02-01 00:00:00
500089,300006,2026-03,2026-03-01,179.99,11.33,-5.0,186.32,2026-03-04 00:00:00
500090,300006,2026-04,2026-04-01,179.99,8.39,0.0,188.38,2026-04-01 00:00:00
500091,300006,2026-05,2026-05-01,179.99,7.05,-5.0,182.04,2026-05-03 00:00:00
500092,300006,2026-06,2026-06-01,179.99,8.3,4.99,193.28,2026-06-02 00:00:00
500093,300007,2025-01,2025-01-01,129.99,9.11,0.0,139.1,2025-01-02 00:00:00
500094,300007,2025-02,2025-02-01,129.99,5.31,0.0,135.3,2025-02-02 00:00:00
500095,300007,2025-03,2025-03-01,129.99,8.21,9.99,148.19,2025-03-03 00:00:00
500096,300007,2025-04,2025-04-01,129.99,9.62,-5.0,134.61,2025-04-02 00:00:00
500097,300007,2025-05,2025-05-01,129.99,5.13,4.99,140.11,2025-05-04 00:00:00
500098,300007,2025-06,2025-06-01,129.99,5.62,0.0,135.61,2025-06-04 00:00:00
500099,300007,2025-07,2025-07-01,129.99,6.49,0.0,136.48,2025-07-01 00:00:00
500100,300007,2025-08,2025-08-01,129.99,6.8,0.0,136.79,2025-08-04 00:00:00
500101,300007,2025-09,2025-09-01,129.99,4.75,0.0,134.74,2025-09-03 00:00:00
500102,300007,2025-10,2025-10-01,129.99,8.53,9.99,148.51,2025-10-04 00:00:00
500103,300007,2025-11,2025-11-01,129.99,6.94,0.0,136.93,2025-11-01 00:00:00
500104,300007,2025-12,2025-12-01,129.99,5.22,0.0,135.21,2025-12-04 00:00:00
500105,300007,2026-01,2026-01-01,129.99,9.53,9.99,149.51,2026-01-04 00:00:00
500106,300007,2026-02,2026-02-01,129.99,9.16,0.0,139.15,2026-02-03 00:00:00
500107,300007,2026-03,2026-03-01,129.99,4.84,0.0,134.83,2026-03-01 00:00:00
500108,300007,2026-04,2026-04-01,129.99,4.72,0.0,134.71,2026-04-04 00:00:00
500109,300007,2026-05,2026-05-01,129.99,4.88,9.99,144.86,2026-05-04 00:00:00
500110,300007,2026-06,2026-06-01,129.99,4.76,-5.0,129.75,2026-06-01 00:00:00
500111,300008,2025-01,2025-01-01,79.99,5.83,-5.0,80.82,2025-01-03 00:00:00
500112,300008,2025-02,2025-02-01,79.99,4.51,4.99,89.49,2025-02-01 00:00:00
500113,300008,2025-03,2025-03-01,79.99,4.03,4.99,89.01,2025-03-04 00:00:00
500114,300008,2025-04,2025-04-01,79.99,3.85,0.0,83.84,2025-04-04 00:00:00
500115,300008,2025-05,2025-05-01,79.99,5.53,9.99,95.51,2025-05-03 00:00:00
500116,300008,2025-06,2025-06-01,79.99,4.94,0.0,84.93,2025-06-03 00:00:00
500117,300008,2025-07,2025-07-01,79.99,3.04,0.0,83.03,2025-07-02 00:00:00
500118,300008,2025-08,2025-08-01,79.99,5.38,-5.0,80.37,2025-08-03 00:00:00
500119,300008,2025-09,2025-09-01,79.99,3.66,4.99,88.64,2025-09-03 00:00:00
500120,300008,2025-10,2025-10-01,79.99,3.56,0.0,83.55,2025-10-01 00:00:00
500121,300008,2025-11,2025-11-01,79.99,4.04,-5.0,79.03,2025-11-03 00:00:00
500122,300008,2025-12,2025-12-01,79.99,4.19,0.0,84.18,2025-12-04 00:00:00
500123,300008,2026-01,2026-01-01,79.99,5.17,-5.0,80.16,2026-01-04 00:00:00
500124,300008,2026-02,2026-02-01,79.99,5.72,0.0,85.71,2026-02-02 00:00:00
500125,300008,2026-03,2026-03-01,79.99,4.84,9.99,94.82,2026-03-04 00:00:00
500126,300008,2026-04,2026-04-01,79.99,4.05,9.99,94.03,2026-04-01 00:00:00
500127,300008,2026-05,2026-05-01,79.99,5.89,0.0,85.88,2026-05-02 00:00:00
500128,300008,2026-06,2026-06-01,79.99,5.86,4.99,90.84,2026-06-03 00:00:00
500129,300009,2025-01,2025-01-01,129.99,8.24,-5.0,133.23,2025-01-04 00:00:00
500130,300009,2025-02,2025-02-01,129.99,5.65,-5.0,130.64,2025-02-01 00:00:00
500131,300009,2025-03,2025-03-01,129.99,6.49,0.0,136.48,2025-03-03 00:00:00
500132,300009,2025-04,2025-04-01,129.99,5.46,0.0,135.45,2025-04-02 00:00:00
500133,300009,2025-05,2025-05-01,129.99,6.02,0.0,136.01,2025-05-04 00:00:00
500134,300009,2025-06,2025-06-01,129.99,8.85,0.0,138.84,2025-06-03 00:00:00
500135,300009,2025-07,2025-07-01,129.99,7.38,0.0,137.37,2025-07-02 00:00:00
500136,300009,2025-08,2025-08-01,129.99,7.49,9.99,147.47,2025-08-04 00:00:00
500137,300009,2025-09,2025-09-01,129.99,7.61,0.0,137.6,2025-09-03 00:00:00
500138,300009,2025-10,2025-10-01,129.99,9.32,9.99,149.3,2025-10-04 00:00:00
500139,300009,2025-11,2025-11-01,129.99,5.35,0.0,135.34,2025-11-01 00:00:00
500140,300009,2025-12,2025-12-01,129.99,6.23,-5.0,131.22,2025-12-01 00:00:00
500141,300009,2026-01,2026-01-01,129.99,6.08,0.0,136.07,2026-01-04 00:00:00
500142,300009,2026-02,2026-02-01,129.99,5.28,4.99,140.26,2026-02-04 00:00:00
500143,300009,2026-03,2026-03-01,129.99,8.25,0.0,138.24,2026-03-04 00:00:00
500144,300009,2026-04,2026-04-01,129.99,7.29,-5.0,132.28,2026-04-02 00:00:00
500145,300009,2026-05,2026-05-01,129.99,6.63,0.0,136.62,2026-05-04 00:00:00
500146,300009,2026-06,2026-06-01,129.99,9.56,-5.0,134.55,2026-06-04 00:00:00
500147,300010,2025-01,2025-01-01,129.99,8.51,0.0,138.5,2025-01-01 00:00:00
500148,300010,2025-02,2025-02-01,129.99,5.54,4.99,140.52,2025-02-02 00:00:00
500149,300010,2025-03,2025-03-01,129.99,4.78,0.0,134.77,2025-03-02 00:00:00
500150,300010,2025-04,2025-04-01,129.99,9.19,0.0,139.18,2025-04-04 00:00:00
500151,300010,2025-05,2025-05-01,129.99,4.83,-5.0,129.82,2025-05-01 00:00:00
500152,300010,2025-06,2025-06-01,129.99,4.71,0.0,134.7,2025-06-02 00:00:00
500153,300010,2025-07,2025-07-01,129.99,8.58,0.0,138.57,2025-07-01 00:00:00
500154,300010,2025-08,2025-08-01,129.99,7.79,0.0,137.78,2025-08-03 00:00:00
500155,300010,2025-09,2025-09-01,129.99,9.43,0.0,139.42,2025-09-02 00:00:00
500156,300010,2025-10,2025-10-01,129.99,8.41,0.0,138.4,2025-10-01 00:00:00
500157,300010,2025-11,2025-11-01,129.99,9.62,-5.0,134.61,2025-11-02 00:00:00
500158,300010,2025-12,2025-12-01,129.99,8.32,0.0,138.31,2025-12-01 00:00:00
500159,300010,2026-01,2026-01-01,129.99,9.48,4.99,144.46,2026-01-03 00:00:00
500160,300010,2026-02,2026-02-01,129.99,5.27,-5.0,130.26,2026-02-02 00:00:00
500161,300010,2026-03,2026-03-01,129.99,6.07,0.0,136.06,2026-03-01 00:00:00
500162,300010,2026-04,2026-04-01,129.99,8.03,0.0,138.02,2026-04-01 00:00:00
500163,300010,2026-05,2026-05-01,129.99,5.24,0.0,135.23,2026-05-02 00:00:00
500164,300010,2026-06,2026-06-01,129.99,5.98,-5.0,130.97,2026-06-03 00:00:00
500165,300012,2025-01,2025-01-01,79.99,4.64,4.99,89.62,2025-01-03 00:00:00
500166,300012,2025-02,2025-02-01,79.99,5.62,-5.0,80.61,2025-02-01 00:00:00
500167,300012,2025-03,2025-03-01,79.99,3.44,0.0,83.43,2025-03-02 00:00:00
500168,300012,2025-04,2025-04-01,79.99,4.14,-5.0,79.13,2025-04-01 00:00:00
500169,300012,2025-05,2025-05-01,79.99,3.19,0.0,83.18,2025-05-01 00:00:00
500170,300012,2025-06,2025-06-01,79.99,4.09,4.99,89.07,2025-06-02 00:00:00
500171,300012,2025-07,2025-07-01,79.99,3.62,4.99,88.6,2025-07-01 00:00:00
500172,300012,2025-08,2025-08-01,79.99,5.45,0.0,85.44,2025-08-03 00:00:00
500173,300012,2025-09,2025-09-01,79.99,3.34,9.99,93.32,2025-09-01 00:00:00
500174,300012,2025-10,2025-10-01,79.99,3.34,-5.0,78.33,2025-10-04 00:00:00
500175,300012,2025-11,2025-11-01,79.99,3.64,0.0,83.63,2025-11-04 00:00:00
500176,300012,2025-12,2025-12-01,79.99,5.05,0.0,85.04,2025-12-04 00:00:00
500177,300012,2026-01,2026-01-01,79.99,4.6,0.0,84.59,2026-01-01 00:00:00
500178,300012,2026-02,2026-02-01,79.99,5.21,-5.0,80.2,2026-02-02 00:00:00
500179,300012,2026-03,2026-03-01,79.99,4.36,0.0,84.35,2026-03-01 00:00:00
500180,300012,2026-04,2026-04-01,79.99,5.6,0.0,85.59,2026-04-01 00:00:00
500181,300012,2026-05,2026-05-01,79.99,3.34,0.0,83.33,2026-05-02 00:00:00
500182,300012,2026-06,2026-06-01,79.99,3.31,4.99,88.29,2026-06-04 00:00:00
500183,300013,2025-01,2025-01-01,129.99,8.08,4.99,143.06,2025-01-01 00:00:00
500184,300013,2025-02,2025-02-01,129.99,7.79,4.99,142.77,2025-02-02 00:00:00
500185,300013,2025-03,2025-03-01,129.99,9.46,0.0,139.45,2025-03-02 00:00:00
500186,300013,2025-04,2025-04-01,129.99,9.24,-5.0,134.23,2025-04-04 00:00:00
500187,300013,2025-05,2025-05-01,129.99,7.32,0.0,137.31,2025-05-01 00:00:00
500188,300013,2025-06,2025-06-01,129.99,6.95,0.0,136.94,2025-06-04 00:00:00
500189,300013,2025-07,2025-07-01,129.99,8.87,9.99,148.85,2025-07-01 00:00:00
500190,300013,2025-08,2025-08-01,129.99,8.01,0.0,138.0,2025-08-03 00:00:00
500191,300013,2025-09,2025-09-01,129.99,6.97,0.0,136.96,2025-09-01 00:00:00
500192,300013,2025-10,2025-10-01,129.99,8.22,0.0,138.21,2025-10-02 00:00:00
500193,300013,2025-11,2025-11-01,129.99,6.16,0.0,136.15,2025-11-03 00:00:00
500194,300013,2025-12,2025-12-01,129.99,8.87,0.0,138.86,2025-12-04 00:00:00
500195,300013,2026-01,2026-01-01,129.99,6.18,0.0,136.17,2026-01-03 00:00:00
500196,300013,2026-02,2026-02-01,129.99,4.85,0.0,134.84,2026-02-02 00:00:00
500197,300013,2026-03,2026-03-01,129.99,5.03,-5.0,130.02,2026-03-03 00:00:00
500198,300013,2026-04,2026-04-01,129.99,5.83,-5.0,130.82,2026-04-02 00:00:00
500199,300013,2026-05,2026-05-01,129.99,5.47,0.0,135.46,2026-05-02 00:00:00
500200,300013,2026-06,2026-06-01,129.99,7.49,-5.0,132.48,2026-06-04 00:00:00
500201,300014,2025-01,2025-01-01,99.99,3.63,0.0,103.62,2025-01-04 00:00:00
500202,300014,2025-02,2025-02-01,99.99,4.57,-5.0,99.56,2025-02-03 00:00:00
500203,300014,2025-03,2025-03-01,99.99,3.74,9.99,113.72,2025-03-04 00:00:00
500204,300014,2025-04,2025-04-01,99.99,5.58,0.0,105.57,2025-04-03 00:00:00
500205,300014,2025-05,2025-05-01,99.99,4.69,4.99,109.67,2025-05-03 00:00:00
500206,300014,2025-06,2025-06-01,99.99,4.04,4.99,109.02,2025-06-03 00:00:00
500207,300014,2025-07,2025-07-01,99.99,4.71,0.0,104.7,2025-07-03 00:00:00
500208,300014,2025-08,2025-08-01,99.99,4.11,0.0,104.1,2025-08-01 00:00:00
500209,300014,2025-09,2025-09-01,99.99,3.93,0.0,103.92,2025-09-01 00:00:00
500210,300014,2025-10,2025-10-01,99.99,4.71,0.0,104.7,2025-10-02 00:00:00
500211,300014,2025-11,2025-11-01,99.99,6.22,9.99,116.2,2025-11-03 00:00:00
500212,300014,2025-12,2025-12-01,99.99,4.61,0.0,104.6,2025-12-03 00:00:00
500213,300014,2026-01,2026-01-01,99.99,6.73,-5.0,101.72,2026-01-03 00:00:00
500214,300014,2026-02,2026-02-01,99.99,6.24,4.99,111.22,2026-02-03 00:00:00
500215,300014,2026-03,2026-03-01,99.99,7.3,-5.0,102.29,2026-03-04 00:00:00
500216,300014,2026-04,2026-04-01,99.99,3.8,0.0,103.79,2026-04-03 00:00:00
500217,300014,2026-05,2026-05-01,99.99,3.77,9.99,113.75,2026-05-03 00:00:00
500218,300014,2026-06,2026-06-01,99.99,5.0,0.0,104.99,2026-06-03 00:00:00
500219,300015,2025-12,2025-12-01,79.99,3.71,0.0,83.7,2025-12-02 00:00:00
500220,300015,2026-01,2026-01-01,79.99,4.6,0.0,84.59,2026-01-03 00:00:00
500221,300015,2026-02,2026-02-01,79.99,4.1,0.0,84.09,2026-02-03 00:00:00
500222,300015,2026-03,2026-03-01,79.99,3.74,0.0,83.73,2026-03-01 00:00:00
500223,300015,2026-04,2026-04-01,79.99,3.95,9.99,93.93,2026-04-01 00:00:00
500224,300015,2026-05,2026-05-01,79.99,4.92,-5.0,79.91,2026-05-01 00:00:00
500225,300015,2026-06,2026-06-01,79.99,4.44,9.99,94.42,2026-06-04 00:00:00
500226,300016,2025-01,2025-01-01,99.99,5.76,0.0,105.75,2025-01-02 00:00:00
500227,300016,2025-02,2025-02-01,99.99,5.46,0.0,105.45,2025-02-02 00:00:00
500228,300016,2025-03,2025-03-01,99.99,6.53,9.99,116.51,2025-03-04 00:00:00
500229,300016,2025-04,2025-04-01,99.99,4.64,0.0,104.63,2025-04-02 00:00:00
500230,300016,2025-05,2025-05-01,99.99,6.22,4.99,111.2,2025-05-02 00:00:00
500231,300016,2025-06,2025-06-01,99.99,6.34,0.0,106.33,2025-06-03 00:00:00
500232,300016,2025-07,2025-07-01,99.99,6.92,4.99,111.9,2025-07-04 00:00:00
500233,300016,2025-08,2025-08-01,99.99,4.66,0.0,104.65,2025-08-02 00:00:00
500234,300016,2025-09,2025-09-01,99.99,3.75,9.99,113.73,2025-09-02 00:00:00
500235,300016,2025-10,2025-10-01,99.99,4.59,0.0,104.58,2025-10-03 00:00:00
500236,300016,2025-11,2025-11-01,99.99,3.56,0.0,103.55,2025-11-03 00:00:00
500237,300016,2025-12,2025-12-01,99.99,4.07,0.0,104.06,2025-12-03 00:00:00
500238,300016,2026-01,2026-01-01,99.99,6.16,0.0,106.15,2026-01-02 00:00:00
500239,300016,2026-02,2026-02-01,99.99,5.73,0.0,105.72,2026-02-02 00:00:00
500240,300016,2026-03,2026-03-01,99.99,4.77,-5.0,99.76,2026-03-02 00:00:00
500241,300016,2026-04,2026-04-01,99.99,5.39,0.0,105.38,2026-04-02 00:00:00
500242,300016,2026-05,2026-05-01,99.99,3.99,4.99,108.97,2026-05-04 00:00:00
500243,300016,2026-06,2026-06-01,99.99,4.25,-5.0,99.24,2026-06-03 00:00:00
500244,300017,2025-01,2025-01-01,129.99,7.67,4.99,142.65,2025-01-03 00:00:00
500245,300017,2025-02,2025-02-01,129.99,7.63,4.99,142.61,2025-02-04 00:00:00
500246,300017,2025-03,2025-03-01,129.99,8.84,0.0,138.83,2025-03-01 00:00:00
500247,300017,2025-04,2025-04-01,129.99,7.85,-5.0,132.84,2025-04-01 00:00:00
500248,300017,2025-05,2025-05-01,129.99,5.5,0.0,135.49,2025-05-03 00:00:00
500249,300017,2025-06,2025-06-01,129.99,4.57,0.0,134.56,2025-06-04 00:00:00
500250,300017,2025-07,2025-07-01,129.99,8.88,0.0,138.87,2025-07-02 00:00:00
500251,300017,2025-08,2025-08-01,129.99,9.4,0.0,139.39,2025-08-04 00:00:00
500252,300017,2025-09,2025-09-01,129.99,5.1,0.0,135.09,2025-09-03 00:00:00
500253,300017,2025-10,2025-10-01,129.99,8.62,0.0,138.61,2025-10-04 00:00:00
500254,300017,2025-11,2025-11-01,129.99,6.6,0.0,136.59,2025-11-02 00:00:00
500255,300017,2025-12,2025-12-01,129.99,8.84,9.99,148.82,2025-12-02 00:00:00
500256,300017,2026-01,2026-01-01,129.99,8.94,4.99,143.92,2026-01-01 00:00:00
500257,300017,2026-02,2026-02-01,129.99,7.16,9.99,147.14,2026-02-02 00:00:00
500258,300017,2026-03,2026-03-01,129.99,8.74,0.0,138.73,2026-03-02 00:00:00
500259,300017,2026-04,2026-04-01,129.99,5.99,0.0,135.98,2026-04-02 00:00:00
500260,300017,2026-05,2026-05-01,129.99,8.25,0.0,138.24,2026-05-03 00:00:00
500261,300017,2026-06,2026-06-01,129.99,4.88,0.0,134.87,2026-06-03 00:00:00
500262,300018,2025-01,2025-01-01,54.99,4.05,0.0,59.04,2025-01-04 00:00:00
500263,300018,2025-02,2025-02-01,54.99,4.12,0.0,59.11,2025-02-03 00:00:00
500264,300018,2025-03,2025-03-01,54.99,1.98,0.0,56.97,2025-03-02 00:00:00
500265,300018,2025-04,2025-04-01,54.99,2.13,-5.0,52.12,2025-04-01 00:00:00
500266,300018,2025-05,2025-05-01,54.99,3.44,-5.0,53.43,2025-05-01 00:00:00
500267,300018,2025-06,2025-06-01,54.99,3.53,4.99,63.51,2025-06-04 00:00:00
500268,300018,2025-07,2025-07-01,54.99,2.07,-5.0,52.06,2025-07-04 00:00:00
500269,300018,2025-08,2025-08-01,54.99,2.7,0.0,57.69,2025-08-03 00:00:00
500270,300018,2025-09,2025-09-01,54.99,3.27,0.0,58.26,2025-09-01 00:00:00
500271,300018,2025-10,2025-10-01,54.99,2.73,0.0,57.72,2025-10-02 00:00:00
500272,300018,2025-11,2025-11-01,54.99,2.81,0.0,57.8,2025-11-03 00:00:00
500273,300018,2025-12,2025-12-01,54.99,2.53,0.0,57.52,2025-12-03 00:00:00
500274,300018,2026-01,2026-01-01,54.99,3.84,9.99,68.82,2026-01-02 00:00:00
500275,300018,2026-02,2026-02-01,54.99,2.95,4.99,62.93,2026-02-02 00:00:00
500276,300018,2026-03,2026-03-01,54.99,3.28,0.0,58.27,2026-03-03 00:00:00
500277,300018,2026-04,2026-04-01,54.99,2.95,0.0,57.94,2026-04-04 00:00:00
500278,300018,2026-05,2026-05-01,54.99,2.2,0.0,57.19,2026-05-01 00:00:00
500279,300018,2026-06,2026-06-01,54.99,3.59,-5.0,53.58,2026-06-03 00:00:00
500280,300019,2025-01,2025-01-01,179.99,12.64,0.0,192.63,2025-01-03 00:00:00
500281,300019,2025-02,2025-02-01,179.99,10.41,0.0,190.4,2025-02-01 00:00:00
500282,300019,2025-03,2025-03-01,179.99,11.53,0.0,191.52,2025-03-04 00:00:00
500283,300019,2025-04,2025-04-01,179.99,7.57,4.99,192.55,2025-04-03 00:00:00
500284,300019,2025-05,2025-05-01,179.99,12.61,4.99,197.59,2025-05-02 00:00:00
500285,300019,2025-06,2025-06-01,179.99,10.7,4.99,195.68,2025-06-03 00:00:00
500286,300019,2025-07,2025-07-01,179.99,13.41,0.0,193.4,2025-07-03 00:00:00
500287,300019,2025-08,2025-08-01,179.99,12.93,0.0,192.92,2025-08-02 00:00:00
500288,300020,2025-01,2025-01-01,99.99,4.05,0.0,104.04,2025-01-04 00:00:00
500289,300020,2025-02,2025-02-01,99.99,5.02,4.99,110.0,2025-02-01 00:00:00
500290,300020,2025-03,2025-03-01,99.99,5.83,0.0,105.82,2025-03-02 00:00:00
500291,300020,2025-04,2025-04-01,99.99,7.37,4.99,112.35,2025-04-02 00:00:00
500292,300020,2025-05,2025-05-01,99.99,5.5,-5.0,100.49,2025-05-01 00:00:00
500293,300020,2025-06,2025-06-01,99.99,6.86,0.0,106.85,2025-06-02 00:00:00
500294,300020,2025-07,2025-07-01,99.99,4.73,0.0,104.72,2025-07-04 00:00:00
