plan_history_id,account_id,plan_cd,effective_start,effective_end
77,300064,FIBER500,2019-08-03,2021-11-09
78,300064,BASIC100,2021-11-10,
79,300065,GIG1,2023-09-05,2026-06-06
80,300065,BUSINESS500,2026-06-07,
81,300066,BUSINESS500,2020-06-12,
82,300067,BASIC100,2019-10-04,
83,300068,FIBER500,2020-08-27,
84,300069,BUSINESS1G,2019-07-31,
85,300070,BUSINESS500,2024-11-14,
86,300071,BUSINESS500,2020-03-25,
87,300072,BUSINESS500,2018-06-16,2019-09-17
88,300072,BASIC100,2019-09-18,
89,300073,BUSINESS1G,2024-03-02,
90,300074,BUSINESS1G,2021-08-09,2022-12-25
91,300074,FIBER500,2022-12-26,
92,300075,BUSINESS1G,2019-12-08,
93,300076,GIG1,2025-09-30,
94,300077,FIBER500,2018-04-02,
95,300078,BUSINESS500,2021-02-02,
96,300079,BUSINESS1G,2018-10-17,
97,300080,GIG1,2018-02-12,2020-07-30
98,300080,BUSINESS1G,2020-07-31,
99,300081,FIBER500,2020-09-09,
100,300082,FIBER500,2020-08-22,2021-08-24
101,300082,GIG1,2021-08-25,
102,300083,BUSINESS500,2022-12-30,
103,300084,BUSINESS1G,2019-11-27,2022-08-18
104,300084,BUSINESS500,2022-08-19,
105,300085,BUSINESS500,2021-06-26,2023-01-15
106,300085,BASIC100,2023-01-16,
107,300086,BASIC100,2021-09-12,
108,300087,FIBER500,2020-06-17,
109,300088,BUSINESS1G,2018-05-27,2021-07-23
110,300088,FIBER500,2021-07-24,
111,300089,GIG1,2018-09-24,
112,300090,FIBER500,2024-08-14,
113,300091,BASIC100,2023-09-01,
114,300092,BUSINESS1G,2019-04-04,
115,300093,BASIC100,2020-01-18,
116,300094,GIG1,2019-08-11,
117,300095,BUSINESS500,2022-01-17,2023-01-08
118,300095,BUSINESS1G,2023-01-09,
119,300096,BUSINESS1G,2024-01-02,
120,300097,BUSINESS1G,2021-09-24,2023-05-22
121,300097,BUSINESS500,2023-05-23,
122,300098,BUSINESS500,2025-11-22,
123,300099,GIG1,2021-02-07,2024-04-22
124,300099,BUSINESS1G,2024-04-23,
125,300100,BUSINESS500,2021-09-17,
126,300101,BUSINESS1G,2021-01-10,
127,300102,GIG1,2022-06-16,2025-08-04
128,300102,FIBER500,2025-08-05,
129,300103,GIG1,2021-03-20,2024-03-21
130,300103,BUSINESS1G,2024-03-22,
131,300104,GIG1,2018-09-26,
132,300105,BUSINESS1G,2020-11-30,
133,300106,BUSINESS1G,2023-09-30,
134,300107,FIBER500,2025-04-19,
135,300108,BASIC100,2020-11-07,2021-12-21
136,300108,GIG1,2021-12-22,
137,300109,BUSINESS1G,2019-12-30,
138,300110,BASIC100,2022-11-16,2025-12-08
139,300110,BUSINESS500,2025-12-09,
140,300111,BASIC100,2021-02-06,
141,300112,FIBER500,2022-12-11,
142,300113,GIG1,2020-11-21,
143,300114,GIG1,2018-11-04,
144,300115,BASIC100,2020-04-29,2021-10-02
145,300115,BUSINESS500,2021-10-03,
146,300116,GIG1,2018-05-11,2021-04-10
147,300116,BUSINESS500,2021-04-11,
148,300117,BASIC100,2018-06-27,2021-03-30
149,300117,BUSINESS1G,2021-03-31,
150,300118,GIG1,2025-07-17,
151,300119,GIG1,2018-04-05,
152,300120,BASIC100,2021-10-04,2022-07-04
153,300120,BUSINESS500,2022-07-05,
154,300121,BUSINESS500,2024-03-01,
155,300122,GIG1,2019-01-18,
156,300123,BUSINESS500,2024-12-23,
157,300124,FIBER500,2020-12-31,2023-11-17
158,300124,BASIC100,2023-11-18,
159,300125,BASIC100,2023-07-10,
160,300126,BUSINESS500,2019-04-21,2021-09-27
161,300126,BASIC100,2021-09-28,
162,300127,GIG1,2022-06-14,
163,300128,BUSINESS1G,2020-06-29,
164,300129,GIG1,2025-09-24,
165,300130,BUSINESS500,2023-06-11,
166,300131,GIG1,2021-03-08,
167,300132,BUSINESS500,2025-06-07,
168,300133,BASIC100,2025-05-17,
169,300134,GIG1,2022-12-05,
170,300135,GIG1,2024-03-30,
171,300136,FIBER500,2025-12-15,
172,300137,FIBER500,2023-02-03,
173,300138,BUSINESS500,2023-10-30,
174,300139,FIBER500,2021-06-23,
175,300140,BUSINESS1G,2023-04-27,
176,300141,BUSINESS500,2023-07-25,
177,300142,BASIC100,2023-04-20,
178,300143,GIG1,2019-12-06,
179,300144,BUSINESS500,2021-10-09,
180,300145,BASIC100,2021-01-24,
181,300146,GIG1,2022-11-20,2024-08-01
182,300146,BUSINESS1G,2024-08-02,
183,300147,BASIC100,2025-10-15,
184,300148,BUSINESS500,2021-09-24,2023-01-03
185,300148,FIBER500,2023-01-04,
186,300149,GIG1,2022-09-21,
187,300150,BUSINESS1G,2024-01-26,
188,300151,BUSINESS500,2019-01-17,
189,300152,BASIC100,2024-11-12,
190,300153,BASIC100,2020-11-17,
191,300154,BUSINESS500,2018-10-10,
192,300155,BUSINESS1G,2025-08-04,
193,300156,GIG1,2023-04-04,
194,300157,BUSINESS500,2019-04-18,
195,300158,FIBER500,2019-04-01,2021-09-09
196,300158,GIG1,2021-09-10,
197,300159,BASIC100,2019-04-20,
198,300160,GIG1,2018-07-03,2020-11-14
199,300160,BASIC100,2020-11-15,
200,300161,FIBER500,2018-03-28,
201,300162,BUSINESS500,2025-10-09,
202,300163,BUSINESS1G,2020-12-20,2021-07-08
203,300163,GIG1,2021-07-09,
204,300164,FIBER500,2025-08-09,
205,300165,BUSINESS500,2018-08-05,
206,300166,BUSINESS1G,2021-08-20,2024-01-25
207,300166,GIG1,2024-01-26,
208,300167,GIG1,2018-12-03,2020-01-10
209,300167,BASIC100,2020-01-11,
210,300168,GIG1,2025-05-05,
211,300169,GIG1,2025-07-13,
212,300170,GIG1,2019-05-18,2020-08-20
213,300170,FIBER500,2020-08-21,
214,300171,BUSINESS1G,2019-03-13,
215,300172,BUSINESS1G,2019-03-19,
216,300173,GIG1,2025-03-17,
217,300174,BUSINESS1G,2019-04-15,2021-07-19
218,300174,BUSINESS500,2021-07-20,
219,300175,BASIC100,2018-01-28,2019-10-21
220,300175,FIBER500,2019-10-22,
221,300176,FIBER500,2018-05-27,
222,300177,BUSINESS500,2019-06-14,
223,300178,BASIC100,2026-01-29,
224,300179,GIG1,2018-12-21,2022-01-16
225,300179,FIBER500,2022-01-17,
226,300180,BUSINESS500,2024-09-22,
227,300181,BASIC100,2020-04-30,
228,300182,BASIC100,2025-10-27,
229,300183,BUSINESS500,2022-10-09,
230,300184,BUSINESS500,2019-09-28,
231,300185,GIG1,2022-08-12,
232,300186,BUSINESS500,2022-03-10,
233,300187,BUSINESS500,2019-12-04,2021-05-18
234,300187,FIBER500,2021-05-19,
235,300188,BUSINESS1G,2024-03-01,2025-03-14
236,300188,BASIC100,2025-03-15,
237,300189,BUSINESS1G,2023-07-25,
238,300190,BUSINESS500,2021-09-14,2024-05-29
239,300190,GIG1,2024-05-30,
240,300191,FIBER500,2025-01-20,
241,300192,BUSINESS500,2024-06-01,
242,300193,FIBER500,2023-01-28,
243,300194,FIBER500,2024-11-01,
244,300195,BUSINESS500,2019-04-06,
245,300196,BUSINESS500,2024-04-21,2026-05-17
246,300196,GIG1,2026-05-18,
247,300197,FIBER500,2025-08-21,
248,300198,BASIC100,2025-03-25,
249,300199,BUSINESS1G,2022-10-24,2024-02-15
250,300199,FIBER500,2024-02-16,
251,300200,BASIC100,2020-03-29,
252,300201,BUSINESS500,2023-07-01,
253,300202,BUSINESS1G,2018-01-19,2020-12-28
254,300202,FIBER500,2020-12-29,
255,300203,FIBER500,2021-06-02,
256,300204,GIG1,2019-03-21,
257,300205,BUSINESS1G,2025-08-13,
258,300206,BASIC100,2019-05-29,
259,300207,GIG1,2023-10-12,
260,300208,BUSINESS1G,2021-01-08,
261,300209,BUSINESS1G,2025-03-06,
262,300210,BASIC100,2020-01-26,2021-12-09
263,300210,GIG1,2021-12-10,
264,300211,BUSINESS500,2025-03-07,
265,300212,GIG1,2023-02-07,
266,300213,FIBER500,2018-04-03,2020-11-05
267,300213,BASIC100,2020-11-06,
268,300214,FIBER500,2024-01-15,
269,300215,BUSINESS500,2019-06-29,2021-04-01
270,300215,FIBER500,2021-04-02,
271,300216,BUSINESS1G,2023-10-16,2024-10-10
272,300216,GIG1,2024-10-11,
273,300217,BUSINESS500,2018-08-11,2021-04-11
274,300217,FIBER500,2021-04-12,
275,300218,BUSINESS1G,2025-12-03,
276,300219,FIBER500,2018-07-02,
277,300220,BUSINESS500,2021-11-25,
278,300221,FIBER500,2023-10-23,
279,300222,FIBER500,2025-06-17,
280,300223,GIG1,2024-04-26,
281,300224,BUSINESS500,2025-02-18,
282,300225,FIBER500,2023-01-03,
283,300226,BUSINESS500,2024-05-21,
284,300227,BUSINESS500,2019-12-27,
285,300228,BASIC100,2023-05-07,
286,300229,BUSINESS500,2020-05-24,
287,300230,GIG1,2025-01-11,
288,300231,GIG1,2025-02-18,
289,300232,FIBER500,2025-09-22,
290,300233,FIBER500,2019-11-04,
291,300234,BUSINESS500,2021-12-02,
292,300235,BUSINESS1G,2025-04-01,
293,300236,BASIC100,2022-10-15,2024-04-11
294,300236,BUSINESS1G,2024-04-12,
295,300237,BASIC100,2021-08-13,
296,300238,BUSINESS1G,2021-11-05,
297,300239,FIBER500,2018-01-28,2020-02-23
298,300239,GIG1,2020-02-24,
299,300240,BUSINESS1G,2023-12-28,
300,300241,FIBER500,2022-12-12,2025-02-18
301,300241,GIG1,2025-02-19,
302,300242,BUSINESS1G,2019-10-05,
303,300243,BUSINESS500,2024-04-25,
304,300244,BUSINESS1G,2022-08-05,
305,300245,FIBER500,2025-12-13,
306,300246,BASIC100,2019-05-06,
307,300247,FIBER500,2021-07-06,
308,300248,BUSINESS500,2024-08-05,
309,300249,GIG1,2023-07-26,
310,300250,BUSINESS1G,2020-09-05,
311,300251,BASIC100,2019-05-19,
312,300252,FIBER500,2025-10-25,
313,300253,GIG1,2022-05-15,
314,300254,GIG1,2020-10-12,
315,300255,GIG1,2019-12-24,
316,300256,GIG1,2025-06-22,
317,300257,BUSINESS1G,2022-11-07,2025-04-03
318,300257,BUSINESS500,2025-04-04,
319,300258,BASIC100,2020-08-19,
320,300259,FIBER500,2021-10-18,2023-08-08
321,300259,BUSINESS500,2023-08-09,
322,300260,GIG1,2024-09-10,
323,300261,BASIC100,2020-03-05,
324,300262,BUSINESS1G,2020-04-27,
325,300263,BUSINESS500,2022-06-29,2025-10-06
326,300263,BASIC100,2025-10-07,
327,300264,BUSINESS500,2022-03-11,2023-01-01
328,300264,BASIC100,2023-01-02,
329,300265,BUSINESS1G,2023-01-09,
330,300266,BASIC100,2018-11-01,
331,300267,GIG1,2023-11-06,
332,300268,BASIC100,2021-11-06,2024-05-20
333,300268,GIG1,2024-05-21,
334,300269,BUSINESS500,2018-03-14,2021-04-02
335,300269,BUSINESS1G,2021-04-03,
336,300270,GIG1,2023-11-18,
337,300271,BUSINESS500,2021-05-21,2021-11-27
338,300271,FIBER500,2021-11-28,
339,300272,BUSINESS1G,2020-11-29,
340,300273,BUSINESS1G,2025-10-12,
341,300274,GIG1,2024-04-13,2025-02-04
342,300274,BUSINESS1G,2025-02-05,
343,300275,FIBER500,2023-12-17,
344,300276,BUSINESS1G,2022-12-10,
345,300277,FIBER500,2025-02-07,
346,300278,BASIC100,2020-11-25,2023-10-26
347,300278,BUSINESS1G,2023-10-27,
348,300279,BASIC100,2022-04-30,
349,300280,GIG1,2025-09-23,
350,300281,FIBER500,2025-10-27,
351,300282,FIBER500,2022-02-14,
352,300283,BUSINESS500,2024-05-23,
353,300284,BASIC100,2020-07-09,
354,300285,GIG1,2023-03-16,2024-03-28
355,300285,BASIC100,2024-03-29,
356,300286,FIBER500,2021-10-14,2024-05-26
357,300286,BUSINESS1G,2024-05-27,
358,300287,BASIC100,2021-02-23,
359,300288,FIBER500,2020-05-29,
360,300289,BASIC100,2023-04-16,2025-07-05
361,300289,GIG1,2025-07-06,
362,300290,GIG1,2025-04-02,
363,300291,GIG1,2020-09-01,
364,300292,BUSINESS1G,2025-08-30,
365,300293,BUSINESS500,2025-10-26,
366,300294,GIG1,2019-07-24,
367,300295,FIBER500,2024-11-09,
368,300296,BUSINESS500,2025-09-09,
369,300297,BUSINESS500,2023-06-07,
370,300298,FIBER500,2023-09-18,
371,300299,BUSINESS500,2018-06-04,
372,300300,FIBER500,2025-06-19,
373,300301,BUSINESS1G,2018-06-06,
374,300302,GIG1,2019-04-23,2021-12-11
375,300302,FIBER500,2021-12-12,
376,300303,BUSINESS500,2023-12-23,
377,300304,BUSINESS1G,2023-06-01,
378,300305,BASIC100,2021-05-24,
379,300306,FIBER500,2018-09-17,
380,300307,BASIC100,2022-04-15,2024-01-09
381,300307,BUSINESS1G,2024-01-10,
382,300308,FIBER500,2020-12-22,2022-03-09
383,300308,BASIC100,2022-03-10,
384,300309,BASIC100,2018-04-29,
385,300310,BUSINESS1G,2024-05-25,
386,300311,FIBER500,2020-10-14,2023-08-06
387,300311,BASIC100,2023-08-07,
388,300312,BASIC100,2020-07-22,
389,300313,GIG1,2018-10-25,2019-09-30
390,300313,FIBER500,2019-10-01,
391,300314,BASIC100,2022-09-25,
392,300315,BUSINESS1G,2021-11-13,
393,300316,FIBER500,2022-10-03,2025-03-31
394,300316,BASIC100,2025-04-01,
395,300317,BUSINESS1G,2020-09-18,
396,300318,BUSINESS500,2025-07-24,
397,300319,BASIC100,2020-02-25,
398,300320,BUSINESS1G,2018-07-14,2020-10-16
399,300320,FIBER500,2020-10-17,
400,300321,BASIC100,2019-08-13,
401,300322,GIG1,2021-10-18,
402,300323,GIG1,2018-11-08,2020-05-27
403,300323,BUSINESS500,2020-05-28,
404,300324,BUSINESS500,2024-03-02,
405,300325,GIG1,2024-03-06,2025-12-27
406,300325,FIBER500,2025-12-28,
407,300326,FIBER500,2022-01-05,
408,300327,FIBER500,2018-01-14,
409,300328,BASIC100,2024-01-24,2026-02-28
410,300328,GIG1,2026-03-01,
411,300329,FIBER500,2024-03-24,
412,300330,BUSINESS1G,2024-02-06,
413,300331,BUSINESS500,2025-01-19,
414,300332,GIG1,2022-12-22,2025-07-01
415,300332,FIBER500,2025-07-02,
416,300333,BUSINESS1G,2024-02-18,
417,300334,BUSINESS500,2019-01-28,
418,300335,FIBER500,2025-07-14,
419,300336,FIBER500,2022-11-18,2023-12-22
420,300336,GIG1,2023-12-23,
421,300337,FIBER500,2019-04-22,
422,300338,BUSINESS500,2023-03-11,
423,300339,BUSINESS1G,2020-09-27,2022-12-08
424,300339,FIBER500,2022-12-09,
425,300340,GIG1,2025-09-28,
426,300341,GIG1,2019-10-29,
427,300342,FIBER500,2025-12-24,
428,300343,BASIC100,2025-06-30,
429,300344,BUSINESS500,2024-11-18,
430,300345,GIG1,2018-10-26,2019-06-16
431,300345,FIBER500,2019-06-17,
432,300346,BUSINESS500,2020-08-03,
433,300347,BASIC100,2022-01-23,
434,300348,FIBER500,2025-03-05,
435,300349,GIG1,2023-01-22,
436,300350,BUSINESS500,2023-03-07,
437,300351,FIBER500,2020-02-19,
438,300352,BUSINESS1G,2023-05-31,2024-10-04
439,300352,GIG1,2024-10-05,
440,300353,GIG1,2023-10-31,
441,300354,BUSINESS1G,2025-06-08,
442,300355,BUSINESS500,2022-12-16,
443,300356,FIBER500,2021-06-14,
444,300357,FIBER500,2019-04-06,2019-11-01
445,300357,BUSINESS1G,2019-11-02,
446,300358,FIBER500,2019-12-07,
447,300359,BUSINESS500,2018-06-27,
448,300360,GIG1,2024-11-04,2025-06-07
449,300360,BUSINESS500,2025-06-08,
450,300361,GIG1,2019-07-05,
451,300362,BASIC100,2023-04-05,2025-09-14
452,300362,BUSINESS500,2025-09-15,
453,300363,FIBER500,2024-08-17,
454,300364,GIG1,2019-09-03,2021-03-17
455,300364,BUSINESS500,2021-03-18,
456,300365,BUSINESS500,2019-02-25,
457,300366,GIG1,2024-12-29,
458,300367,GIG1,2019-08-19,2020-11-19
459,300367,FIBER500,2020-11-20,
460,300368,BUSINESS500,2020-02-28,2020-10-27
461,300368,BASIC100,2020-10-28,
462,300369,BUSINESS500,2023-10-11,
463,300370,FIBER500,2021-01-29,
464,300371,GIG1,2019-05-10,
465,300372,BUSINESS1G,2025-06-04,
466,300373,BASIC100,2020-01-27,
467,300374,GIG1,2019-06-03,
468,300375,GIG1,2023-05-09,
469,300376,GIG1,2018-04-06,
470,300377,FIBER500,2019-06-02,2020-03-08
471,300377,BUSINESS500,2020-03-09,
472,300378,BUSINESS500,2021-01-21,2024-02-01
473,300378,FIBER500,2024-02-02,
474,300379,GIG1,2019-04-15,
475,300380,BASIC100,2025-05-26,
476,300381,BASIC100,2023-12-18,
477,300382,GIG1,2022-05-30,2023-01-07
478,300382,BUSINESS1G,2023-01-08,
479,300383,BASIC100,2023-02-17,2024-02-24
480,300383,BUSINESS1G,2024-02-25,
481,300384,FIBER500,2025-02-03,
482,300385,BUSINESS1G,2018-03-27,2019-08-03
483,300385,BUSINESS500,2019-08-04,
484,300386,BASIC100,2020-03-07,
485,300387,BASIC100,2021-04-04,
486,300388,BASIC100,2024-04-15,
487,300389,BUSINESS1G,2025-04-19,
488,300390,BASIC100,2019-04-14,2020-02-27
489,300390,BUSINESS500,2020-02-28,
490,300391,BUSINESS1G,2023-11-09,
491,300392,BASIC100,2021-03-14,
492,300393,GIG1,2024-08-29,
493,300394,BASIC100,2023-03-30,2026-02-02
494,300394,BUSINESS500,2026-02-03,
495,300395,BUSINESS500,2025-12-28,
496,300396,BUSINESS500,2023-12-29,
497,300397,GIG1,2021-12-19,
498,300398,FIBER500,2022-02-23,
499,300399,BASIC100,2024-04-20,2025-01-30
500,300399,BUSINESS1G,2025-01-31,
501,300400,GIG1,2026-01-08,
502,300401,BUSINESS1G,2022-03-05,
503,300402,BUSINESS1G,2021-02-26,2023-01-11
504,300402,FIBER500,2023-01-12,
505,300403,BUSINESS500,2020-01-10,2022-03-22
506,300403,BUSINESS1G,2022-03-23,
507,300404,GIG1,2019-05-07,
508,300405,GIG1,2025-01-04,
509,300406,BUSINESS1G,2025-03-24,
510,300407,BUSINESS500,2024-01-21,2026-01-03
511,300407,FIBER500,2026-01-04,
512,300408,BUSINESS1G,2021-11-19,
513,300409,BUSINESS500,2020-04-10,
514,300410,BUSINESS1G,2023-04-22,
515,300411,BUSINESS500,2022-07-06,2024-10-28
516,300411,BUSINESS1G,2024-10-29,
517,300412,FIBER500,2021-03-26,
518,300413,BUSINESS500,2021-08-02,2022-06-15
519,300413,GIG1,2022-06-16,
520,300414,BUSINESS500,2023-06-11,
521,300415,GIG1,2022-10-27,
522,300416,BASIC100,2023-10-07,2025-10-23
523,300416,GIG1,2025-10-24,
524,300417,GIG1,2020-12-29,2021-11-23
525,300417,FIBER500,2021-11-24,
526,300418,BASIC100,2025-05-25,
527,300419,FIBER500,2019-02-25,
528,300420,BUSINESS500,2020-06-13,
529,300421,BUSINESS500,2024-11-26,
530,300422,BASIC100,2018-05-18,2019-10-04
531,300422,BUSINESS1G,2019-10-05,
532,300423,BUSINESS1G,2020-10-19,2023-03-03
533,300423,BASIC100,2023-03-04,
534,300424,BUSINESS500,2021-04-29,
535,300425,FIBER500,2020-07-27,2022-07-01
536,300425,BASIC100,2022-07-02,
537,300426,BUSINESS1G,2024-08-22,
538,300427,BASIC100,2025-06-05,
539,300428,BASIC100,2022-08-16,
540,300429,GIG1,2023-03-24,2025-11-21
541,300429,BUSINESS500,2025-11-22,
542,300430,BUSINESS500,2019-03-19,
543,300431,BUSINESS500,2022-07-07,
544,300432,FIBER500,2020-07-29,
545,300433,FIBER500,2020-01-09,
546,300434,FIBER500,2021-12-04,
547,300435,BASIC100,2019-05-11,2021-12-25
548,300435,FIBER500,2021-12-26,
549,300436,BUSINESS1G,2019-10-23,
550,300437,FIBER500,2019-04-12,
551,300438,BASIC100,2023-12-13,
552,300439,BASIC100,2024-02-10,
553,300440,BASIC100,2021-03-22,
554,300441,FIBER500,2020-06-20,
555,300442,BASIC100,2025-01-10,
556,300443,FIBER500,2025-04-20,
557,300444,BUSINESS1G,2021-10-15,2024-01-24
558,300444,GIG1,2024-01-25,
559,300445,GIG1,2023-06-11,
560,300446,GIG1,2023-07-11,
561,300447,BUSINESS1G,2020-02-11,
562,300448,FIBER500,2020-08-04,
563,300449,BASIC100,2022-08-14,2025-07-29
564,300449,BUSINESS1G,2025-07-30,
565,300450,FIBER500,2023-11-28,
566,300451,BASIC100,2025-03-03,
567,300452,BUSINESS500,2023-12-02,
568,300453,FIBER500,2024-06-01,2025-08-04
569,300453,BASIC100,2025-08-05,
570,300454,GIG1,2023-08-09,2024-05-02
571,300454,BUSINESS1G,2024-05-03,
572,300455,BUSINESS1G,2023-06-01,2024-05-13
573,300455,GIG1,2024-05-14,
574,300456,BUSINESS1G,2022-08-24,
575,300457,BUSINESS500,2022-03-15,
576,300458,GIG1,2018-05-23,2021-08-09
577,300458,FIBER500,2021-08-10,
578,300459,FIBER500,2023-12-05,2025-01-07
579,300459,BUSINESS500,2025-01-08,
580,300460,GIG1,2018-02-26,
581,300461,BUSINESS500,2022-05-03,
582,300462,GIG1,2025-04-21,
583,300463,FIBER500,2021-07-15,
584,300464,FIBER500,2019-05-11,
585,300465,FIBER500,2019-06-19,
586,300466,BUSINESS500,2020-11-18,
587,300467,BUSINESS500,2023-06-15,2026-02-09
588,300467,BUSINESS1G,2026-02-10,
589,300468,BUSINESS500,2020-02-18,
590,300469,FIBER500,2018-02-08,2020-09-26
591,300469,BUSINESS500,2020-09-27,
592,300470,FIBER500,2024-06-28,
593,300471,FIBER500,2019-06-30,2020-09-04
594,300471,BUSINESS500,2020-09-05,
595,300472,BASIC100,2020-01-02,2020-10-16
596,300472,GIG1,2020-10-17,
597,300473,BASIC100,2021-03-19,
598,300474,BUSINESS500,2024-12-03,
599,300475,GIG1,2024-11-29,
600,300476,BUSINESS1G,2019-05-27,
601,300477,BUSINESS1G,2020-05-31,
602,300478,BUSINESS500,2018-05-14,2019-11-30
603,300478,GIG1,2019-12-01,
604,300479,BASIC100,2019-08-25,2021-09-30
605,300479,FIBER500,2021-10-01,
606,300480,BUSINESS500,2022-05-25,2025-06-13
607,300480,GIG1,2025-06-14,
608,300481,FIBER500,2020-04-18,
609,300482,FIBER500,2022-04-04,2023-12-03
610,300482,BUSINESS500,2023-12-04,
611,300483,FIBER500,2024-03-29,
612,300484,FIBER500,2018-07-16,2019-09-02
613,300484,GIG1,2019-09-03,
614,300485,BASIC100,2024-09-30,
615,300486,BASIC100,2024-05-08,
616,300487,BUSINESS1G,2022-11-06,
617,300488,FIBER500,2018-07-28,2021-01-12
618,300488,BASIC100,2021-01-13,
619,300489,FIBER500,2020-08-13,
620,300490,FIBER500,2024-10-23,
621,300491,GIG1,2021-03-02,2024-06-01
622,300491,FIBER500,2024-06-02,
623,300492,GIG1,2024-04-07,
624,300493,FIBER500,2022-07-17,
625,300494,BUSINESS1G,2025-02-28,
626,300495,GIG1,2018-07-29,
627,300496,FIBER500,2021-09-07,
628,300497,GIG1,2019-05-03,
629,300498,BASIC100,2025-09-17,
630,300499,BUSINESS1G,2023-09-27,2025-11-22
631,300499,BASIC100,2025-11-23,
632,300500,FIBER500,2023-06-08,
633,300501,BUSINESS1G,2022-02-20,
634,300502,BUSINESS1G,2020-06-16,
635,300503,BUSINESS1G,2022-08-06,
636,300504,BUSINESS500,2020-07-05,
637,300505,BASIC100,2025-07-21,
638,300506,GIG1,2020-12-17,
639,300507,FIBER500,2020-09-23,
640,300508,GIG1,2021-04-02,
641,300509,BASIC100,2021-02-24,
642,300510,FIBER500,2024-03-26,
643,300511,BASIC100,2024-10-22,
644,300512,FIBER500,2024-10-28,
645,300513,BUSINESS1G,2024-11-25,
646,300514,BUSINESS500,2025-09-23,
647,300515,BASIC100,2022-06-01,
648,300516,BUSINESS1G,2024-11-13,
649,300517,GIG1,2018-07-08,2020-05-16
650,300517,BUSINESS500,2020-05-17,
651,300518,BUSINESS1G,2018-04-09,
652,300519,FIBER500,2019-12-26,2023-03-21
653,300519,BUSINESS500,2023-03-22,
654,300520,FIBER500,2025-07-05,
655,300521,GIG1,2024-10-18,2025-09-26
656,300521,FIBER500,2025-09-27,
657,300522,GIG1,2020-12-17,2023-04-01
658,300522,BUSINESS500,2023-04-02,
659,300523,FIBER500,2023-03-31,2024-10-17
660,300523,BASIC100,2024-10-18,
661,300524,BUSINESS1G,2018-12-09,2019-08-15
662,300524,BASIC100,2019-08-16,
663,300525,BUSINESS1G,2022-05-09,
