snapshot_id,snapshot_date,account_id,balance,status_cd
66,2025-01-31,301565,168.04,CURRENT
67,2025-01-31,301695,109.84,CURRENT
68,2025-01-31,300953,127.72,CURRENT
69,2025-01-31,300367,127.39,CURRENT
70,2025-01-31,300484,42.76,CURRENT
71,2025-01-31,300040,231.39,CURRENT
72,2025-01-31,300554,66.3,60
73,2025-01-31,302424,111.94,CURRENT
74,2025-01-31,300807,28.13,CURRENT
75,2025-01-31,301572,50.34,CURRENT
76,2025-01-31,300936,137.24,CURRENT
77,2025-01-31,301188,202.18,60
78,2025-01-31,300205,36.29,60
79,2025-01-31,300466,82.17,CURRENT
80,2025-01-31,301953,88.84,CURRENT
81,2025-01-31,300348,99.43,CURRENT
82,2025-01-31,302037,39.33,CURRENT
83,2025-01-31,301483,337.22,CURRENT
84,2025-01-31,301667,212.4,CURRENT
85,2025-01-31,301086,207.84,CURRENT
86,2025-01-31,302283,73.49,CURRENT
87,2025-01-31,301380,150.65,CURRENT
88,2025-01-31,300779,27.38,CURRENT
89,2025-01-31,300795,79.4,90+
90,2025-01-31,302353,7.07,30
91,2025-01-31,302057,85.61,30
92,2025-01-31,302175,39.79,CURRENT
93,2025-01-31,300556,75.06,CURRENT
94,2025-01-31,301169,37.1,CURRENT
95,2025-01-31,300090,132.43,CURRENT
96,2025-01-31,301541,147.9,CURRENT
97,2025-01-31,302499,25.26,CURRENT
98,2025-01-31,301134,83.43,CURRENT
99,2025-01-31,302115,40.2,30
100,2025-01-31,301024,41.79,60
101,2025-01-31,301940,199.49,CURRENT
102,2025-01-31,301964,144.67,30
103,2025-01-31,301254,58.58,CURRENT
104,2025-01-31,301454,90.91,CURRENT
105,2025-01-31,300329,101.25,CURRENT
106,2025-01-31,300390,48.82,CURRENT
107,2025-01-31,300048,84.61,30
108,2025-01-31,300273,29.55,CURRENT
109,2025-01-31,301702,95.13,CURRENT
110,2025-01-31,300394,95.44,CURRENT
111,2025-01-31,301411,114.76,CURRENT
112,2025-01-31,301759,61.9,CURRENT
113,2025-01-31,300152,44.67,CURRENT
114,2025-01-31,300700,169.72,CURRENT
115,2025-01-31,300370,44.06,CURRENT
116,2025-01-31,302472,20.55,CURRENT
117,2025-01-31,300529,118.77,CURRENT
118,2025-01-31,301963,121.02,CURRENT
119,2025-01-31,300075,150.57,30
120,2025-01-31,300757,175.3,CURRENT
121,2025-01-31,301346,163.33,CURRENT
122,2025-01-31,302443,159.71,CURRENT
123,2025-01-31,300878,352.97,60
124,2025-01-31,301058,86.45,60
125,2025-01-31,301973,168.34,CURRENT
126,2025-01-31,300569,22.85,CURRENT
127,2025-01-31,300083,185.55,CURRENT
128,2025-01-31,300352,132.61,CURRENT
129,2025-01-31,300114,105.11,CURRENT
130,2025-01-31,302404,35.61,CURRENT
131,2025-01-31,302222,45.89,CURRENT
132,2025-01-31,300861,133.95,CURRENT
133,2025-01-31,301690,29.51,CURRENT
134,2025-01-31,300304,101.33,CURRENT
135,2025-01-31,300947,32.2,CURRENT
136,2025-01-31,300819,135.87,CURRENT
137,2025-01-31,300676,34.17,CURRENT
138,2025-01-31,300906,73.25,CURRENT
139,2025-01-31,301881,22.91,30
140,2025-01-31,300422,171.26,CURRENT
141,2025-01-31,301248,71.82,CURRENT
142,2025-01-31,300649,63.72,30
143,2025-01-31,300944,33.33,CURRENT
144,2025-01-31,301527,105.04,CURRENT
145,2025-01-31,300365,86.87,30
146,2025-01-31,302294,13.67,CURRENT
147,2025-01-31,302401,150.89,CURRENT
148,2025-01-31,301239,120.0,CURRENT
149,2025-01-31,300797,151.39,30
150,2025-01-31,301582,6.13,CURRENT
151,2025-01-31,300668,22.58,CURRENT
152,2025-01-31,300250,44.42,CURRENT
153,2025-01-31,300255,49.77,30
154,2025-01-31,300434,45.98,CURRENT
155,2025-01-31,300980,35.49,CURRENT
156,2025-01-31,301281,89.82,CURRENT
157,2025-01-31,301539,212.8,60
158,2025-01-31,302072,121.09,CURRENT
159,2025-01-31,300493,26.31,CURRENT
160,2025-01-31,301756,82.52,30
161,2025-01-31,301447,133.01,90+
162,2025-01-31,301420,29.36,CURRENT
163,2025-01-31,301301,70.4,CURRENT
164,2025-01-31,301384,20.54,60
165,2025-01-31,300065,242.23,CURRENT
166,2025-01-31,301654,54.04,90+
167,2025-01-31,301063,27.13,60
168,2025-01-31,301501,95.97,CURRENT
169,2025-01-31,301114,25.72,CURRENT
170,2025-01-31,301832,199.7,CURRENT
171,2025-01-31,302490,63.49,CURRENT
172,2025-01-31,301524,165.78,CURRENT
173,2025-01-31,300064,187.59,90+
174,2025-01-31,302409,127.71,CURRENT
175,2025-01-31,301688,55.74,CURRENT
176,2025-01-31,300671,142.6,CURRENT
177,2025-01-31,301201,222.98,CURRENT
178,2025-01-31,301522,17.99,CURRENT
179,2025-01-31,301808,29.51,CURRENT
180,2025-01-31,301624,34.35,90+
181,2025-01-31,300575,117.44,CURRENT
182,2025-01-31,302155,149.71,CURRENT
183,2025-01-31,301299,114.86,CURRENT
184,2025-01-31,302129,40.68,CURRENT
185,2025-01-31,301950,25.77,30
186,2025-01-31,301195,180.55,CURRENT
187,2025-01-31,301153,99.46,CURRENT
188,2025-01-31,300814,31.81,90+
189,2025-01-31,301577,61.0,CURRENT
190,2025-01-31,300544,76.4,CURRENT
191,2025-01-31,300412,40.77,CURRENT
192,2025-01-31,301986,89.4,CURRENT
193,2025-01-31,300549,155.14,CURRENT
194,2025-01-31,302085,22.05,CURRENT
195,2025-01-31,302279,92.12,60
196,2025-01-31,302016,17.47,CURRENT
197,2025-01-31,300321,56.3,CURRENT
198,2025-01-31,301664,102.31,CURRENT
199,2025-01-31,302357,258.52,CURRENT
200,2025-01-31,301594,37.31,30
201,2025-01-31,300768,103.91,CURRENT
202,2025-01-31,300985,77.23,CURRENT
203,2025-01-31,300689,35.9,30
204,2025-01-31,302256,20.74,CURRENT
205,2025-01-31,300415,99.57,90+
206,2025-01-31,300429,40.49,CURRENT
207,2025-01-31,301136,1.27,CURRENT
208,2025-01-31,301119,94.09,CURRENT
209,2025-01-31,300519,22.24,CURRENT
210,2025-01-31,301488,71.56,30
211,2025-01-31,301750,106.36,CURRENT
212,2025-01-31,300916,61.37,CURRENT
213,2025-01-31,301757,72.08,CURRENT
214,2025-01-31,302187,112.74,60
215,2025-01-31,300082,85.65,60
216,2025-01-31,301137,161.35,CURRENT
217,2025-01-31,301009,44.58,CURRENT
218,2025-01-31,300778,118.41,CURRENT
219,2025-01-31,301942,48.13,CURRENT
220,2025-01-31,302236,53.02,30
221,2025-01-31,301717,43.68,CURRENT
222,2025-01-31,302092,178.19,CURRENT
223,2025-01-31,300087,41.24,CURRENT
224,2025-01-31,300414,14.0,CURRENT
225,2025-01-31,302076,171.03,CURRENT
226,2025-01-31,301385,88.91,CURRENT
227,2025-01-31,301838,49.58,CURRENT
228,2025-01-31,302030,37.69,CURRENT
229,2025-01-31,300056,69.42,30
230,2025-01-31,301451,93.18,CURRENT
231,2025-01-31,300027,33.73,CURRENT
232,2025-01-31,301071,81.84,CURRENT
233,2025-01-31,301514,237.49,CURRENT
234,2025-01-31,301550,63.9,CURRENT
235,2025-01-31,301660,133.63,CURRENT
236,2025-01-31,301839,35.06,CURRENT
237,2025-01-31,300727,197.32,60
238,2025-01-31,300573,111.76,60
239,2025-01-31,302438,60.99,CURRENT
240,2025-01-31,301568,44.99,CURRENT
241,2025-01-31,302403,284.77,CURRENT
242,2025-01-31,301305,177.58,CURRENT
243,2025-01-31,301791,187.03,60
244,2025-01-31,300486,31.71,CURRENT
245,2025-01-31,301449,49.55,CURRENT
246,2025-01-31,300951,12.9,CURRENT
247,2025-01-31,302439,118.33,CURRENT
248,2025-01-31,302265,79.69,CURRENT
249,2025-01-31,300945,64.51,CURRENT
250,2025-01-31,301237,77.75,CURRENT
251,2025-01-31,300655,216.75,CURRENT
252,2025-01-31,301290,73.41,CURRENT
253,2025-01-31,302168,47.29,CURRENT
254,2025-01-31,300908,74.86,CURRENT
255,2025-01-31,301361,138.5,CURRENT
256,2025-01-31,302293,79.72,CURRENT
257,2025-01-31,301156,93.48,90+
258,2025-01-31,302338,68.89,CURRENT
259,2025-01-31,300534,203.45,30
260,2025-01-31,300322,148.05,30
261,2025-01-31,301285,142.65,CURRENT
262,2025-01-31,302200,80.1,CURRENT
263,2025-01-31,302051,33.49,CURRENT
264,2025-01-31,300960,148.62,CURRENT
265,2025-01-31,302487,93.67,CURRENT
266,2025-01-31,300622,62.19,CURRENT
267,2025-01-31,302379,45.03,CURRENT
268,2025-01-31,301277,255.85,CURRENT
269,2025-01-31,301425,50.98,CURRENT
270,2025-01-31,300488,78.72,CURRENT
271,2025-01-31,300031,269.4,CURRENT
272,2025-01-31,301366,79.99,CURRENT
273,2025-01-31,300516,195.51,CURRENT
274,2025-01-31,301485,221.05,CURRENT
275,2025-01-31,301810,112.25,CURRENT
276,2025-01-31,302215,65.75,CURRENT
277,2025-01-31,301042,45.12,60
278,2025-01-31,301429,131.59,CURRENT
279,2025-01-31,301133,42.96,CURRENT
280,2025-01-31,301878,131.36,60
281,2025-01-31,300037,45.24,CURRENT
282,2025-01-31,302329,153.46,CURRENT
283,2025-01-31,301960,40.01,CURRENT
284,2025-01-31,301906,61.05,CURRENT
285,2025-01-31,301763,74.06,CURRENT
286,2025-01-31,302042,41.5,CURRENT
287,2025-01-31,300218,103.52,CURRENT
288,2025-01-31,300890,17.04,CURRENT
289,2025-01-31,301045,117.24,CURRENT
290,2025-01-31,301728,69.0,30
291,2025-01-31,300263,33.85,CURRENT
292,2025-01-31,301373,192.96,CURRENT
293,2025-01-31,300136,63.84,CURRENT
294,2025-01-31,301725,261.95,30
295,2025-01-31,301085,69.89,30
296,2025-01-31,300149,140.56,CURRENT
297,2025-01-31,300584,81.89,90+
298,2025-01-31,301002,53.8,CURRENT
299,2025-01-31,302078,83.65,CURRENT
300,2025-01-31,301764,38.52,CURRENT
301,2025-01-31,300753,77.56,60
302,2025-01-31,302420,24.96,CURRENT
303,2025-01-31,300970,18.85,CURRENT
304,2025-01-31,300804,27.96,CURRENT
305,2025-01-31,301591,24.3,CURRENT
306,2025-01-31,301455,138.23,CURRENT
307,2025-01-31,300323,64.23,CURRENT
308,2025-01-31,300372,84.15,CURRENT
309,2025-01-31,302007,64.66,CURRENT
310,2025-01-31,300673,55.82,30
311,2025-01-31,300094,44.11,CURRENT
312,2025-01-31,301122,68.7,CURRENT
313,2025-01-31,300243,84.66,30
314,2025-01-31,302224,134.42,CURRENT
315,2025-01-31,302450,261.9,CURRENT
316,2025-01-31,300127,301.62,60
317,2025-01-31,301777,22.34,CURRENT
318,2025-01-31,301614,142.5,CURRENT
319,2025-01-31,301419,144.16,CURRENT
320,2025-01-31,300217,47.87,CURRENT
321,2025-01-31,302412,103.15,CURRENT
322,2025-01-31,302111,112.88,CURRENT
323,2025-01-31,302270,84.6,CURRENT
324,2025-01-31,300303,56.4,CURRENT
325,2025-01-31,301723,52.92,30
326,2025-01-31,300879,85.68,30
327,2025-01-31,300223,139.77,CURRENT
328,2025-01-31,300247,59.74,CURRENT
329,2025-01-31,301245,53.36,CURRENT
330,2025-01-31,301709,51.18,CURRENT
331,2025-01-31,301854,110.36,60
332,2025-01-31,300836,212.42,CURRENT
333,2025-01-31,301370,350.95,CURRENT
334,2025-01-31,300483,54.23,CURRENT
335,2025-01-31,301038,147.47,CURRENT
336,2025-01-31,302201,42.8,CURRENT
337,2025-01-31,302459,102.79,CURRENT
338,2025-01-31,301701,78.08,30
339,2025-01-31,302018,30.2,CURRENT
340,2025-01-31,302087,98.45,CURRENT
341,2025-01-31,301090,33.89,CURRENT
342,2025-01-31,301258,50.45,30
343,2025-01-31,301365,278.54,CURRENT
344,2025-01-31,301068,158.46,CURRENT
345,2025-01-31,301846,145.73,CURRENT
346,2025-01-31,300446,174.7,CURRENT
347,2025-01-31,302280,88.03,30
348,2025-01-31,302464,209.47,CURRENT
349,2025-01-31,302260,55.66,CURRENT
350,2025-01-31,302136,68.74,CURRENT
351,2025-01-31,300224,125.16,CURRENT
352,2025-01-31,302381,108.58,90+
353,2025-01-31,300346,104.41,CURRENT
354,2025-01-31,300453,67.35,CURRENT
355,2025-01-31,300517,76.88,30
356,2025-01-31,301804,76.67,CURRENT
357,2025-01-31,302352,115.92,30
358,2025-01-31,302190,67.02,30
359,2025-01-31,301678,55.1,CURRENT
360,2025-01-31,301755,145.13,CURRENT
361,2025-01-31,300397,101.39,CURRENT
362,2025-01-31,301262,203.69,90+
363,2025-01-31,300432,113.37,CURRENT
364,2025-01-31,300101,16.11,CURRENT
365,2025-01-31,301332,107.47,30
366,2025-01-31,300594,95.14,CURRENT
367,2025-01-31,301422,64.26,CURRENT
368,2025-01-31,300408,196.72,CURRENT
369,2025-01-31,301438,40.38,CURRENT
370,2025-01-31,301167,115.06,CURRENT
371,2025-01-31,301011,37.9,CURRENT
372,2025-01-31,300527,36.16,CURRENT
373,2025-01-31,302055,107.96,CURRENT
374,2025-01-31,301354,70.02,CURRENT
375,2025-01-31,300026,222.19,30
376,2025-01-31,301792,125.8,CURRENT
377,2025-01-31,300443,41.38,CURRENT
378,2025-01-31,301560,69.74,CURRENT
379,2025-01-31,302143,52.41,CURRENT
380,2025-01-31,301977,26.19,CURRENT
381,2025-01-31,302186,38.82,CURRENT
382,2025-01-31,302059,8.66,30
383,2025-01-31,301946,48.04,CURRENT
384,2025-01-31,301272,73.99,CURRENT
385,2025-01-31,301622,8.21,30
386,2025-01-31,302369,44.16,CURRENT
387,2025-01-31,302203,153.09,CURRENT
388,2025-01-31,301386,106.91,CURRENT
389,2025-01-31,301160,19.36,CURRENT
390,2025-01-31,301016,35.25,CURRENT
391,2025-01-31,302166,138.0,CURRENT
392,2025-01-31,300788,62.51,CURRENT
393,2025-01-31,301379,30.43,CURRENT
394,2025-01-31,300765,63.87,CURRENT
395,2025-01-31,300161,38.03,60
396,2025-01-31,301570,74.1,CURRENT
397,2025-01-31,302371,94.62,60
398,2025-01-31,300706,3.51,CURRENT
399,2025-01-31,300682,60.91,CURRENT
400,2025-01-31,300086,496.54,CURRENT
401,2025-01-31,301920,78.29,CURRENT
402,2025-01-31,300181,54.4,CURRENT
403,2025-01-31,301721,68.88,CURRENT
404,2025-01-31,300755,114.77,CURRENT
405,2025-01-31,301023,110.23,CURRENT
406,2025-01-31,302345,127.65,CURRENT
407,2025-01-31,301926,93.38,30
408,2025-01-31,300770,14.9,CURRENT
409,2025-01-31,301962,64.39,CURRENT
410,2025-01-31,300425,18.2,CURRENT
411,2025-01-31,300420,82.31,60
412,2025-01-31,300301,66.63,CURRENT
413,2025-01-31,302351,113.25,CURRENT
414,2025-01-31,302392,136.74,CURRENT
415,2025-01-31,300709,56.96,CURRENT
416,2025-01-31,301371,40.76,CURRENT
417,2025-01-31,301088,45.55,30
418,2025-01-31,300648,32.97,CURRENT
419,2025-01-31,300893,111.76,CURRENT
420,2025-01-31,301294,72.19,CURRENT
421,2025-01-31,301704,50.57,CURRENT
422,2025-01-31,300732,7.12,CURRENT
423,2025-01-31,301981,60.85,60
424,2025-01-31,301430,127.35,CURRENT
425,2025-01-31,300937,14.04,CURRENT
426,2025-01-31,301250,106.61,CURRENT
427,2025-01-31,300751,149.88,CURRENT
428,2025-01-31,301186,29.9,CURRENT
429,2025-01-31,301487,92.75,CURRENT
430,2025-01-31,301937,111.79,CURRENT
431,2025-01-31,300687,94.66,CURRENT
432,2025-01-31,302207,34.67,CURRENT
433,2025-01-31,300582,72.5,CURRENT
434,2025-01-31,300742,49.24,CURRENT
435,2025-01-31,301815,58.84,CURRENT
436,2025-01-31,301586,163.03,CURRENT
437,2025-01-31,300771,4.28,60
438,2025-01-31,302467,8.36,60
439,2025-01-31,300063,63.72,CURRENT
440,2025-01-31,300125,75.97,CURRENT
441,2025-01-31,301991,183.7,CURRENT
442,2025-01-31,302442,92.95,CURRENT
443,2025-01-31,300021,41.29,CURRENT
444,2025-01-31,301520,64.8,CURRENT
445,2025-01-31,302309,25.67,CURRENT
446,2025-01-31,300491,73.53,CURRENT
447,2025-01-31,300197,144.76,CURRENT
448,2025-01-31,301273,217.93,CURRENT
449,2025-01-31,300637,58.24,CURRENT
450,2025-01-31,301746,148.62,CURRENT
451,2025-01-31,300236,56.79,CURRENT
452,2025-01-31,300242,179.55,CURRENT
453,2025-01-31,302025,91.84,CURRENT
454,2025-01-31,300496,60.96,CURRENT
455,2025-01-31,302367,24.84,CURRENT
456,2025-01-31,302333,30.71,CURRENT
457,2025-01-31,300426,106.37,30
458,2025-01-31,300716,29.03,CURRENT
459,2025-01-31,302422,232.78,CURRENT
460,2025-01-31,300524,52.46,CURRENT
461,2025-01-31,300489,175.81,CURRENT
462,2025-01-31,300997,125.7,CURRENT
463,2025-01-31,301194,113.21,CURRENT
464,2025-01-31,301922,205.66,CURRENT
465,2025-01-31,300333,9.39,30
466,2025-01-31,300560,73.64,CURRENT
467,2025-01-31,301189,116.21,CURRENT
468,2025-01-31,300829,44.91,CURRENT
469,2025-01-31,300459,29.12,CURRENT
470,2025-01-31,302161,46.13,60
471,2025-01-31,302344,53.34,60
472,2025-01-31,301466,72.46,CURRENT
473,2025-01-31,301213,92.36,CURRENT
474,2025-01-31,301057,62.78,CURRENT
475,2025-01-31,301954,244.4,30
476,2025-01-31,301549,188.84,CURRENT
477,2025-01-31,300986,107.56,CURRENT
478,2025-01-31,301066,32.03,CURRENT
479,2025-01-31,300358,86.26,CURRENT
480,2025-01-31,302073,133.99,CURRENT
481,2025-01-31,301796,106.56,CURRENT
482,2025-01-31,300714,193.03,CURRENT
483,2025-01-31,300266,125.99,CURRENT
484,2025-01-31,300418,29.77,CURRENT
485,2025-01-31,302210,101.14,CURRENT
486,2025-01-31,300057,59.28,CURRENT
487,2025-01-31,302444,76.94,CURRENT
488,2025-01-31,301107,67.14,30
489,2025-01-31,302204,81.36,30
490,2025-01-31,302228,95.28,CURRENT
491,2025-01-31,300608,25.7,CURRENT
492,2025-01-31,300808,23.81,CURRENT
493,2025-01-31,300695,21.16,CURRENT
494,2025-01-31,300457,36.98,CURRENT
495,2025-01-31,301742,59.38,CURRENT
496,2025-01-31,302194,162.68,CURRENT
497,2025-01-31,300894,83.45,CURRENT
498,2025-01-31,300609,131.86,CURRENT
499,2025-01-31,300141,79.51,CURRENT
500,2025-01-31,300747,124.84,30
501,2025-01-31,300294,25.01,CURRENT
502,2025-01-31,301171,75.45,90+
503,2025-01-31,300805,54.73,30
504,2025-01-31,300479,46.66,CURRENT
505,2025-01-31,301898,227.15,CURRENT
506,2025-01-31,301822,123.3,CURRENT
507,2025-01-31,300870,19.3,CURRENT
508,2025-01-31,300607,41.86,60
509,2025-01-31,300990,212.85,CURRENT
510,2025-01-31,300809,90.95,CURRENT
511,2025-01-31,301799,97.58,CURRENT
512,2025-01-31,300928,20.39,60
513,2025-01-31,302320,129.12,CURRENT
514,2025-01-31,301956,148.11,CURRENT
515,2025-01-31,301407,99.79,60
516,2025-01-31,301705,71.61,CURRENT
517,2025-01-31,300578,70.06,30
518,2025-01-31,301569,72.36,CURRENT
519,2025-01-31,300492,77.0,CURRENT
520,2025-01-31,302360,101.15,30
521,2025-01-31,301903,33.94,CURRENT
522,2025-01-31,300620,79.13,60
523,2025-01-31,301931,29.24,CURRENT
524,2025-01-31,300467,105.6,CURRENT
525,2025-01-31,300093,126.83,30
526,2025-01-31,301908,90.97,CURRENT
527,2025-01-31,302178,28.88,CURRENT
528,2025-01-31,302149,39.47,CURRENT
529,2025-01-31,302375,33.0,30
530,2025-01-31,302094,154.96,CURRENT
531,2025-01-31,300175,53.92,30
532,2025-01-31,300889,49.57,60
533,2025-01-31,300748,8.29,CURRENT
534,2025-01-31,301893,82.88,CURRENT
535,2025-01-31,301611,86.66,CURRENT
536,2025-01-31,300256,57.51,CURRENT
537,2025-01-31,301886,155.1,90+
538,2025-01-31,300657,136.82,CURRENT
539,2025-01-31,300139,103.18,CURRENT
540,2025-01-31,301128,91.01,CURRENT
541,2025-01-31,302053,25.77,CURRENT
542,2025-01-31,302159,77.96,CURRENT
543,2025-01-31,302056,23.26,CURRENT
544,2025-01-31,300404,140.86,CURRENT
545,2025-01-31,300579,37.81,CURRENT
546,2025-01-31,302312,34.69,CURRENT
547,2025-01-31,301872,88.73,CURRENT
548,2025-01-31,300004,119.8,CURRENT
549,2025-01-31,301801,81.51,90+
550,2025-01-31,300731,136.52,CURRENT
551,2025-01-31,301935,17.33,60
552,2025-01-31,300198,59.84,30
553,2025-01-31,300162,20.94,60
554,2025-01-31,300487,80.03,CURRENT
555,2025-01-31,300386,156.78,CURRENT
556,2025-01-31,302206,76.15,CURRENT
557,2025-01-31,300726,78.84,CURRENT
558,2025-01-31,301076,65.6,CURRENT
559,2025-01-31,300927,75.86,CURRENT
560,2025-01-31,300996,171.16,CURRENT
561,2025-01-31,300652,45.05,30
562,2025-01-31,300291,338.02,60
563,2025-01-31,300754,76.29,CURRENT
564,2025-01-31,300226,37.33,CURRENT
565,2025-01-31,301753,66.58,90+
566,2025-01-31,300407,81.74,CURRENT
567,2025-01-31,301634,85.8,CURRENT
568,2025-01-31,301047,121.5,CURRENT
569,2025-01-31,300054,32.21,CURRENT
570,2025-01-31,302126,176.09,30
571,2025-01-31,301523,37.31,CURRENT
572,2025-01-31,300850,241.58,CURRENT
573,2025-01-31,302066,152.69,CURRENT
574,2025-01-31,302164,117.38,CURRENT
575,2025-01-31,300852,52.69,CURRENT
576,2025-01-31,300431,101.5,CURRENT
577,2025-01-31,300016,238.45,CURRENT
578,2025-01-31,301091,58.88,CURRENT
579,2025-01-31,301827,57.8,CURRENT
580,2025-01-31,302067,12.21,CURRENT
581,2025-01-31,300744,7.55,90+
582,2025-01-31,301200,112.07,CURRENT
583,2025-01-31,300543,116.28,CURRENT
584,2025-01-31,300257,59.68,CURRENT
585,2025-01-31,300896,38.48,30
586,2025-01-31,300146,24.08,CURRENT
587,2025-01-31,300384,36.01,CURRENT
588,2025-01-31,300274,145.75,CURRENT
589,2025-01-31,300895,142.91,30
590,2025-01-31,300156,240.51,CURRENT
591,2025-01-31,302426,115.72,90+
592,2025-01-31,301010,127.28,60
593,2025-01-31,301613,56.64,30
594,2025-01-31,300535,39.58,CURRENT
595,2025-01-31,301078,43.28,30
596,2025-01-31,302153,16.14,30
597,2025-01-31,301619,44.13,CURRENT
598,2025-01-31,300685,29.07,60
599,2025-01-31,300227,50.54,CURRENT
600,2025-01-31,300866,97.31,CURRENT
601,2025-01-31,300058,46.07,CURRENT
602,2025-01-31,302157,42.62,30
603,2025-01-31,301566,11.71,CURRENT
604,2025-01-31,300858,28.24,CURRENT
605,2025-01-31,302071,26.49,30
606,2025-01-31,301710,59.3,CURRENT
607,2025-01-31,300043,110.67,CURRENT
608,2025-01-31,301982,201.69,CURRENT
609,2025-01-31,301323,165.28,CURRENT
610,2025-01-31,302370,91.42,CURRENT
611,2025-01-31,302295,288.47,60
612,2025-01-31,301971,173.75,CURRENT
613,2025-01-31,300240,95.83,CURRENT
614,2025-01-31,302399,23.62,CURRENT
615,2025-01-31,301510,199.41,CURRENT
616,2025-01-31,301312,120.92,30
617,2025-01-31,302356,164.32,CURRENT
618,2025-01-31,300034,85.06,CURRENT
619,2025-01-31,302500,90.45,CURRENT
620,2025-01-31,302214,45.76,CURRENT
621,2025-01-31,300359,213.42,CURRENT
622,2025-01-31,301106,175.01,CURRENT
623,2025-01-31,300442,62.92,CURRENT
624,2025-01-31,301183,133.17,CURRENT
625,2025-01-31,301910,164.24,CURRENT
626,2025-01-31,300867,69.22,CURRENT
627,2025-01-31,302014,156.73,CURRENT
628,2025-01-31,300659,81.6,30
629,2025-01-31,302247,44.21,60
630,2025-01-31,301458,63.98,CURRENT
631,2025-01-31,301518,28.93,CURRENT
632,2025-01-31,300462,101.09,CURRENT
633,2025-01-31,302193,34.34,60
634,2025-01-31,300750,56.64,CURRENT
635,2025-01-31,300834,215.6,CURRENT
636,2025-01-31,301999,130.55,CURRENT
637,2025-01-31,300007,339.57,CURRENT
638,2025-01-31,300001,32.94,CURRENT
639,2025-01-31,301712,81.9,CURRENT
640,2025-01-31,300128,70.04,CURRENT
641,2025-01-31,302005,79.13,CURRENT
642,2025-01-31,301132,122.45,CURRENT
643,2025-01-31,300868,68.04,30
644,2025-01-31,300280,90.86,CURRENT
645,2025-01-31,301495,33.94,CURRENT
646,2025-01-31,300975,80.04,CURRENT
647,2025-01-31,301665,156.22,CURRENT
648,2025-01-31,301627,81.17,CURRENT
649,2025-01-31,301130,25.28,30
650,2025-01-31,300398,151.19,CURRENT
651,2025-01-31,301473,87.48,30
652,2025-01-31,302272,67.31,60
653,2025-01-31,301177,75.11,CURRENT
654,2025-01-31,301823,84.56,90+
655,2025-01-31,302384,256.76,30
656,2025-01-31,300558,42.57,CURRENT
657,2025-01-31,300140,88.05,CURRENT
658,2025-01-31,301412,120.2,CURRENT
