order_id,customer_id,employee_id,order_date,ship_city,ship_state
10124,C0046,9,2025-05-04,Adamschester,SC
10125,C0070,2,2025-05-04,Kennethton,GA
10126,C0044,6,2025-05-04,South Lauren,VA
10127,C0057,2,2025-05-04,Kellyfort,GA
10128,C0081,9,2025-05-05,Craigside,SC
10129,C0113,10,2025-05-08,West Norma,VA
10130,C0046,1,2025-05-09,Port Anthony,SC
10131,C0040,1,2025-05-10,West Susanburgh,SC
10132,C0047,5,2025-05-10,East Michaelstad,SC
10133,C0009,5,2025-05-11,Port Jenna,SC
10134,C0091,8,2025-05-12,Allenville,NC
10135,C0035,9,2025-05-14,Kimberlyfurt,SC
10136,C0084,2,2025-05-14,Youngland,VA
10137,C0022,3,2025-05-16,Anthonyland,VA
10138,C0005,6,2025-05-16,Tammyland,NC
10139,C0051,2,2025-05-16,East Jonathan,TN
10140,C0080,4,2025-05-17,North Elainebury,SC
10141,C0013,3,2025-05-18,East Elizabethshire,SC
10142,C0008,4,2025-05-21,Martinezborough,NC
10143,C0075,8,2025-05-21,Pattersonside,GA
10144,C0085,9,2025-05-21,South Jason,TN
10145,C0047,7,2025-05-23,South Michaelland,VA
10146,C0079,9,2025-05-23,Johnsonborough,TN
10147,C0028,1,2025-05-24,Michaelside,VA
10148,C0076,4,2025-05-25,Port David,SC
10149,C0107,2,2025-05-26,Rogersmouth,TN
10150,C0114,4,2025-05-26,West Melissa,GA
10151,C0119,6,2025-05-26,East Jasonside,SC
10152,C0036,9,2025-05-26,Port Michelle,SC
10153,C0083,6,2025-05-29,New Sandraborough,TN
10154,C0022,5,2025-05-30,Frostfurt,TN
10155,C0013,8,2025-05-31,Knightbury,NC
10156,C0050,10,2025-06-02,Port John,GA
10157,C0064,3,2025-06-02,Charlesville,GA
10158,C0017,1,2025-06-03,Dorothyfort,VA
10159,C0084,6,2025-06-04,Tristanton,SC
10160,C0116,9,2025-06-05,Kristintown,GA
10161,C0057,9,2025-06-07,Sullivanchester,TN
10162,C0087,2,2025-06-07,South Katelyn,GA
10163,C0021,10,2025-06-08,New Rebeccaland,NC
10164,C0092,9,2025-06-09,Reidmouth,GA
10165,C0042,8,2025-06-10,Robertmouth,TN
10166,C0087,6,2025-06-11,Lake Heatherchester,GA
10167,C0108,9,2025-06-11,Markton,TN
10168,C0096,1,2025-06-11,Douglasport,TN
10169,C0005,3,2025-06-13,Lake Donald,TN
10170,C0116,8,2025-06-13,New Sherri,SC
10171,C0007,5,2025-06-14,Lake Kyliestad,GA
10172,C0042,1,2025-06-15,Taylorbury,VA
10173,C0084,10,2025-06-15,Lindamouth,NC
10174,C0039,6,2025-06-18,Ericaport,VA
10175,C0100,7,2025-06-19,Carterberg,GA
10176,C0001,9,2025-06-19,East Jessicahaven,VA
10177,C0075,2,2025-06-19,Buckleyview,SC
10178,C0049,6,2025-06-21,West Jeffreymouth,GA
10179,C0109,4,2025-06-22,Howehaven,TN
10180,C0002,1,2025-06-23,East Jennifer,NC
10181,C0062,2,2025-06-23,New Laura,TN
10182,C0001,7,2025-06-24,Lake Maryport,GA
10183,C0079,9,2025-06-28,Jodyberg,VA
10184,C0055,2,2025-06-28,Thomasview,TN
10185,C0052,2,2025-06-28,Navarroport,NC
10186,C0074,1,2025-06-29,Birdbury,VA
10187,C0096,5,2025-06-30,Kimside,SC
10188,C0034,5,2025-06-30,South Stevenside,SC
10189,C0005,5,2025-07-01,Port Jamesbury,GA
10190,C0107,2,2025-07-02,Martinbury,VA
10191,C0047,6,2025-07-02,Bryanburgh,TN
10192,C0071,5,2025-07-02,East Robinfurt,TN
10193,C0044,9,2025-07-05,Evansside,NC
10194,C0108,8,2025-07-06,Camachoport,SC
10195,C0014,1,2025-07-06,Lynchland,SC
10196,C0120,8,2025-07-07,Johnsonbury,TN
10197,C0058,2,2025-07-08,Johnsonmouth,GA
10198,C0037,4,2025-07-10,Bruceborough,SC
10199,C0090,3,2025-07-10,East Joechester,TN
10200,C0074,9,2025-07-12,Griffinhaven,VA
10201,C0018,5,2025-07-12,Ashleyville,TN
10202,C0095,4,2025-07-14,Port Matthew,TN
10203,C0120,10,2025-07-14,Matthewstad,SC
10204,C0035,8,2025-07-15,New Thomas,GA
10205,C0025,8,2025-07-17,Jeffreyside,GA
10206,C0095,9,2025-07-18,Ritterport,NC
10207,C0109,5,2025-07-18,Fergusonland,NC
10208,C0103,2,2025-07-21,North Danielville,VA
10209,C0003,4,2025-07-22,Martinezchester,NC
10210,C0116,1,2025-07-22,Lowemouth,VA
10211,C0062,9,2025-07-22,Butlerburgh,GA
10212,C0113,4,2025-07-24,Port Michael,SC
10213,C0008,7,2025-07-24,East Brianville,VA
10214,C0078,4,2025-07-24,Shawside,VA
10215,C0036,8,2025-07-25,Williamsview,VA
10216,C0017,4,2025-07-25,New Alex,NC
10217,C0097,9,2025-07-26,Briggschester,SC
10218,C0038,10,2025-07-29,South Robertstad,TN
10219,C0074,1,2025-07-29,Cynthiachester,NC
10220,C0104,4,2025-07-29,Hernandezfurt,SC
10221,C0107,9,2025-07-30,South Rebeccachester,SC
10222,C0004,2,2025-08-01,Lynnfurt,TN
10223,C0059,10,2025-08-02,West Frank,NC
10224,C0033,4,2025-08-02,Juanhaven,SC
10225,C0014,5,2025-08-03,East Duane,TN
10226,C0047,4,2025-08-06,Lake Larrybury,NC
10227,C0010,1,2025-08-08,Reginaberg,NC
10228,C0030,2,2025-08-08,Royton,GA
10229,C0064,1,2025-08-10,North Jonathan,NC
10230,C0079,4,2025-08-10,Lake Anthony,GA
10231,C0111,10,2025-08-10,South Nancy,NC
10232,C0026,4,2025-08-12,South Danatown,NC
10233,C0119,2,2025-08-12,Nicholasland,TN
10234,C0024,10,2025-08-15,Alexanderside,SC
10235,C0091,8,2025-08-19,Josephport,GA
10236,C0104,2,2025-08-22,Matthewmouth,GA
10237,C0009,8,2025-08-22,Jacobside,NC
10238,C0078,3,2025-08-22,New Linda,TN
10239,C0021,5,2025-08-23,East Brookefurt,SC
10240,C0110,6,2025-08-24,Meredithchester,NC
10241,C0076,3,2025-08-24,East Amanda,NC
10242,C0100,5,2025-08-25,Port Jessica,TN
10243,C0071,2,2025-08-26,Lake Christopherport,NC
10244,C0053,10,2025-08-28,Port Charlestown,SC
10245,C0110,3,2025-08-30,Thomasside,VA
10246,C0059,4,2025-08-31,West Ashleyfurt,GA
10247,C0058,7,2025-09-02,West Ricky,TN
10248,C0010,2,2025-09-03,Jenniferport,VA
10249,C0034,9,2025-09-06,New Brendamouth,TN
10250,C0013,10,2025-09-07,Colefort,GA
10251,C0015,5,2025-09-09,Allenland,TN
10252,C0010,2,2025-09-10,West Alexhaven,NC
10253,C0091,2,2025-09-11,West Patrickfurt,NC
10254,C0025,4,2025-09-12,Port Angela,VA
10255,C0109,9,2025-09-13,Lake Jamesfort,GA
10256,C0043,1,2025-09-14,South Tinabury,VA
10257,C0088,6,2025-09-15,North Meaganstad,SC
10258,C0006,7,2025-09-16,Brownland,TN
10259,C0020,5,2025-09-16,Lake Monicabury,VA
10260,C0095,6,2025-09-17,Carlbury,VA
10261,C0075,8,2025-09-18,Daytown,SC
10262,C0053,8,2025-09-18,East Denisefurt,NC
10263,C0108,1,2025-09-18,Port Hollyberg,GA
10264,C0101,8,2025-09-18,East Andreaburgh,VA
10265,C0058,2,2025-09-19,Jenniferport,SC
10266,C0023,9,2025-09-19,Derekmouth,GA
10267,C0005,1,2025-09-20,New Mercedes,TN
10268,C0105,7,2025-09-22,Jordanview,NC
10269,C0033,3,2025-09-23,Johnsonton,SC
10270,C0041,3,2025-09-24,Whitneybury,TN
10271,C0079,5,2025-09-25,Zacharymouth,SC
10272,C0050,1,2025-09-26,Margaretborough,SC
10273,C0016,2,2025-09-28,South Andrew,GA
10274,C0075,5,2025-09-29,Lake Mary,SC
10275,C0042,1,2025-09-30,East Robert,NC
10276,C0089,2,2025-09-30,North Stephanie,GA
10277,C0118,1,2025-10-01,South Lisaport,NC
10278,C0081,4,2025-10-03,North Micheleville,SC
10279,C0016,4,2025-10-03,Lake Patriciaville,NC
10280,C0090,8,2025-10-04,Andrewton,GA
10281,C0053,5,2025-10-05,South Mark,GA
10282,C0074,2,2025-10-07,New Jenniferview,GA
10283,C0078,2,2025-10-10,West Erica,TN
10284,C0086,9,2025-10-10,Curryport,GA
10285,C0026,5,2025-10-12,Lake Paul,VA
10286,C0036,3,2025-10-12,Cookmouth,SC
10287,C0098,7,2025-10-15,Andrewstad,VA
10288,C0120,3,2025-10-17,Port Jackie,VA
10289,C0021,4,2025-10-20,Williamsborough,NC
10290,C0033,2,2025-10-21,Holtview,TN
10291,C0072,6,2025-10-22,North Aaron,NC
10292,C0074,7,2025-10-23,Johnsonview,TN
10293,C0005,2,2025-10-24,New Stephanie,SC
10294,C0001,9,2025-10-25,Barkerville,GA
10295,C0120,4,2025-10-25,Port Jessechester,VA
10296,C0047,10,2025-10-26,Cathyburgh,SC
10297,C0064,4,2025-10-27,West Craig,SC
10298,C0045,5,2025-10-28,Davidton,TN
10299,C0029,7,2025-10-31,West Courtneyfurt,SC
10300,C0040,6,2025-11-02,South Jeffrey,SC
10301,C0017,8,2025-11-03,Ashleyberg,VA
10302,C0011,2,2025-11-03,Sarahstad,VA
10303,C0005,4,2025-11-04,Port Andreabury,TN
10304,C0020,2,2025-11-06,West Cody,TN
10305,C0033,7,2025-11-09,Kennedyton,NC
10306,C0109,3,2025-11-09,West Sarahton,VA
10307,C0102,3,2025-11-11,East Kellyshire,NC
10308,C0083,4,2025-11-18,West Moniquefurt,VA
10309,C0030,9,2025-11-22,North Kristin,NC
10310,C0062,10,2025-11-24,West Michael,VA
10311,C0113,2,2025-11-28,New Sarahtown,TN
10312,C0098,6,2025-11-28,West Neilberg,VA
10313,C0120,6,2025-11-30,Boydmouth,VA
10314,C0047,1,2025-11-30,Jacobstad,VA
10315,C0069,3,2025-12-01,Alexandertown,TN
10316,C0113,2,2025-12-03,Port Andrew,NC
10317,C0015,4,2025-12-03,Lake Sandra,VA
10318,C0042,5,2025-12-04,South Dominique,TN
10319,C0041,4,2025-12-04,Stacymouth,NC
10320,C0057,4,2025-12-06,Stoneborough,TN
10321,C0085,2,2025-12-08,Port Wesleyberg,GA
10322,C0016,8,2025-12-12,West Christopherside,VA
10323,C0045,6,2025-12-13,South Andreafurt,NC
10324,C0047,3,2025-12-14,Williamsside,TN
10325,C0079,9,2025-12-17,West Markbury,TN
10326,C0077,4,2025-12-18,Spencerchester,VA
10327,C0083,10,2025-12-19,Lake Noahmouth,NC
10328,C0041,1,2025-12-19,North Michaelburgh,TN
10329,C0021,2,2025-12-19,Port Christina,SC
10330,C0091,6,2025-12-20,New Mark,SC
10331,C0036,1,2025-12-21,Dominiquestad,TN
10332,C0102,6,2025-12-25,West Billyport,TN
10333,C0079,4,2025-12-25,Lindseytown,TN
10334,C0069,1,2025-12-26,Annport,VA
10335,C0062,10,2025-12-28,Kimchester,GA
10336,C0022,3,2025-12-30,Jamesmouth,SC
10337,C0061,8,2025-12-31,Nicolestad,VA
10338,C0069,4,2025-12-31,North Brenda,NC
10339,C0015,4,2026-01-01,Thomasview,GA
10340,C0098,2,2026-01-03,Mollyberg,TN
10341,C0109,10,2026-01-03,Lake Maryport,SC
10342,C0067,9,2026-01-04,New Tracey,SC
10343,C0004,9,2026-01-07,Dianaport,NC
10344,C0011,8,2026-01-07,Scottfort,GA
10345,C0091,5,2026-01-07,West Randall,SC
10346,C0049,3,2026-01-09,Coleberg,NC
10347,C0036,10,2026-01-10,Sotoville,GA
10348,C0075,3,2026-01-10,East Josephshire,VA
10349,C0093,9,2026-01-10,South Cindyton,NC
10350,C0006,6,2026-01-11,Robinhaven,VA
10351,C0038,8,2026-01-13,Markview,GA
10352,C0055,1,2026-01-14,Millerside,SC
10353,C0097,8,2026-01-17,Port Laurashire,TN
10354,C0086,10,2026-01-19,Port Jessica,NC
10355,C0075,10,2026-01-21,Mariahchester,SC
10356,C0066,7,2026-01-22,Lake Megan,SC
10357,C0116,8,2026-01-23,Lake Larryshire,SC
10358,C0048,3,2026-01-24,Kingburgh,SC
10359,C0086,7,2026-01-24,North Rhondamouth,NC
10360,C0110,2,2026-01-25,Heatherfurt,TN
10361,C0108,5,2026-01-27,Darlenefort,TN
10362,C0109,6,2026-01-27,Warrenborough,SC
10363,C0043,10,2026-01-28,Scottburgh,SC
10364,C0043,4,2026-01-29,New Randy,SC
10365,C0085,3,2026-01-30,North Kim,TN
10366,C0001,5,2026-01-31,Davidmouth,VA
10367,C0083,9,2026-02-01,New Zacharytown,VA
10368,C0025,7,2026-02-03,East Alexis,GA
10369,C0025,3,2026-02-05,Blairport,VA
10370,C0091,5,2026-02-05,East Alexandriamouth,SC
10371,C0092,3,2026-02-05,East Danielport,SC
10372,C0096,10,2026-02-05,Kennedyhaven,GA
10373,C0066,3,2026-02-06,Hallmouth,VA
10374,C0038,8,2026-02-07,Lake Patricia,VA
10375,C0111,9,2026-02-08,Lake Amberfurt,GA
10376,C0112,2,2026-02-08,East Vincentchester,NC
10377,C0062,8,2026-02-15,West Joy,SC
10378,C0052,1,2026-02-16,Lake Randallfurt,GA
10379,C0105,3,2026-02-17,East Tinashire,GA
10380,C0060,2,2026-02-17,Millsberg,GA
10381,C0038,2,2026-02-17,Lake Michael,TN
10382,C0015,2,2026-02-18,North Lance,GA
10383,C0043,8,2026-02-20,Brownberg,SC
10384,C0015,9,2026-02-20,New Jacqueline,NC
10385,C0067,2,2026-02-21,Jonesfurt,NC
10386,C0072,6,2026-02-21,Randyport,GA
10387,C0009,10,2026-02-23,Port Laurenhaven,TN
10388,C0053,7,2026-02-25,Scottborough,VA
10389,C0053,2,2026-02-28,Nelsonport,NC
10390,C0045,9,2026-03-01,New Kelly,SC
10391,C0108,7,2026-03-01,Munozland,TN
10392,C0025,6,2026-03-01,Michaelmouth,NC
10393,C0079,3,2026-03-02,Richardsonborough,TN
10394,C0001,1,2026-03-02,North Allison,GA
10395,C0113,7,2026-03-03,Lynnchester,SC
10396,C0104,5,2026-03-03,Suttonville,NC
10397,C0111,10,2026-03-04,Bradleyburgh,VA
10398,C0068,10,2026-03-06,Morganchester,GA
10399,C0013,9,2026-03-06,Thompsonmouth,NC
10400,C0099,8,2026-03-07,Jamesborough,GA
10401,C0031,7,2026-03-09,Meghanhaven,VA
10402,C0019,5,2026-03-10,Patrickhaven,GA
10403,C0089,5,2026-03-10,Leahton,NC
10404,C0037,9,2026-03-11,Gardnerport,SC
10405,C0054,5,2026-03-12,Denisestad,TN
10406,C0112,10,2026-03-13,New Juanburgh,SC
10407,C0096,8,2026-03-16,Carlosside,NC
10408,C0079,2,2026-03-17,Taylorton,VA
10409,C0058,8,2026-03-18,New Robert,TN
10410,C0073,4,2026-03-19,Port Christopher,TN
10411,C0024,7,2026-03-19,West Sherrybury,SC
10412,C0066,4,2026-03-19,Port Philipborough,VA
10413,C0035,5,2026-03-19,Rodriguezbury,SC
10414,C0021,1,2026-03-19,Grahamside,SC
10415,C0068,8,2026-03-21,Lake James,NC
10416,C0111,4,2026-03-23,Floresmouth,SC
10417,C0107,4,2026-03-27,Spencerport,SC
10418,C0109,6,2026-03-29,South Christine,GA
10419,C0003,3,2026-03-31,South Jason,NC
10420,C0029,4,2026-03-31,Amandatown,NC
10421,C0062,1,2026-03-31,Kathyberg,TN
10422,C0002,3,2026-04-03,Shannonfurt,NC
10423,C0067,2,2026-04-05,Bennettbury,TN
10424,C0011,10,2026-04-05,Lydiachester,TN
10425,C0110,10,2026-04-09,North Davidchester,TN
10426,C0015,3,2026-04-09,East Cameronberg,TN
10427,C0007,7,2026-04-09,Port Cheryl,VA
10428,C0029,10,2026-04-10,Stevenfurt,VA
10429,C0049,4,2026-04-10,Port Veronica,GA
10430,C0041,4,2026-04-12,Batesland,GA
10431,C0086,10,2026-04-12,East Tim,VA
10432,C0026,7,2026-04-13,East Destiny,GA
10433,C0025,1,2026-04-16,Robertbury,TN
10434,C0112,3,2026-04-16,Sharihaven,NC
10435,C0080,4,2026-04-18,Emmachester,VA
10436,C0086,3,2026-04-20,Lake Ambertown,NC
10437,C0031,5,2026-04-21,Michealburgh,GA
10438,C0063,1,2026-04-23,New Tylerstad,SC
10439,C0064,3,2026-04-23,West Kyle,SC
10440,C0082,1,2026-04-23,Georgehaven,GA
10441,C0067,9,2026-04-25,Port Laurie,GA
10442,C0054,7,2026-04-27,West William,GA
10443,C0013,3,2026-04-28,Lake Amber,GA
10444,C0010,4,2026-04-28,Raymondberg,GA
10445,C0066,5,2026-04-29,South Jonathan,VA
10446,C0068,7,2026-04-30,Jacquelinechester,NC
10447,C0060,10,2026-05-01,Port Craig,SC
10448,C0049,5,2026-05-02,Kevintown,NC
10449,C0026,5,2026-05-05,Pamelaview,NC
10450,C0099,1,2026-05-10,East Stephenport,VA
10451,C0002,3,2026-05-12,West Edwintown,TN
10452,C0060,1,2026-05-12,Kathleenburgh,TN
10453,C0095,6,2026-05-14,Port Jessicahaven,TN
10454,C0112,2,2026-05-16,Port Kimberlymouth,SC
10455,C0055,9,2026-05-17,Wellsside,SC
10456,C0016,5,2026-05-17,East Allisontown,NC
10457,C0060,4,2026-05-17,West Melinda,VA
10458,C0003,4,2026-05-18,West Allisonhaven,VA
10459,C0045,1,2026-05-18,Johnsonhaven,GA
10460,C0119,5,2026-05-18,East Robertview,SC
10461,C0044,5,2026-05-19,Christinaport,NC
10462,C0075,1,2026-05-20,Kimberlybury,SC
10463,C0069,9,2026-05-21,Steventown,TN
10464,C0117,1,2026-05-21,Josephland,GA
10465,C0067,2,2026-05-22,South Stephanie,NC
10466,C0091,10,2026-05-22,Jenniferborough,VA
10467,C0043,4,2026-05-24,North John,GA
10468,C0117,1,2026-05-25,South Williamfort,TN
10469,C0070,2,2026-05-26,Valerieshire,VA
10470,C0058,7,2026-05-26,East Charlotte,VA
10471,C0044,10,2026-05-28,Deckerport,GA
10472,C0043,5,2026-05-29,Marystad,SC
10473,C0054,9,2026-05-30,Jenningsfort,VA
10474,C0028,8,2026-05-31,Beltranton,TN
10475,C0044,2,2026-05-31,New Victoriachester,NC
10476,C0069,3,2026-06-04,East Darren,SC
10477,C0004,2,2026-06-05,Davischester,NC
10478,C0104,4,2026-06-05,Cunninghamfort,GA
10479,C0009,3,2026-06-06,Myersberg,GA
10480,C0091,2,2026-06-08,South Christopherfurt,GA
10481,C0110,8,2026-06-09,Port Jerryberg,TN
10482,C0033,9,2026-06-10,Evanston,VA
10483,C0057,1,2026-06-10,Port Shane,VA
10484,C0099,4,2026-06-12,Anthonytown,NC
10485,C0017,6,2026-06-13,Juliestad,TN
10486,C0113,2,2026-06-14,West Chloefurt,NC
10487,C0077,8,2026-06-14,New Mariefurt,TN
10488,C0070,8,2026-06-14,Port Rebecca,NC
10489,C0101,10,2026-06-16,South Danielton,VA
10490,C0065,6,2026-06-17,North Jennifer,TN
10491,C0043,10,2026-06-18,Jackiemouth,SC
10492,C0074,9,2026-06-18,West Jessica,SC
10493,C0051,5,2026-06-20,East Holly,SC
10494,C0014,3,2026-06-21,Ericfurt,TN
10495,C0111,9,2026-06-22,North Larry,VA
10496,C0072,1,2026-06-23,Port Vanessa,SC
10497,C0112,10,2026-06-23,Ashleymouth,TN
10498,C0026,5,2026-06-24,North Denisetown,VA
10499,C0100,10,2026-06-25,Allenside,NC
10500,C0087,4,2026-06-28,Mcbrideburgh,VA
