work_order_id,service_location_id,service_type_id,created_timestamp,status,priority,reported_channel
400031,301157,5,2025-01-05 17:29:51,COMPLETED,Routine,Phone
400032,300974,2,2025-01-06 00:47:28,OPEN,Routine,Web
400033,300436,12,2025-01-06 11:09:08,COMPLETED,Routine,Phone
400034,300971,12,2025-01-06 12:42:12,COMPLETED,Priority,Phone
400035,300367,2,2025-01-06 13:04:22,CANCELLED,Routine,Phone
400036,301091,1,2025-01-06 14:29:53,CANCELLED,Routine,Mobile
400037,300264,10,2025-01-06 14:30:46,COMPLETED,Routine,Phone
400038,300050,11,2025-01-06 17:07:29,OPEN,Routine,Technician
400039,301327,11,2025-01-06 19:59:48,CANCELLED,Priority,Phone
400040,301767,9,2025-01-06 21:59:08,COMPLETED,Routine,Phone
400041,300427,8,2025-01-07 08:51:36,COMPLETED,Priority,Phone
400042,300232,11,2025-01-07 08:56:27,COMPLETED,Routine,Mobile
400043,300600,7,2025-01-07 11:20:01,COMPLETED,Routine,Mobile
400044,300528,12,2025-01-07 11:57:07,COMPLETED,Routine,Mobile
400045,300573,12,2025-01-07 12:06:06,COMPLETED,Priority,Web
400046,300652,4,2025-01-07 14:03:40,COMPLETED,Priority,Mobile
400047,300121,8,2025-01-07 21:18:24,CANCELLED,Routine,Web
400048,300549,11,2025-01-08 00:43:06,COMPLETED,Routine,Mobile
400049,300485,6,2025-01-08 07:56:51,COMPLETED,Priority,Mobile
400050,300876,4,2025-01-08 09:05:49,COMPLETED,Priority,Web
400051,301401,6,2025-01-08 09:59:40,COMPLETED,Priority,Web
400052,300777,11,2025-01-08 10:22:36,COMPLETED,Routine,Technician
400053,301080,11,2025-01-08 14:04:53,COMPLETED,Routine,Mobile
400054,301772,12,2025-01-08 18:12:07,OPEN,Priority,Web
400055,301325,6,2025-01-09 01:49:51,COMPLETED,Routine,Web
400056,301170,7,2025-01-09 08:08:44,COMPLETED,Routine,Mobile
400057,300271,4,2025-01-09 15:57:06,COMPLETED,Routine,Phone
400058,301244,11,2025-01-09 17:35:43,COMPLETED,Routine,Phone
400059,301268,9,2025-01-09 23:53:57,COMPLETED,Priority,Phone
400060,300989,3,2025-01-10 04:41:58,COMPLETED,Routine,Web
400061,300073,9,2025-01-10 06:05:54,COMPLETED,Routine,Web
400062,300956,3,2025-01-10 07:09:57,OPEN,Routine,Phone
400063,301642,2,2025-01-10 15:35:41,CANCELLED,Routine,Web
400064,301441,1,2025-01-10 23:14:24,COMPLETED,Priority,Mobile
400065,300307,11,2025-01-10 23:19:17,CANCELLED,Routine,Mobile
400066,300741,9,2025-01-10 23:26:21,COMPLETED,Priority,Web
400067,300111,3,2025-01-11 04:49:31,OPEN,Routine,Web
400068,300154,10,2025-01-11 05:22:26,COMPLETED,Routine,Mobile
400069,301581,8,2025-01-11 11:58:48,COMPLETED,Routine,Phone
400070,300454,1,2025-01-11 13:46:10,COMPLETED,Priority,Mobile
400071,301591,2,2025-01-11 14:00:50,COMPLETED,Routine,Web
400072,300131,12,2025-01-11 14:10:57,COMPLETED,Routine,Mobile
400073,301128,6,2025-01-11 15:45:59,COMPLETED,Routine,Phone
400074,300425,11,2025-01-11 17:23:44,COMPLETED,Priority,Mobile
400075,301777,2,2025-01-11 20:55:24,COMPLETED,Routine,Phone
400076,300288,3,2025-01-12 04:00:38,COMPLETED,Routine,Phone
400077,300839,9,2025-01-12 04:32:04,COMPLETED,Routine,Phone
400078,301650,9,2025-01-12 05:52:28,COMPLETED,Routine,Phone
400079,300344,6,2025-01-12 08:41:16,COMPLETED,Priority,Web
400080,300198,7,2025-01-12 15:20:30,COMPLETED,Routine,Mobile
400081,301741,7,2025-01-12 17:24:53,CANCELLED,Routine,Web
400082,300568,9,2025-01-12 18:27:52,COMPLETED,Routine,Web
400083,300557,11,2025-01-12 18:50:21,COMPLETED,Routine,Phone
400084,301383,2,2025-01-12 21:48:21,COMPLETED,Routine,Web
400085,300270,6,2025-01-12 22:51:20,COMPLETED,Priority,Web
400086,301383,8,2025-01-12 23:06:04,COMPLETED,Emergency,Phone
400087,300889,5,2025-01-13 00:51:10,COMPLETED,Routine,Phone
400088,300374,2,2025-01-13 05:50:07,COMPLETED,Routine,Phone
400089,301267,10,2025-01-13 05:58:53,COMPLETED,Routine,Web
400090,300341,7,2025-01-13 14:46:35,COMPLETED,Emergency,Web
400091,301609,5,2025-01-13 18:33:51,COMPLETED,Priority,Mobile
400092,301670,11,2025-01-13 19:42:59,COMPLETED,Priority,Phone
400093,301198,9,2025-01-14 02:40:52,COMPLETED,Routine,Phone
400094,300640,5,2025-01-14 03:25:36,COMPLETED,Priority,Phone
400095,301677,6,2025-01-14 04:25:51,COMPLETED,Routine,Mobile
400096,300563,2,2025-01-14 17:10:17,COMPLETED,Routine,Mobile
400097,301696,6,2025-01-14 20:59:12,COMPLETED,Routine,Web
400098,301337,2,2025-01-14 23:22:12,CANCELLED,Routine,Web
400099,301614,4,2025-01-15 03:20:48,COMPLETED,Routine,Mobile
400100,300682,3,2025-01-15 05:18:24,COMPLETED,Routine,Web
400101,300698,6,2025-01-15 06:34:43,CANCELLED,Routine,Phone
400102,301709,7,2025-01-15 09:54:22,CANCELLED,Routine,Mobile
400103,300509,6,2025-01-15 09:59:06,COMPLETED,Routine,Mobile
400104,300174,12,2025-01-15 17:35:34,COMPLETED,Routine,Phone
400105,301356,12,2025-01-15 22:07:28,COMPLETED,Routine,Mobile
400106,300372,2,2025-01-16 00:46:10,COMPLETED,Routine,Mobile
400107,301105,3,2025-01-16 06:17:43,COMPLETED,Priority,Web
400108,300280,3,2025-01-16 10:56:24,COMPLETED,Routine,Technician
400109,301718,2,2025-01-16 11:23:02,COMPLETED,Priority,Technician
400110,300881,12,2025-01-16 11:57:14,COMPLETED,Routine,Phone
400111,300395,9,2025-01-16 17:30:26,COMPLETED,Priority,Phone
400112,301459,8,2025-01-16 18:10:48,COMPLETED,Routine,Phone
400113,301337,6,2025-01-16 19:10:38,COMPLETED,Routine,Phone
400114,301761,6,2025-01-16 22:15:17,COMPLETED,Routine,Phone
400115,301613,8,2025-01-16 23:57:30,COMPLETED,Routine,Phone
400116,301031,3,2025-01-17 08:34:23,COMPLETED,Routine,Phone
400117,300010,4,2025-01-17 09:25:15,COMPLETED,Routine,Technician
400118,301515,6,2025-01-17 09:36:23,COMPLETED,Routine,Mobile
400119,300387,8,2025-01-17 10:09:15,COMPLETED,Priority,Web
400120,300535,12,2025-01-17 13:29:03,COMPLETED,Routine,Mobile
400121,300763,10,2025-01-17 14:09:50,COMPLETED,Routine,Phone
400122,300285,10,2025-01-17 18:05:33,COMPLETED,Routine,Phone
400123,300265,7,2025-01-18 03:02:40,OPEN,Routine,Web
400124,301626,9,2025-01-18 03:39:25,COMPLETED,Routine,Mobile
400125,300379,12,2025-01-18 06:01:57,COMPLETED,Priority,Technician
400126,300922,4,2025-01-18 06:12:50,COMPLETED,Emergency,Mobile
400127,301592,3,2025-01-18 07:46:22,COMPLETED,Routine,Phone
400128,301750,1,2025-01-18 13:47:11,COMPLETED,Routine,Phone
400129,300945,1,2025-01-19 01:54:09,COMPLETED,Priority,Mobile
400130,300218,9,2025-01-19 06:45:13,COMPLETED,Emergency,Web
400131,300981,4,2025-01-19 06:48:20,OPEN,Emergency,Web
400132,301432,3,2025-01-19 11:13:34,COMPLETED,Emergency,Phone
400133,301212,8,2025-01-19 13:53:17,COMPLETED,Routine,Mobile
400134,300643,10,2025-01-19 15:16:50,COMPLETED,Routine,Mobile
400135,301124,5,2025-01-19 17:30:06,COMPLETED,Routine,Phone
400136,300727,2,2025-01-19 21:56:17,COMPLETED,Routine,Phone
400137,300305,7,2025-01-19 22:13:29,COMPLETED,Routine,Web
400138,300423,12,2025-01-19 22:41:07,COMPLETED,Routine,Mobile
400139,300513,1,2025-01-20 03:48:53,COMPLETED,Routine,Phone
400140,301793,12,2025-01-20 06:39:42,COMPLETED,Priority,Web
400141,300965,5,2025-01-20 08:51:06,COMPLETED,Priority,Mobile
400142,301371,7,2025-01-20 09:39:36,COMPLETED,Priority,Phone
400143,301534,4,2025-01-20 19:42:32,COMPLETED,Routine,Technician
400144,301485,3,2025-01-21 00:07:14,COMPLETED,Priority,Phone
400145,301699,4,2025-01-21 02:00:34,COMPLETED,Priority,Phone
400146,300391,3,2025-01-21 04:03:11,COMPLETED,Routine,Mobile
400147,300498,4,2025-01-21 05:12:13,COMPLETED,Routine,Web
400148,300133,1,2025-01-21 08:15:48,COMPLETED,Priority,Mobile
400149,300127,1,2025-01-21 08:34:44,COMPLETED,Priority,Mobile
400150,301405,7,2025-01-21 11:44:44,COMPLETED,Priority,Phone
400151,300739,8,2025-01-21 13:24:16,COMPLETED,Routine,Phone
400152,300549,10,2025-01-21 14:31:19,COMPLETED,Routine,Phone
400153,300456,11,2025-01-21 15:20:04,COMPLETED,Routine,Technician
400154,301483,4,2025-01-21 22:20:08,COMPLETED,Routine,Web
400155,300791,6,2025-01-22 02:44:39,COMPLETED,Priority,Web
400156,300487,11,2025-01-22 04:28:48,OPEN,Routine,Technician
400157,301702,9,2025-01-22 06:21:53,COMPLETED,Priority,Mobile
400158,301794,12,2025-01-22 09:20:23,COMPLETED,Routine,Phone
400159,300498,5,2025-01-22 11:44:03,COMPLETED,Routine,Technician
400160,300770,8,2025-01-22 12:21:05,COMPLETED,Routine,Web
400161,300633,10,2025-01-22 15:39:33,CANCELLED,Routine,Phone
400162,300099,12,2025-01-22 18:44:49,COMPLETED,Routine,Phone
400163,301219,9,2025-01-22 19:57:05,COMPLETED,Routine,Phone
400164,301634,12,2025-01-23 06:15:14,COMPLETED,Emergency,Mobile
400165,300913,3,2025-01-23 07:46:07,COMPLETED,Routine,Phone
400166,300402,11,2025-01-23 10:44:19,COMPLETED,Routine,Web
400167,300658,6,2025-01-23 12:59:17,COMPLETED,Priority,Mobile
400168,300175,9,2025-01-23 14:15:43,COMPLETED,Priority,Mobile
400169,300559,6,2025-01-23 15:33:29,CANCELLED,Routine,Technician
400170,300425,6,2025-01-23 17:09:11,COMPLETED,Routine,Web
400171,300861,11,2025-01-24 00:41:56,COMPLETED,Priority,Web
400172,300965,11,2025-01-24 00:48:20,COMPLETED,Priority,Mobile
400173,301767,3,2025-01-24 02:35:45,COMPLETED,Routine,Phone
400174,300853,1,2025-01-24 06:38:34,COMPLETED,Routine,Web
400175,300723,5,2025-01-24 08:50:14,COMPLETED,Routine,Web
400176,300122,8,2025-01-24 13:17:01,COMPLETED,Emergency,Phone
400177,301276,3,2025-01-24 13:33:17,COMPLETED,Priority,Web
400178,301548,3,2025-01-24 19:41:16,COMPLETED,Routine,Technician
400179,301183,10,2025-01-24 21:19:36,COMPLETED,Priority,Mobile
400180,301486,1,2025-01-24 21:31:45,COMPLETED,Routine,Web
400181,301444,11,2025-01-25 01:25:08,COMPLETED,Routine,Mobile
400182,301230,7,2025-01-25 02:34:32,COMPLETED,Priority,Web
400183,300604,8,2025-01-25 03:18:30,COMPLETED,Routine,Web
400184,301262,2,2025-01-25 04:55:21,COMPLETED,Priority,Web
400185,300021,9,2025-01-25 08:39:51,COMPLETED,Routine,Phone
400186,300975,3,2025-01-25 12:24:14,COMPLETED,Priority,Phone
400187,300032,11,2025-01-25 15:48:28,COMPLETED,Routine,Phone
400188,300753,1,2025-01-26 00:09:54,COMPLETED,Routine,Phone
400189,300167,12,2025-01-26 02:10:23,COMPLETED,Routine,Web
400190,301271,4,2025-01-26 06:05:45,COMPLETED,Priority,Web
400191,300126,4,2025-01-26 07:31:02,COMPLETED,Routine,Phone
400192,300190,9,2025-01-26 15:22:08,COMPLETED,Routine,Web
400193,300152,9,2025-01-26 16:52:02,COMPLETED,Routine,Phone
400194,300102,2,2025-01-26 18:04:49,COMPLETED,Routine,Phone
400195,301530,5,2025-01-27 06:10:52,COMPLETED,Routine,Technician
400196,300497,12,2025-01-27 08:07:30,COMPLETED,Routine,Web
400197,301230,12,2025-01-27 09:05:41,COMPLETED,Emergency,Mobile
400198,301477,11,2025-01-27 09:55:17,COMPLETED,Routine,Mobile
400199,300180,8,2025-01-27 23:21:38,COMPLETED,Routine,Mobile
400200,301303,2,2025-01-27 23:48:56,COMPLETED,Priority,Phone
400201,300180,4,2025-01-28 01:47:45,COMPLETED,Routine,Web
400202,300895,2,2025-01-28 02:37:22,COMPLETED,Routine,Web
400203,301181,3,2025-01-28 03:58:20,COMPLETED,Priority,Mobile
400204,301077,9,2025-01-28 04:20:50,COMPLETED,Emergency,Mobile
400205,301454,4,2025-01-28 06:57:59,COMPLETED,Routine,Web
400206,300251,10,2025-01-28 08:00:34,COMPLETED,Routine,Phone
400207,301800,5,2025-01-28 10:38:36,COMPLETED,Routine,Web
400208,301214,11,2025-01-28 12:56:56,COMPLETED,Routine,Technician
400209,301598,4,2025-01-28 19:50:05,COMPLETED,Routine,Web
400210,300012,6,2025-01-29 02:46:58,COMPLETED,Routine,Phone
400211,300853,5,2025-01-29 03:51:07,COMPLETED,Priority,Web
400212,301644,1,2025-01-29 09:01:31,COMPLETED,Routine,Mobile
400213,300863,3,2025-01-29 11:37:43,COMPLETED,Routine,Technician
400214,300040,7,2025-01-29 16:09:13,OPEN,Routine,Technician
400215,301726,3,2025-01-30 02:08:29,COMPLETED,Routine,Technician
400216,301743,12,2025-01-30 05:31:34,COMPLETED,Routine,Technician
400217,301142,3,2025-01-30 06:09:41,COMPLETED,Routine,Technician
400218,300164,11,2025-01-30 08:30:10,COMPLETED,Emergency,Technician
400219,301686,6,2025-01-30 11:47:08,COMPLETED,Routine,Web
400220,300826,9,2025-01-30 16:06:17,COMPLETED,Priority,Web
400221,300594,10,2025-01-30 19:56:34,COMPLETED,Routine,Web
400222,301171,1,2025-01-30 20:50:24,COMPLETED,Priority,Phone
400223,301563,8,2025-01-31 01:44:15,COMPLETED,Emergency,Phone
400224,301773,3,2025-01-31 02:00:54,COMPLETED,Priority,Phone
400225,300118,4,2025-01-31 08:35:47,COMPLETED,Priority,Mobile
400226,301054,3,2025-01-31 10:46:58,COMPLETED,Routine,Mobile
400227,301574,11,2025-01-31 12:42:42,COMPLETED,Routine,Phone
400228,300369,5,2025-01-31 14:29:30,COMPLETED,Routine,Technician
400229,301329,4,2025-01-31 16:30:39,OPEN,Emergency,Technician
400230,300922,8,2025-01-31 18:26:07,COMPLETED,Routine,Mobile
400231,300581,11,2025-01-31 18:31:31,COMPLETED,Routine,Phone
400232,300081,7,2025-01-31 19:54:02,COMPLETED,Priority,Phone
400233,300261,10,2025-01-31 19:56:36,COMPLETED,Emergency,Web
400234,300864,9,2025-01-31 22:06:30,COMPLETED,Routine,Phone
400235,301234,11,2025-01-31 23:13:49,COMPLETED,Routine,Phone
400236,300922,3,2025-02-01 05:24:29,COMPLETED,Emergency,Phone
400237,300610,8,2025-02-01 13:29:20,COMPLETED,Routine,Phone
400238,300429,10,2025-02-01 19:30:43,COMPLETED,Routine,Phone
400239,300528,6,2025-02-01 20:28:58,COMPLETED,Routine,Phone
400240,300761,3,2025-02-01 22:38:45,COMPLETED,Routine,Phone
400241,301120,1,2025-02-02 06:01:26,COMPLETED,Routine,Phone
400242,300581,3,2025-02-02 09:45:46,COMPLETED,Routine,Mobile
400243,301083,8,2025-02-02 10:29:52,COMPLETED,Routine,Web
400244,300304,11,2025-02-02 11:10:55,COMPLETED,Routine,Phone
400245,300815,7,2025-02-02 16:44:22,OPEN,Routine,Phone
400246,300746,2,2025-02-02 17:29:28,COMPLETED,Routine,Web
400247,300150,7,2025-02-02 19:20:15,COMPLETED,Routine,Mobile
400248,300275,3,2025-02-02 21:46:17,COMPLETED,Routine,Phone
400249,300480,4,2025-02-03 02:19:01,COMPLETED,Routine,Web
400250,300598,7,2025-02-03 17:13:32,CANCELLED,Routine,Mobile
400251,301364,7,2025-02-03 19:31:40,COMPLETED,Routine,Phone
400252,301284,5,2025-02-03 22:55:15,COMPLETED,Emergency,Phone
400253,301397,2,2025-02-04 02:11:36,COMPLETED,Routine,Phone
400254,300151,2,2025-02-04 04:00:46,COMPLETED,Routine,Mobile
400255,301033,7,2025-02-04 06:47:59,COMPLETED,Routine,Phone
400256,301589,6,2025-02-04 17:45:43,COMPLETED,Routine,Web
400257,301448,3,2025-02-04 18:50:31,COMPLETED,Routine,Phone
400258,300185,2,2025-02-04 23:06:22,COMPLETED,Routine,Web
400259,300563,7,2025-02-05 03:30:55,COMPLETED,Priority,Web
400260,301727,10,2025-02-05 15:00:16,COMPLETED,Routine,Mobile
400261,301664,3,2025-02-06 01:32:41,COMPLETED,Routine,Phone
400262,301323,6,2025-02-06 01:35:46,OPEN,Routine,Technician
400263,301561,1,2025-02-06 01:37:31,COMPLETED,Routine,Phone
400264,300777,8,2025-02-06 03:13:26,COMPLETED,Routine,Web
400265,300641,1,2025-02-06 03:29:07,COMPLETED,Routine,Phone
400266,301396,3,2025-02-06 03:37:45,OPEN,Routine,Mobile
400267,300021,3,2025-02-06 08:30:31,COMPLETED,Routine,Phone
400268,301446,8,2025-02-06 09:59:49,COMPLETED,Priority,Phone
400269,300453,6,2025-02-06 11:33:32,COMPLETED,Emergency,Phone
400270,300880,9,2025-02-06 19:51:10,COMPLETED,Routine,Phone
400271,301404,9,2025-02-06 20:32:58,COMPLETED,Priority,Phone
400272,300499,10,2025-02-06 21:50:54,COMPLETED,Routine,Web
400273,300436,8,2025-02-07 06:45:07,COMPLETED,Routine,Technician
400274,301112,4,2025-02-07 07:33:36,COMPLETED,Routine,Mobile
400275,300750,3,2025-02-07 07:47:47,COMPLETED,Priority,Web
400276,300491,4,2025-02-07 09:44:18,COMPLETED,Priority,Web
400277,301150,12,2025-02-07 20:24:40,COMPLETED,Routine,Mobile
400278,300371,11,2025-02-07 23:28:59,COMPLETED,Routine,Web
400279,301509,5,2025-02-08 00:46:47,COMPLETED,Routine,Web
400280,301355,6,2025-02-08 01:20:03,COMPLETED,Routine,Technician
400281,301137,9,2025-02-08 10:58:31,COMPLETED,Routine,Phone
400282,301051,12,2025-02-08 11:26:27,OPEN,Routine,Phone
400283,300434,11,2025-02-08 12:41:38,CANCELLED,Emergency,Web
400284,300755,1,2025-02-08 14:16:17,COMPLETED,Priority,Web
400285,300345,12,2025-02-08 19:48:10,COMPLETED,Routine,Phone
400286,300797,8,2025-02-08 20:05:26,COMPLETED,Routine,Phone
400287,300209,4,2025-02-08 20:31:59,COMPLETED,Routine,Web
400288,301204,8,2025-02-09 03:14:55,OPEN,Emergency,Phone
400289,300078,1,2025-02-09 08:21:51,OPEN,Routine,Technician
400290,301765,3,2025-02-09 10:10:22,COMPLETED,Routine,Mobile
400291,301207,12,2025-02-09 12:52:33,COMPLETED,Routine,Phone
400292,300648,2,2025-02-09 18:41:59,OPEN,Routine,Technician
400293,301159,7,2025-02-09 19:21:58,COMPLETED,Routine,Mobile
400294,301477,9,2025-02-10 00:09:12,COMPLETED,Priority,Phone
400295,300252,3,2025-02-10 01:07:19,COMPLETED,Priority,Phone
400296,301641,8,2025-02-10 06:25:43,COMPLETED,Routine,Phone
400297,301429,6,2025-02-10 06:59:59,OPEN,Routine,Web
400298,301717,1,2025-02-10 07:14:42,COMPLETED,Priority,Technician
400299,300741,8,2025-02-10 08:20:50,COMPLETED,Routine,Technician
400300,301703,2,2025-02-10 14:15:53,COMPLETED,Routine,Phone
400301,300587,7,2025-02-10 22:42:37,COMPLETED,Routine,Phone
400302,301213,2,2025-02-11 01:00:21,COMPLETED,Priority,Phone
400303,300860,10,2025-02-11 03:27:50,COMPLETED,Routine,Web
400304,300732,5,2025-02-11 05:47:29,COMPLETED,Routine,Phone
400305,301106,7,2025-02-11 10:12:15,COMPLETED,Routine,Mobile
400306,300599,5,2025-02-11 11:30:39,OPEN,Priority,Phone
400307,301167,12,2025-02-12 00:30:42,COMPLETED,Routine,Phone
400308,300163,8,2025-02-12 07:41:40,OPEN,Routine,Mobile
400309,301525,12,2025-02-12 18:59:53,COMPLETED,Routine,Mobile
400310,301250,3,2025-02-13 02:02:31,CANCELLED,Priority,Phone
400311,301239,1,2025-02-13 03:45:46,COMPLETED,Routine,Web
400312,301062,8,2025-02-13 07:03:58,COMPLETED,Routine,Technician
400313,300263,1,2025-02-13 10:44:30,COMPLETED,Priority,Web
400314,301127,5,2025-02-13 12:14:19,COMPLETED,Routine,Phone
400315,301354,10,2025-02-13 14:31:54,CANCELLED,Priority,Mobile
400316,300494,3,2025-02-13 18:17:27,COMPLETED,Routine,Technician
400317,301541,9,2025-02-13 18:24:50,COMPLETED,Routine,Mobile
400318,300594,12,2025-02-14 03:30:28,COMPLETED,Routine,Web
400319,300267,3,2025-02-14 07:26:28,OPEN,Priority,Mobile
400320,300813,4,2025-02-14 08:27:38,CANCELLED,Routine,Technician
400321,300012,11,2025-02-14 09:48:58,COMPLETED,Priority,Phone
400322,300539,2,2025-02-14 21:02:39,COMPLETED,Routine,Phone
400323,300682,9,2025-02-14 23:12:12,COMPLETED,Emergency,Web
400324,301117,8,2025-02-15 04:35:42,OPEN,Priority,Web
400325,301321,11,2025-02-15 11:44:55,OPEN,Routine,Web
400326,300059,12,2025-02-15 12:18:57,COMPLETED,Routine,Mobile
400327,301078,10,2025-02-15 17:20:17,COMPLETED,Routine,Phone
400328,301404,7,2025-02-15 17:32:08,COMPLETED,Routine,Mobile
400329,301477,2,2025-02-15 19:08:32,COMPLETED,Routine,Phone
400330,301255,12,2025-02-15 19:55:19,COMPLETED,Routine,Mobile
400331,301568,7,2025-02-15 20:31:14,COMPLETED,Priority,Web
400332,300472,10,2025-02-16 09:44:25,COMPLETED,Routine,Phone
400333,301332,1,2025-02-16 18:32:40,COMPLETED,Routine,Phone
400334,300014,8,2025-02-16 20:24:44,COMPLETED,Routine,Technician
400335,301567,3,2025-02-17 04:08:06,OPEN,Routine,Web
400336,301366,7,2025-02-17 07:09:56,COMPLETED,Routine,Phone
400337,300423,7,2025-02-17 09:21:04,COMPLETED,Routine,Web
400338,300384,11,2025-02-17 09:39:41,COMPLETED,Routine,Web
400339,300945,2,2025-02-17 11:14:26,COMPLETED,Routine,Phone
400340,300504,12,2025-02-17 11:39:07,CANCELLED,Priority,Technician
400341,300690,6,2025-02-17 11:59:59,COMPLETED,Routine,Web
400342,300817,9,2025-02-17 21:55:46,COMPLETED,Routine,Phone
400343,300600,11,2025-02-17 22:05:03,COMPLETED,Routine,Phone
400344,301391,7,2025-02-17 23:16:46,COMPLETED,Routine,Technician
400345,301460,6,2025-02-18 07:27:40,COMPLETED,Routine,Phone
400346,301207,6,2025-02-18 08:29:44,COMPLETED,Routine,Web
400347,300398,10,2025-02-18 11:32:21,COMPLETED,Routine,Phone
400348,300349,8,2025-02-18 15:01:31,COMPLETED,Routine,Web
400349,300317,1,2025-02-18 18:36:00,OPEN,Routine,Mobile
400350,300722,2,2025-02-18 23:17:07,COMPLETED,Priority,Technician
400351,300743,7,2025-02-19 02:55:34,OPEN,Priority,Phone
400352,301565,6,2025-02-19 04:29:09,COMPLETED,Routine,Phone
400353,301605,9,2025-02-19 05:49:49,COMPLETED,Priority,Phone
400354,301712,9,2025-02-19 06:30:26,COMPLETED,Routine,Phone
400355,300007,6,2025-02-19 08:40:54,CANCELLED,Routine,Mobile
400356,300236,11,2025-02-19 11:04:46,COMPLETED,Routine,Mobile
400357,300633,9,2025-02-19 12:39:45,COMPLETED,Priority,Phone
400358,301236,6,2025-02-19 17:14:45,COMPLETED,Priority,Technician
400359,301436,12,2025-02-19 18:27:02,OPEN,Priority,Web
400360,301586,4,2025-02-19 18:39:53,OPEN,Routine,Phone
400361,301755,5,2025-02-19 21:31:03,COMPLETED,Routine,Phone
400362,301793,4,2025-02-19 21:36:02,OPEN,Priority,Phone
400363,301276,5,2025-02-20 01:09:23,COMPLETED,Routine,Mobile
400364,300102,5,2025-02-20 02:36:57,COMPLETED,Routine,Mobile
400365,300462,2,2025-02-20 08:17:50,COMPLETED,Routine,Mobile
400366,300992,9,2025-02-20 12:43:26,COMPLETED,Routine,Mobile
400367,300881,9,2025-02-20 20:59:37,COMPLETED,Routine,Phone
400368,300768,11,2025-02-20 23:49:24,COMPLETED,Routine,Phone
400369,301241,6,2025-02-21 02:46:00,OPEN,Priority,Phone
400370,301620,10,2025-02-21 04:21:17,COMPLETED,Routine,Web
400371,301596,1,2025-02-21 09:31:39,COMPLETED,Routine,Phone
400372,300131,9,2025-02-21 09:55:23,COMPLETED,Emergency,Phone
400373,300092,6,2025-02-21 17:47:37,COMPLETED,Routine,Phone
400374,300624,12,2025-02-21 18:32:10,COMPLETED,Routine,Mobile
400375,300115,9,2025-02-21 23:20:51,COMPLETED,Routine,Phone
400376,301633,11,2025-02-21 23:54:20,COMPLETED,Routine,Web
400377,300850,11,2025-02-22 01:59:48,COMPLETED,Routine,Phone
400378,300260,4,2025-02-22 03:35:34,OPEN,Routine,Mobile
400379,300058,5,2025-02-22 04:15:13,OPEN,Routine,Phone
400380,300667,11,2025-02-22 04:56:46,COMPLETED,Routine,Mobile
400381,301694,7,2025-02-22 06:26:53,COMPLETED,Routine,Technician
400382,300347,9,2025-02-22 07:24:27,COMPLETED,Routine,Mobile
400383,301674,1,2025-02-22 09:51:34,COMPLETED,Priority,Phone
400384,300276,6,2025-02-22 20:12:19,COMPLETED,Routine,Mobile
400385,301321,6,2025-02-22 23:03:21,COMPLETED,Routine,Web
400386,301125,11,2025-02-23 09:31:08,COMPLETED,Priority,Web
400387,300835,2,2025-02-23 17:18:36,COMPLETED,Routine,Phone
400388,300193,1,2025-02-23 19:33:25,COMPLETED,Emergency,Web
