payment_id,invoice_id,payment_date,payment_amount
800178,600200,2025-02-09,736.68
800179,600201,2025-02-28,964.23
800180,600202,2025-03-02,1334.1
800181,600203,2025-02-16,1402.75
800182,600204,2025-03-12,1165.28
800183,600205,2025-02-10,1025.37
800184,600206,2025-03-01,772.61
800185,600208,2025-03-10,1266.53
800186,600210,2025-03-27,1810.76
800187,600211,2025-03-24,1100.14
800188,600212,2025-03-21,999.11
800189,600213,2025-03-16,654.22
800190,600214,2025-02-27,818.02
800191,600215,2025-02-24,622.92
800192,600217,2025-03-12,764.53
800193,600218,2025-02-07,1430.2
800194,600219,2025-02-27,807.39
800195,600220,2025-02-20,1600.06
800196,600221,2025-03-05,1289.8
800197,600222,2025-02-21,1024.49
800198,600223,2025-03-17,470.68
800199,600225,2025-02-08,1498.52
800200,600226,2025-02-12,827.84
800201,600227,2025-02-18,452.17
800202,600228,2025-03-24,1237.27
800203,600229,2025-03-26,582.59
800204,600230,2025-03-08,1437.47
800205,600231,2025-04-03,1075.86
800206,600232,2025-02-22,1297.34
800207,600233,2025-02-24,634.48
800208,600234,2025-03-16,970.28
800209,600235,2025-03-04,1026.4
800210,600238,2025-03-09,1123.36
800211,600239,2025-03-05,965.91
800212,600240,2025-03-13,1219.24
800213,600241,2025-04-02,986.12
800214,600242,2025-03-04,1784.14
800215,600243,2025-03-21,584.17
800216,600244,2025-03-02,716.33
800217,600245,2025-02-26,1759.56
800218,600246,2025-03-21,844.57
800219,600247,2025-03-24,682.96
800220,600248,2025-03-09,1127.24
800221,600250,2025-03-17,1620.25
800222,600251,2025-03-16,1058.34
800223,600252,2025-02-17,617.63
800224,600253,2025-03-12,1392.22
800225,600254,2025-03-02,1714.77
800226,600255,2025-03-16,787.42
800227,600256,2025-03-01,788.26
800228,600257,2025-03-21,769.71
800229,600258,2025-03-07,845.9
800230,600259,2025-03-22,1008.43
800231,600260,2025-03-21,465.97
800232,600261,2025-03-27,1015.32
800233,600262,2025-04-04,1138.42
800234,600263,2025-03-15,986.52
800235,600264,2025-03-26,353.13
800236,600265,2025-02-26,1110.22
800237,600266,2025-03-10,1192.55
800238,600267,2025-02-28,1886.36
800239,600268,2025-03-31,547.93
800240,600269,2025-02-27,1290.69
800241,600270,2025-03-15,812.55
800242,600271,2025-03-18,917.31
800243,600272,2025-03-22,1395.64
800244,600273,2025-03-10,513.56
800245,600274,2025-03-10,1477.15
800246,600275,2025-04-05,1582.27
800247,600276,2025-03-03,1211.25
800248,600277,2025-03-05,1010.85
800249,600278,2025-03-06,1206.22
800250,600279,2025-03-10,638.46
800251,600280,2025-03-22,1925.82
800252,600282,2025-04-02,1509.59
800253,600283,2025-02-24,1619.29
800254,600285,2025-04-01,888.08
800255,600286,2025-04-07,1024.7
800256,600288,2025-04-08,1054.58
800257,600289,2025-03-14,1618.54
800258,600290,2025-03-30,1488.96
800259,600291,2025-03-08,399.92
800260,600294,2025-03-24,1425.12
800261,600295,2025-04-02,1386.8
800262,600297,2025-03-18,692.51
800263,600298,2025-04-06,1289.1
800264,600299,2025-04-05,1363.16
800265,600300,2025-03-24,996.6
800266,600301,2025-03-21,920.84
800267,600302,2025-03-23,1078.77
800268,600303,2025-04-05,763.37
800269,600305,2025-03-28,1262.18
800270,600306,2025-03-09,1091.2
800271,600308,2025-04-08,1079.38
800272,600309,2025-03-04,707.61
800273,600310,2025-04-10,1102.4
800274,600311,2025-03-13,1474.07
800275,600313,2025-03-10,1589.15
800276,600314,2025-03-27,811.4
800277,600316,2025-04-15,2009.01
800278,600317,2025-04-11,1603.38
800279,600318,2025-03-12,1618.93
800280,600319,2025-03-26,1451.36
800281,600320,2025-03-25,1106.94
800282,600321,2025-03-28,819.37
800283,600322,2025-03-12,1641.97
800284,600323,2025-03-16,1674.15
800285,600324,2025-03-03,1121.34
800286,600325,2025-03-02,1455.86
800287,600326,2025-03-09,597.77
800288,600327,2025-03-17,497.31
800289,600328,2025-03-05,785.78
800290,600329,2025-03-19,645.4
800291,600330,2025-03-20,275.61
800292,600331,2025-03-20,1589.88
800293,600332,2025-03-22,1422.82
800294,600333,2025-04-02,972.63
800295,600334,2025-04-11,740.37
800296,600335,2025-03-27,942.26
800297,600336,2025-03-31,1738.43
800298,600337,2025-03-27,1610.68
800299,600338,2025-04-10,944.33
800300,600339,2025-03-10,543.08
800301,600340,2025-04-09,883.98
800302,600341,2025-04-12,632.53
800303,600344,2025-03-13,1615.02
800304,600345,2025-03-12,1461.52
800305,600346,2025-03-17,177.95
800306,600347,2025-03-24,1098.05
800307,600348,2025-03-09,787.83
800308,600349,2025-03-21,324.85
800309,600350,2025-04-16,1155.14
800310,600351,2025-04-03,1157.15
800311,600352,2025-04-21,811.92
800312,600353,2025-03-29,1449.42
800313,600354,2025-04-11,908.96
800314,600355,2025-03-29,924.63
800315,600356,2025-03-23,1115.1
800316,600357,2025-03-12,552.03
800317,600358,2025-04-10,1756.05
800318,600359,2025-03-22,1461.66
800319,600360,2025-04-12,384.43
800320,600361,2025-03-22,800.78
800321,600362,2025-04-10,1674.44
800322,600363,2025-04-09,1352.36
800323,600364,2025-04-02,879.95
800324,600365,2025-03-06,1113.57
800325,600366,2025-04-03,1395.96
800326,600367,2025-03-20,1112.09
800327,600368,2025-03-19,850.92
800328,600369,2025-04-04,1180.36
800329,600370,2025-03-15,766.14
800330,600371,2025-04-06,816.05
800331,600372,2025-04-10,1481.64
800332,600373,2025-03-14,878.71
800333,600374,2025-04-13,1648.17
800334,600375,2025-03-27,1133.54
800335,600377,2025-03-17,570.8
800336,600378,2025-03-08,1647.6
800337,600379,2025-03-04,536.32
800338,600380,2025-04-01,1458.29
800339,600382,2025-03-25,1232.59
800340,600383,2025-04-03,871.94
800341,600385,2025-04-06,990.7
800342,600387,2025-04-04,1226.15
800343,600388,2025-03-12,1492.17
800344,600389,2025-04-13,1229.79
800345,600391,2025-03-30,1713.07
800346,600393,2025-04-22,1709.64
800347,600394,2025-03-29,1554.34
800348,600395,2025-03-24,1662.97
800349,600396,2025-04-20,1601.72
800350,600397,2025-04-20,1258.84
800351,600398,2025-03-16,1219.46
800352,600399,2025-04-19,857.73
800353,600400,2025-04-03,1046.61
800354,600402,2025-03-27,1032.27
800355,600403,2025-03-25,692.37
800356,600404,2025-04-16,863.77
800357,600406,2025-04-29,1276.58
800358,600408,2025-04-14,1049.81
800359,600409,2025-04-14,1501.34
800360,600410,2025-03-18,1100.61
800361,600411,2025-04-04,1181.33
800362,600412,2025-03-16,852.57
800363,600413,2025-04-29,432.79
800364,600415,2025-04-07,893.41
800365,600416,2025-04-23,172.98
800366,600417,2025-04-25,922.06
800367,600418,2025-04-13,1350.01
800368,600419,2025-04-01,1136.23
800369,600420,2025-03-28,743.9
800370,600421,2025-04-21,1265.48
800371,600422,2025-04-28,1194.82
800372,600423,2025-04-28,1349.68
800373,600424,2025-04-08,838.42
800374,600426,2025-03-22,913.4
800375,600427,2025-04-09,371.54
800376,600428,2025-04-08,1925.04
800377,600429,2025-04-22,542.76
800378,600430,2025-04-09,1468.98
800379,600431,2025-03-14,424.58
800380,600432,2025-04-24,1082.19
800381,600433,2025-04-08,747.46
800382,600434,2025-04-30,803.73
800383,600435,2025-04-03,946.23
800384,600436,2025-04-25,1568.8
800385,600437,2025-04-26,890.72
800386,600438,2025-03-28,769.41
800387,600439,2025-04-28,816.23
800388,600440,2025-04-18,765.68
800389,600441,2025-04-04,1702.43
800390,600442,2025-03-21,1745.7
800391,600444,2025-05-06,590.49
800392,600446,2025-04-22,951.58
800393,600447,2025-05-03,1396.21
800394,600448,2025-04-15,507.03
800395,600450,2025-05-08,581.85
800396,600451,2025-03-22,1872.29
800397,600452,2025-04-02,653.58
800398,600453,2025-04-02,1217.3
800399,600456,2025-04-08,1477.08
800400,600457,2025-03-17,1464.48
800401,600458,2025-04-21,1167.7
800402,600459,2025-03-23,825.07
800403,600461,2025-03-30,675.12
800404,600462,2025-04-21,1469.25
800405,600464,2025-04-28,1508.18
800406,600465,2025-03-31,604.52
800407,600466,2025-04-30,554.5
800408,600467,2025-04-24,200.34
800409,600468,2025-04-15,677.51
800410,600469,2025-04-09,1460.4
800411,600470,2025-03-28,1787.61
800412,600471,2025-05-12,510.22
800413,600472,2025-05-05,1006.25
800414,600474,2025-04-16,979.51
800415,600475,2025-04-24,1120.64
800416,600476,2025-03-24,1020.34
800417,600479,2025-04-29,814.85
800418,600481,2025-03-29,1143.43
800419,600482,2025-05-06,1740.9
800420,600483,2025-04-18,1161.43
800421,600484,2025-04-16,1710.31
800422,600485,2025-04-27,1401.44
800423,600486,2025-05-04,762.05
800424,600487,2025-05-07,1209.31
800425,600488,2025-05-01,849.15
800426,600489,2025-05-06,408.3
800427,600490,2025-04-28,950.27
800428,600491,2025-03-27,1670.36
800429,600492,2025-03-28,1288.47
800430,600493,2025-04-02,857.42
800431,600494,2025-04-06,911.25
800432,600495,2025-04-10,1152.93
800433,600496,2025-04-16,1550.89
800434,600497,2025-04-05,715.46
800435,600498,2025-05-11,708.1
800436,600499,2025-04-02,1784.64
800437,600500,2025-05-11,1256.73
800438,600501,2025-05-12,1752.52
800439,600502,2025-04-17,1346.45
800440,600503,2025-04-10,1244.6
800441,600504,2025-03-30,1292.89
800442,600505,2025-03-31,1450.77
800443,600506,2025-04-14,1296.67
800444,600508,2025-04-24,567.46
800445,600509,2025-04-04,565.26
800446,600511,2025-04-06,639.11
800447,600514,2025-05-10,908.91
800448,600515,2025-04-13,689.87
800449,600516,2025-04-08,1716.87
800450,600517,2025-04-30,744.89
800451,600518,2025-05-04,1816.65
800452,600519,2025-04-05,949.08
800453,600520,2025-04-07,857.29
800454,600522,2025-05-10,480.61
800455,600523,2025-04-14,1287.56
800456,600525,2025-04-23,974.6
800457,600526,2025-04-21,1323.89
800458,600527,2025-04-05,1246.54
800459,600529,2025-05-02,1417.3
800460,600530,2025-04-20,751.01
800461,600531,2025-04-18,567.74
800462,600533,2025-05-17,1350.37
800463,600534,2025-04-15,541.92
800464,600535,2025-04-23,1474.7
800465,600536,2025-04-06,1352.45
800466,600537,2025-05-10,318.3
800467,600539,2025-05-08,824.35
800468,600540,2025-05-16,1479.45
800469,600541,2025-04-23,1653.03
800470,600543,2025-05-10,874.79
800471,600544,2025-05-09,456.48
800472,600545,2025-04-29,1931.54
800473,600546,2025-04-15,1156.54
800474,600547,2025-04-13,1018.31
800475,600548,2025-05-22,241.28
800476,600549,2025-05-01,1149.17
800477,600550,2025-05-10,1027.23
800478,600551,2025-05-08,502.02
800479,600552,2025-04-17,1045.93
800480,600553,2025-04-13,956.35
800481,600554,2025-04-29,1109.67
800482,600555,2025-05-19,777.56
800483,600556,2025-05-07,903.71
800484,600557,2025-04-10,1166.21
800485,600558,2025-04-09,686.03
800486,600559,2025-04-30,1413.69
800487,600560,2025-05-10,1818.28
800488,600561,2025-05-07,1190.98
800489,600562,2025-04-24,1686.26
800490,600563,2025-05-04,1341.66
800491,600564,2025-05-18,784.24
800492,600565,2025-05-16,858.81
800493,600566,2025-05-07,1520.25
800494,600567,2025-04-10,1356.78
800495,600568,2025-04-14,695.47
800496,600569,2025-04-06,1443.04
800497,600570,2025-05-13,1484.05
800498,600571,2025-05-16,939.26
800499,600572,2025-04-18,879.2
800500,600573,2025-04-22,645.42
800501,600574,2025-04-15,1767.55
800502,600575,2025-05-18,692.87
800503,600576,2025-05-22,1143.89
800504,600577,2025-05-18,1779.38
800505,600578,2025-04-11,1174.97
800506,600579,2025-05-13,1277.62
800507,600580,2025-04-25,1674.67
800508,600581,2025-05-08,1106.8
800509,600582,2025-05-27,1486.66
800510,600583,2025-04-21,940.33
800511,600584,2025-05-07,1187.35
800512,600585,2025-05-07,1385.48
800513,600586,2025-05-23,1481.67
800514,600587,2025-05-17,1160.43
800515,600588,2025-05-15,734.56
800516,600589,2025-05-21,954.09
800517,600590,2025-05-10,1237.7
800518,600591,2025-05-10,1108.79
800519,600592,2025-04-22,444.66
800520,600593,2025-05-17,345.74
800521,600594,2025-05-11,1192.94
800522,600595,2025-04-20,717.98
800523,600596,2025-04-20,1671.58
800524,600597,2025-05-20,1782.7
800525,600598,2025-05-21,924.8
800526,600599,2025-05-25,885.83
800527,600600,2025-05-23,1116.56
800528,600601,2025-04-19,1585.58
800529,600602,2025-04-29,773.87
800530,600603,2025-05-25,1195.93
800531,600604,2025-05-22,581.58
800532,600605,2025-05-11,1558.64
800533,600606,2025-05-21,1028.42
800534,600607,2025-05-20,954.79
800535,600608,2025-05-12,683.74
800536,600610,2025-04-21,1366.84
800537,600611,2025-05-25,1550.34
800538,600612,2025-04-22,835.01
800539,600613,2025-05-14,881.94
800540,600614,2025-04-17,1444.7
800541,600615,2025-04-21,809.73
800542,600616,2025-05-24,927.92
800543,600617,2025-04-29,490.95
800544,600618,2025-06-01,1621.13
800545,600619,2025-05-07,734.12
800546,600620,2025-04-25,1020.35
800547,600621,2025-05-03,613.24
800548,600623,2025-05-07,599.45
800549,600624,2025-05-17,1620.28
800550,600625,2025-04-25,1353.73
800551,600626,2025-05-27,1002.59
800552,600627,2025-05-28,1100.74
800553,600628,2025-05-16,772.77
800554,600629,2025-05-26,1218.89
800555,600630,2025-05-08,1062.37
800556,600631,2025-05-01,948.88
800557,600632,2025-05-11,882.75
800558,600633,2025-06-01,1745.83
800559,600634,2025-06-04,1691.71
800560,600635,2025-05-12,838.64
800561,600636,2025-05-02,947.67
800562,600637,2025-05-14,1331.94
800563,600638,2025-05-23,1506.37
800564,600639,2025-05-21,945.84
800565,600640,2025-06-02,1468.39
800566,600641,2025-04-26,1513.08
800567,600642,2025-05-05,1261.31
800568,600643,2025-05-01,1027.12
800569,600644,2025-04-28,1770.79
800570,600645,2025-05-06,854.88
800571,600646,2025-04-25,1253.37
800572,600647,2025-05-08,1324.92
800573,600648,2025-05-07,1491.43
800574,600649,2025-05-29,783.35
800575,600650,2025-06-02,1071.32
800576,600651,2025-05-30,951.33
800577,600653,2025-05-21,1179.93
800578,600654,2025-06-07,621.91
800579,600655,2025-05-14,1772.21
800580,600656,2025-05-24,1186.02
800581,600657,2025-05-12,1517.7
800582,600658,2025-04-19,984.32
800583,600659,2025-06-01,1734.63
800584,600660,2025-05-22,459.47
800585,600661,2025-04-27,352.0
800586,600662,2025-05-12,1743.94
800587,600663,2025-05-29,1343.65
800588,600664,2025-05-10,851.04
800589,600665,2025-06-04,631.49
800590,600666,2025-06-10,717.89
800591,600667,2025-05-03,1423.63
800592,600668,2025-06-06,1291.68
800593,600671,2025-05-07,901.01
800594,600672,2025-05-19,1044.14
800595,600673,2025-05-16,505.93
800596,600674,2025-06-09,1299.48
800597,600675,2025-05-23,1043.53
800598,600677,2025-05-09,1338.54
800599,600679,2025-05-22,754.19
800600,600680,2025-06-06,916.12
800601,600681,2025-06-09,1372.17
800602,600682,2025-06-05,1251.08
800603,600683,2025-05-05,720.8
800604,600685,2025-05-26,1032.09
800605,600686,2025-05-26,139.12
800606,600687,2025-05-22,1104.53
800607,600688,2025-04-29,740.02
800608,600689,2025-05-06,202.47
800609,600690,2025-05-07,1444.12
800610,600691,2025-05-28,1824.8
800611,600692,2025-05-25,571.82
800612,600693,2025-05-09,403.17
800613,600694,2025-04-29,1314.11
800614,600695,2025-05-23,948.05
800615,600696,2025-05-07,1320.54
800616,600697,2025-06-08,1489.28
800617,600699,2025-05-22,840.45
800618,600700,2025-05-31,382.02
800619,600701,2025-05-06,533.3
800620,600702,2025-05-19,1334.96
800621,600703,2025-05-12,1242.5
800622,600704,2025-05-03,640.58
800623,600705,2025-05-12,1616.39
800624,600706,2025-04-29,910.01
800625,600707,2025-06-14,1369.29
800626,600708,2025-05-31,371.63
800627,600709,2025-05-30,610.36
800628,600711,2025-06-06,1785.2
800629,600712,2025-05-07,1080.02
800630,600713,2025-06-02,1367.26
800631,600714,2025-05-10,788.33
800632,600715,2025-05-10,913.2
800633,600716,2025-05-03,1156.3
800634,600717,2025-05-16,1113.77
800635,600718,2025-06-08,392.66
800636,600719,2025-05-31,909.58
800637,600721,2025-06-11,1529.48
800638,600722,2025-05-08,1475.98
800639,600723,2025-05-28,1559.67
800640,600724,2025-06-03,1377.85
800641,600727,2025-05-05,1869.95
800642,600728,2025-06-09,558.47
800643,600729,2025-06-11,1227.0
800644,600730,2025-06-16,1431.97
800645,600732,2025-06-18,345.37
800646,600733,2025-06-22,266.47
800647,600734,2025-05-28,1582.88
800648,600735,2025-05-12,1655.44
800649,600736,2025-05-04,715.97
800650,600737,2025-06-20,1742.01
800651,600738,2025-06-26,903.58
800652,600739,2025-05-21,887.1
800653,600740,2025-05-27,511.25
800654,600741,2025-05-18,1083.64
800655,600742,2025-05-23,1201.97
800656,600744,2025-05-16,772.52
800657,600745,2025-05-07,1744.31
800658,600747,2025-06-13,1508.69
800659,600748,2025-05-15,1545.39
800660,600749,2025-06-19,647.74
800661,600750,2025-05-16,1339.38
800662,600751,2025-05-15,1361.26
800663,600752,2025-05-26,987.81
800664,600753,2025-06-05,566.35
800665,600754,2025-06-03,1235.27
800666,600755,2025-06-13,1458.2
800667,600756,2025-05-17,503.74
800668,600757,2025-05-27,1283.41
800669,600758,2025-06-10,1092.8
800670,600759,2025-05-15,949.94
800671,600760,2025-06-07,1344.41
800672,600761,2025-05-25,1416.38
800673,600763,2025-05-13,1110.37
800674,600764,2025-05-21,746.58
800675,600767,2025-06-05,1380.04
800676,600768,2025-06-14,1106.82
800677,600769,2025-05-18,864.73
800678,600770,2025-06-25,695.18
800679,600771,2025-05-30,847.06
800680,600772,2025-05-14,1228.38
800681,600773,2025-06-05,605.86
800682,600774,2025-05-28,1592.0
800683,600775,2025-06-06,968.11
800684,600776,2025-06-20,1461.6
800685,600777,2025-06-25,1626.15
800686,600778,2025-05-17,906.43
800687,600779,2025-06-27,1022.15
800688,600780,2025-06-15,465.92
800689,600781,2025-06-15,1062.18
800690,600782,2025-06-04,860.51
800691,600783,2025-06-10,1227.75
800692,600784,2025-06-12,1301.63
800693,600785,2025-05-13,1055.52
800694,600786,2025-05-19,1086.65
800695,600787,2025-06-16,1278.4
800696,600788,2025-06-11,931.18
800697,600789,2025-05-31,535.48
800698,600790,2025-05-26,1229.43
800699,600791,2025-06-20,1811.45
800700,600793,2025-06-03,389.1
800701,600794,2025-06-10,1501.86
800702,600795,2025-05-16,1085.7
800703,600796,2025-06-05,1132.42
800704,600797,2025-06-23,1249.89
800705,600798,2025-06-28,988.9
800706,600799,2025-06-17,716.25
800707,600800,2025-06-10,1349.34
800708,600801,2025-06-02,811.59
800709,600802,2025-05-25,1038.76
800710,600803,2025-05-30,990.4
800711,600805,2025-06-15,798.86
800712,600806,2025-07-08,1365.1
800713,600807,2025-06-18,591.86
800714,600808,2025-06-21,348.18
800715,600810,2025-07-08,684.74
800716,600811,2025-06-25,563.18
800717,600812,2025-06-30,536.39
800718,600813,2025-06-12,1431.19
800719,600814,2025-06-22,1609.58
800720,600816,2025-07-01,1485.64
800721,600817,2025-07-06,1024.11
800722,600818,2025-06-04,527.98
800723,600819,2025-06-06,1190.41
800724,600820,2025-06-09,1319.72
800725,600821,2025-06-27,427.9
800726,600822,2025-07-08,895.38
800727,600823,2025-06-14,1371.05
800728,600824,2025-07-03,856.25
800729,600825,2025-06-23,1187.55
800730,600826,2025-06-26,183.55
800731,600827,2025-05-17,860.76
800732,600828,2025-06-16,610.04
800733,600829,2025-06-05,679.84
800734,600830,2025-05-28,1557.43
800735,600831,2025-06-21,1253.63
800736,600832,2025-07-05,1419.47
800737,600833,2025-06-25,1319.98
800738,600834,2025-07-08,351.79
800739,600835,2025-06-02,1349.71
800740,600836,2025-07-03,817.92
800741,600838,2025-06-10,1136.33
800742,600839,2025-05-29,578.23
800743,600840,2025-06-21,748.72
800744,600842,2025-06-03,1934.71
800745,600843,2025-07-11,731.34
800746,600844,2025-07-07,1666.22
800747,600845,2025-06-13,1660.64
800748,600846,2025-06-30,1684.04
800749,600848,2025-06-06,1285.46
800750,600849,2025-06-02,1614.11
800751,600850,2025-06-24,1494.42
800752,600851,2025-06-10,1091.12
800753,600852,2025-05-27,852.13
800754,600853,2025-06-19,981.51
800755,600854,2025-07-04,1540.46
800756,600855,2025-06-06,1718.24
800757,600856,2025-06-21,1043.1
800758,600857,2025-06-18,804.61
800759,600858,2025-05-28,830.95
800760,600859,2025-06-13,574.37
800761,600860,2025-07-08,619.26
800762,600861,2025-07-06,1257.35
800763,600862,2025-06-19,911.99
800764,600863,2025-06-05,651.83
800765,600865,2025-06-18,1362.62
800766,600866,2025-06-15,1507.26
800767,600868,2025-07-14,1280.54
800768,600869,2025-07-06,1349.51
800769,600870,2025-07-15,776.14
800770,600871,2025-05-31,684.91
800771,600872,2025-07-01,1297.69
800772,600873,2025-06-18,1603.26
800773,600874,2025-07-10,1187.44
800774,600875,2025-06-29,1747.38
800775,600877,2025-07-11,1556.63
800776,600878,2025-07-10,893.83
800777,600879,2025-06-07,1712.01
800778,600880,2025-07-09,823.39
800779,600882,2025-07-19,1338.12
800780,600883,2025-07-17,1195.83
800781,600884,2025-07-07,263.64
800782,600885,2025-07-11,1039.23
800783,600886,2025-07-19,1270.57
800784,600887,2025-07-11,1599.19
800785,600888,2025-06-21,601.27
800786,600889,2025-06-09,1319.85
800787,600891,2025-06-08,601.63
800788,600892,2025-06-28,782.15
800789,600893,2025-06-20,486.57
800790,600894,2025-06-27,629.31
800791,600895,2025-07-03,1083.94
800792,600896,2025-06-20,1327.14
800793,600897,2025-07-18,430.83
800794,600898,2025-07-17,945.09
