invoice_id,work_order_id,invoice_date,labor_amount,parts_amount,invoice_total
600118,400142,2025-01-29,626.43,907.02,1533.45
600119,400143,2025-01-30,122.5,955.41,1077.91
600120,400144,2025-02-02,425.95,105.31,531.26
600121,400145,2025-02-03,845.55,624.67,1470.22
600122,400146,2025-01-23,751.12,570.46,1321.58
600123,400147,2025-01-29,818.25,280.54,1098.79
600124,400148,2025-01-25,516.9,590.02,1106.92
600125,400149,2025-01-25,435.73,493.51,929.24
600126,400150,2025-01-27,461.29,970.57,1431.86
600127,400151,2025-02-03,729.2,111.62,840.82
600128,400152,2025-01-23,477.69,276.23,753.92
600129,400153,2025-01-23,689.66,82.08,771.74
600130,400154,2025-01-25,581.77,959.67,1541.44
600131,400155,2025-02-05,325.4,368.56,693.96
600132,400157,2025-02-02,635.4,539.68,1175.08
600133,400158,2025-01-27,678.77,152.08,830.85
600134,400159,2025-01-23,322.38,178.18,500.56
600135,400160,2025-01-29,443.27,193.47,636.74
600136,400162,2025-02-04,307.82,876.58,1184.4
600137,400163,2025-01-25,142.4,1012.95,1155.35
600138,400164,2025-02-06,644.57,1106.52,1751.09
600139,400165,2025-02-05,820.8,847.96,1668.76
600140,400166,2025-01-29,184.27,752.28,936.55
600141,400167,2025-01-25,712.06,466.07,1178.13
600142,400168,2025-01-30,588.81,425.81,1014.62
600143,400170,2025-01-30,627.64,642.99,1270.63
600144,400171,2025-02-03,110.48,104.4,214.88
600145,400172,2025-01-25,326.1,1071.87,1397.97
600146,400173,2025-01-28,385.66,996.26,1381.92
600147,400174,2025-02-02,290.89,567.53,858.42
600148,400175,2025-01-29,439.37,660.45,1099.82
600149,400176,2025-01-31,410.99,1035.94,1446.93
600150,400177,2025-02-06,326.03,138.47,464.5
600151,400178,2025-02-04,360.29,185.44,545.73
600152,400179,2025-01-25,795.23,261.53,1056.76
600153,400180,2025-01-27,178.37,642.72,821.09
600154,400181,2025-02-01,470.88,947.52,1418.4
600155,400182,2025-02-08,729.91,1005.59,1735.5
600156,400183,2025-01-27,334.03,358.64,692.67
600157,400184,2025-02-03,631.93,135.7,767.63
600158,400185,2025-01-30,510.22,1132.65,1642.87
600159,400186,2025-01-27,722.13,153.09,875.22
600160,400187,2025-01-27,177.01,1127.12,1304.13
600161,400188,2025-01-28,559.41,416.63,976.04
600162,400189,2025-02-06,722.84,110.14,832.98
600163,400190,2025-02-09,147.11,1076.52,1223.63
600164,400191,2025-01-31,723.59,420.01,1143.6
600165,400192,2025-02-09,534.76,701.74,1236.5
600166,400193,2025-01-29,838.58,163.87,1002.45
600167,400194,2025-01-30,435.29,1132.07,1567.36
600168,400195,2025-01-31,755.24,1150.44,1905.68
600169,400196,2025-01-29,321.0,919.86,1240.86
600170,400197,2025-02-06,575.54,915.94,1491.48
600171,400198,2025-02-07,352.45,495.38,847.83
600172,400199,2025-02-03,572.41,482.39,1054.8
600173,400200,2025-01-28,425.97,542.07,968.04
600174,400201,2025-01-31,721.21,808.79,1530.0
600175,400202,2025-02-04,146.21,257.55,403.76
600176,400203,2025-02-09,186.6,399.59,586.19
600177,400204,2025-01-30,719.45,1167.59,1887.04
600178,400205,2025-02-01,349.85,855.05,1204.9
600179,400206,2025-01-29,251.49,479.52,731.01
600180,400207,2025-02-07,545.3,629.67,1174.97
600181,400208,2025-01-29,515.43,1146.83,1662.26
600182,400209,2025-01-31,125.62,231.11,356.73
600183,400210,2025-02-11,316.36,730.64,1047.0
600184,400211,2025-01-31,682.15,281.97,964.12
600185,400212,2025-02-01,377.99,58.68,436.67
600186,400213,2025-02-03,484.75,444.01,928.76
600187,400215,2025-02-02,406.56,369.59,776.15
600188,400216,2025-02-05,595.21,109.55,704.76
600189,400217,2025-02-02,761.08,936.39,1697.47
600190,400218,2025-02-06,260.8,45.35,306.15
600191,400219,2025-02-01,713.89,988.9,1702.79
600192,400220,2025-02-06,691.0,250.74,941.74
600193,400221,2025-02-03,611.17,580.88,1192.05
600194,400222,2025-02-12,776.15,1139.2,1915.35
600195,400223,2025-02-03,115.69,365.23,480.92
600196,400224,2025-02-04,821.53,139.63,961.16
600197,400225,2025-02-01,473.81,1182.23,1656.04
600198,400226,2025-02-11,310.3,933.17,1243.47
600199,400227,2025-02-01,233.44,75.32,308.76
600200,400228,2025-02-06,635.92,100.76,736.68
600201,400230,2025-02-14,580.1,384.13,964.23
600202,400231,2025-02-06,144.97,1189.13,1334.1
600203,400232,2025-02-09,751.79,650.96,1402.75
600204,400233,2025-02-05,619.98,545.3,1165.28
600205,400234,2025-02-03,827.14,198.23,1025.37
600206,400235,2025-02-08,440.92,331.69,772.61
600207,400236,2025-02-13,548.66,633.14,1181.8
600208,400237,2025-02-03,612.26,654.27,1266.53
600209,400238,2025-02-02,555.05,61.27,616.32
600210,400239,2025-02-15,630.38,1180.38,1810.76
600211,400240,2025-02-10,836.92,263.22,1100.14
600212,400241,2025-02-06,341.97,657.14,999.11
600213,400242,2025-02-06,509.38,144.84,654.22
600214,400243,2025-02-15,458.11,359.91,818.02
600215,400244,2025-02-16,484.31,138.61,622.92
600216,400246,2025-02-04,782.4,621.62,1404.02
600217,400247,2025-02-15,635.16,129.37,764.53
600218,400248,2025-02-06,825.82,604.38,1430.2
600219,400249,2025-02-12,665.78,141.61,807.39
600220,400251,2025-02-15,420.71,1179.35,1600.06
600221,400252,2025-02-04,93.67,1196.13,1289.8
600222,400253,2025-02-12,516.55,507.94,1024.49
600223,400254,2025-02-09,85.82,384.86,470.68
600224,400255,2025-02-15,803.68,1029.55,1833.23
600225,400256,2025-02-05,689.24,809.28,1498.52
600226,400257,2025-02-11,492.66,335.18,827.84
600227,400258,2025-02-06,243.86,208.31,452.17
600228,400259,2025-02-16,395.58,841.69,1237.27
600229,400260,2025-02-15,229.18,353.41,582.59
600230,400261,2025-02-14,448.91,988.56,1437.47
600231,400263,2025-02-20,306.82,769.04,1075.86
600232,400264,2025-02-07,562.1,735.24,1297.34
600233,400265,2025-02-07,118.27,516.21,634.48
600234,400267,2025-02-15,302.59,667.69,970.28
600235,400268,2025-02-20,641.62,384.78,1026.4
600236,400269,2025-02-11,486.2,1051.88,1538.08
600237,400270,2025-02-14,562.01,881.69,1443.7
600238,400271,2025-02-12,555.12,568.24,1123.36
600239,400272,2025-02-19,164.26,801.65,965.91
600240,400273,2025-02-08,223.91,995.33,1219.24
600241,400274,2025-02-19,779.5,206.62,986.12
600242,400275,2025-02-19,838.39,945.75,1784.14
600243,400276,2025-02-18,282.07,302.1,584.17
600244,400277,2025-02-11,216.95,499.38,716.33
600245,400278,2025-02-19,607.21,1152.35,1759.56
600246,400279,2025-02-20,622.26,222.31,844.57
600247,400280,2025-02-17,75.99,606.97,682.96
600248,400281,2025-02-17,156.1,971.14,1127.24
600249,400284,2025-02-09,526.68,26.13,552.81
600250,400285,2025-02-09,479.25,1141.0,1620.25
600251,400286,2025-02-20,566.04,492.3,1058.34
600252,400287,2025-02-15,505.4,112.23,617.63
600253,400290,2025-02-16,592.53,799.69,1392.22
600254,400291,2025-02-10,794.2,920.57,1714.77
600255,400293,2025-02-11,148.57,638.85,787.42
600256,400294,2025-02-24,256.08,532.18,788.26
600257,400295,2025-02-18,291.46,478.25,769.71
600258,400296,2025-02-18,416.35,429.55,845.9
600259,400298,2025-02-12,755.4,253.03,1008.43
600260,400299,2025-02-16,114.78,351.19,465.97
600261,400300,2025-02-21,391.26,624.06,1015.32
600262,400301,2025-02-20,292.3,846.12,1138.42
600263,400302,2025-02-14,370.72,615.8,986.52
600264,400303,2025-02-13,123.97,229.16,353.13
600265,400304,2025-02-19,765.92,344.3,1110.22
600266,400305,2025-02-20,480.75,711.8,1192.55
600267,400307,2025-02-18,734.25,1152.11,1886.36
600268,400309,2025-02-24,379.12,168.81,547.93
600269,400311,2025-02-24,414.02,876.67,1290.69
600270,400312,2025-02-17,176.11,636.44,812.55
600271,400313,2025-02-23,342.03,575.28,917.31
600272,400314,2025-02-27,219.06,1176.58,1395.64
600273,400316,2025-02-24,157.3,356.26,513.56
600274,400317,2025-02-14,722.1,755.05,1477.15
600275,400318,2025-02-25,789.04,793.23,1582.27
600276,400321,2025-02-22,343.22,868.03,1211.25
600277,400322,2025-02-20,123.68,887.17,1010.85
600278,400323,2025-02-17,772.19,434.03,1206.22
600279,400326,2025-02-19,205.52,432.94,638.46
600280,400327,2025-02-21,843.18,1082.64,1925.82
600281,400328,2025-02-25,269.71,672.6,942.31
600282,400329,2025-02-25,602.25,907.34,1509.59
600283,400330,2025-02-17,801.35,817.94,1619.29
600284,400331,2025-02-22,646.88,1118.5,1765.38
600285,400332,2025-02-18,307.09,580.99,888.08
600286,400333,2025-02-28,354.68,670.02,1024.7
600287,400334,2025-02-20,157.45,783.58,941.03
600288,400336,2025-02-24,353.35,701.23,1054.58
600289,400337,2025-02-27,611.32,1007.22,1618.54
600290,400338,2025-02-22,567.07,921.89,1488.96
600291,400339,2025-02-27,356.24,43.68,399.92
600292,400341,2025-02-27,524.44,970.37,1494.81
600293,400342,2025-02-28,419.93,1110.7,1530.63
600294,400343,2025-02-18,660.32,764.8,1425.12
600295,400344,2025-03-02,719.16,667.64,1386.8
600296,400345,2025-02-27,824.2,968.55,1792.75
600297,400346,2025-03-02,537.32,155.19,692.51
600298,400347,2025-02-21,174.11,1114.99,1289.1
600299,400348,2025-03-04,368.27,994.89,1363.16
600300,400350,2025-03-03,577.81,418.79,996.6
600301,400352,2025-02-28,283.01,637.83,920.84
600302,400353,2025-02-20,102.73,976.04,1078.77
600303,400354,2025-02-20,205.03,558.34,763.37
600304,400356,2025-02-24,113.3,399.72,513.02
600305,400357,2025-02-24,566.63,695.55,1262.18
600306,400358,2025-02-26,146.53,944.67,1091.2
600307,400361,2025-03-03,561.6,1124.79,1686.39
600308,400363,2025-03-01,243.54,835.84,1079.38
600309,400364,2025-03-04,394.27,313.34,707.61
600310,400365,2025-03-03,192.55,909.85,1102.4
600311,400366,2025-03-05,383.44,1090.63,1474.07
600312,400367,2025-02-28,433.24,710.64,1143.88
600313,400368,2025-03-05,650.51,938.64,1589.15
600314,400370,2025-02-26,405.98,405.42,811.4
600315,400371,2025-03-06,112.68,1015.72,1128.4
600316,400372,2025-03-03,832.09,1176.92,2009.01
600317,400373,2025-03-03,598.21,1005.17,1603.38
600318,400374,2025-03-02,651.36,967.57,1618.93
600319,400375,2025-02-26,815.95,635.41,1451.36
600320,400376,2025-03-04,395.77,711.17,1106.94
600321,400377,2025-03-06,75.67,743.7,819.37
600322,400380,2025-02-28,665.39,976.58,1641.97
600323,400381,2025-02-23,639.24,1034.91,1674.15
600324,400382,2025-02-27,601.04,520.3,1121.34
600325,400383,2025-02-27,708.88,746.98,1455.86
600326,400384,2025-02-26,174.7,423.07,597.77
600327,400385,2025-03-05,455.66,41.65,497.31
600328,400386,2025-02-28,139.93,645.85,785.78
600329,400387,2025-02-25,143.29,502.11,645.4
600330,400388,2025-02-25,260.77,14.84,275.61
600331,400389,2025-02-26,705.11,884.77,1589.88
600332,400390,2025-02-26,357.36,1065.46,1422.82
600333,400391,2025-03-03,735.23,237.4,972.63
600334,400392,2025-02-28,431.4,308.97,740.37
600335,400393,2025-02-26,233.63,708.63,942.26
600336,400394,2025-02-27,653.88,1084.55,1738.43
600337,400395,2025-03-02,669.82,940.86,1610.68
600338,400396,2025-02-27,476.85,467.48,944.33
600339,400397,2025-03-09,231.07,312.01,543.08
600340,400398,2025-03-07,191.86,692.12,883.98
600341,400400,2025-03-08,381.67,250.86,632.53
600342,400401,2025-02-28,665.58,446.97,1112.55
600343,400402,2025-03-11,231.86,754.98,986.84
600344,400404,2025-03-06,588.6,1026.42,1615.02
600345,400405,2025-03-04,488.69,972.83,1461.52
600346,400406,2025-03-04,141.54,36.41,177.95
600347,400408,2025-03-03,561.19,536.86,1098.05
600348,400409,2025-03-02,132.98,654.85,787.83
600349,400410,2025-03-09,156.32,168.53,324.85
600350,400411,2025-03-07,750.39,404.75,1155.14
600351,400412,2025-03-05,666.48,490.67,1157.15
600352,400413,2025-03-10,643.99,167.93,811.92
600353,400414,2025-03-03,397.81,1051.61,1449.42
600354,400416,2025-02-27,592.39,316.57,908.96
600355,400418,2025-03-09,487.12,437.51,924.63
600356,400419,2025-03-06,268.27,846.83,1115.1
600357,400421,2025-02-28,374.1,177.93,552.03
600358,400422,2025-03-05,799.72,956.33,1756.05
600359,400424,2025-03-04,531.87,929.79,1461.66
600360,400425,2025-03-11,383.45,0.98,384.43
600361,400426,2025-03-08,387.48,413.3,800.78
600362,400427,2025-03-10,702.17,972.27,1674.44
600363,400429,2025-03-08,568.47,783.89,1352.36
600364,400430,2025-03-10,649.52,230.43,879.95
600365,400432,2025-03-06,275.82,837.75,1113.57
600366,400433,2025-03-04,316.83,1079.13,1395.96
600367,400435,2025-03-11,834.32,277.77,1112.09
600368,400436,2025-03-04,711.11,139.81,850.92
600369,400437,2025-03-03,788.1,392.26,1180.36
600370,400438,2025-03-06,504.63,261.51,766.14
600371,400439,2025-03-04,211.92,604.13,816.05
600372,400440,2025-03-11,538.65,942.99,1481.64
600373,400441,2025-03-04,156.24,722.47,878.71
600374,400442,2025-03-12,497.78,1150.39,1648.17
600375,400443,2025-03-14,214.27,919.27,1133.54
600376,400444,2025-03-07,96.0,1164.22,1260.22
600377,400445,2025-03-13,342.75,228.05,570.8
600378,400446,2025-03-07,676.54,971.06,1647.6
600379,400449,2025-03-04,293.08,243.24,536.32
600380,400450,2025-03-11,495.43,962.86,1458.29
600381,400451,2025-03-10,535.97,633.13,1169.1
600382,400452,2025-03-17,647.34,585.25,1232.59
600383,400453,2025-03-10,362.35,509.59,871.94
600384,400455,2025-03-14,749.28,96.49,845.77
600385,400456,2025-03-04,451.91,538.79,990.7
600386,400457,2025-03-12,711.78,868.96,1580.74
600387,400458,2025-03-06,809.44,416.71,1226.15
600388,400459,2025-03-06,760.8,731.37,1492.17
600389,400460,2025-03-08,497.26,732.53,1229.79
600390,400461,2025-03-09,130.6,454.75,585.35
600391,400462,2025-03-14,626.6,1086.47,1713.07
600392,400463,2025-03-12,663.35,1117.23,1780.58
600393,400464,2025-03-15,840.35,869.29,1709.64
600394,400465,2025-03-12,581.55,972.79,1554.34
600395,400466,2025-03-05,551.75,1111.22,1662.97
600396,400467,2025-03-16,527.4,1074.32,1601.72
600397,400468,2025-03-08,82.13,1176.71,1258.84
600398,400469,2025-03-05,314.56,904.9,1219.46
600399,400470,2025-03-11,286.13,571.6,857.73
600400,400471,2025-03-14,305.36,741.25,1046.61
600401,400472,2025-03-07,605.88,586.93,1192.81
600402,400473,2025-03-11,84.05,948.22,1032.27
600403,400474,2025-03-18,135.6,556.77,692.37
600404,400475,2025-03-13,95.24,768.53,863.77
600405,400476,2025-03-16,822.07,215.91,1037.98
600406,400477,2025-03-16,847.64,428.94,1276.58
600407,400478,2025-03-07,541.68,130.99,672.67
600408,400479,2025-03-15,423.79,626.02,1049.81
600409,400481,2025-03-11,671.45,829.89,1501.34
600410,400482,2025-03-17,841.51,259.1,1100.61
600411,400483,2025-03-07,578.52,602.81,1181.33
600412,400484,2025-03-16,186.32,666.25,852.57
600413,400485,2025-03-19,146.47,286.32,432.79
600414,400486,2025-03-09,369.32,447.7,817.02
600415,400487,2025-03-14,668.23,225.18,893.41
600416,400488,2025-03-14,170.38,2.6,172.98
600417,400491,2025-03-12,514.6,407.46,922.06
600418,400493,2025-03-12,215.27,1134.74,1350.01
600419,400494,2025-03-12,155.36,980.87,1136.23
600420,400495,2025-03-17,266.51,477.39,743.9
600421,400496,2025-03-14,296.21,969.27,1265.48
600422,400497,2025-03-23,371.41,823.41,1194.82
600423,400498,2025-03-16,749.99,599.69,1349.68
600424,400499,2025-03-15,559.05,279.37,838.42
600425,400500,2025-03-13,760.76,998.6,1759.36
600426,400502,2025-03-14,327.88,585.52,913.4
600427,400503,2025-03-24,130.35,241.19,371.54
600428,400504,2025-03-14,781.1,1143.94,1925.04
600429,400505,2025-03-19,475.73,67.03,542.76
600430,400506,2025-03-12,642.29,826.69,1468.98
600431,400508,2025-03-14,370.8,53.78,424.58
600432,400509,2025-03-19,103.7,978.49,1082.19
600433,400511,2025-03-12,721.64,25.82,747.46
600434,400512,2025-03-23,117.29,686.44,803.73
600435,400513,2025-03-16,174.08,772.15,946.23
600436,400514,2025-03-21,747.82,820.98,1568.8
600437,400515,2025-03-21,805.9,84.82,890.72
600438,400516,2025-03-16,462.04,307.37,769.41
600439,400518,2025-03-26,401.92,414.31,816.23
600440,400520,2025-03-23,262.18,503.5,765.68
600441,400521,2025-03-22,641.39,1061.04,1702.43
600442,400522,2025-03-16,706.47,1039.23,1745.7
600443,400523,2025-03-15,809.45,535.94,1345.39
600444,400524,2025-03-26,487.05,103.44,590.49
600445,400525,2025-03-23,763.85,1148.88,1912.73
600446,400526,2025-03-18,344.8,606.78,951.58
600447,400527,2025-03-26,278.11,1118.1,1396.21
600448,400528,2025-03-16,191.37,315.66,507.03
600449,400529,2025-03-19,709.01,258.81,967.82
600450,400530,2025-03-25,472.28,109.57,581.85
600451,400531,2025-03-17,695.03,1177.26,1872.29
600452,400532,2025-03-23,175.82,477.76,653.58
600453,400533,2025-03-23,114.97,1102.33,1217.3
600454,400534,2025-03-17,192.34,482.96,675.3
600455,400535,2025-03-18,462.42,1079.84,1542.26
600456,400536,2025-03-15,676.92,800.16,1477.08
600457,400537,2025-03-16,323.26,1141.22,1464.48
600458,400538,2025-03-21,633.72,533.98,1167.7
600459,400539,2025-03-20,226.42,598.65,825.07
600460,400540,2025-03-19,627.14,567.01,1194.15
600461,400541,2025-03-17,645.77,29.35,675.12
600462,400543,2025-03-21,506.44,962.81,1469.25
600463,400544,2025-03-29,555.88,858.11,1413.99
600464,400546,2025-03-22,456.12,1052.06,1508.18
600465,400547,2025-03-25,588.1,16.42,604.52
600466,400548,2025-03-22,382.27,172.23,554.5
600467,400549,2025-03-19,152.17,48.17,200.34
600468,400550,2025-03-22,293.46,384.05,677.51
600469,400552,2025-03-29,403.17,1057.23,1460.4
600470,400553,2025-03-19,786.23,1001.38,1787.61
600471,400554,2025-03-30,264.34,245.88,510.22
600472,400555,2025-03-29,439.5,566.75,1006.25
600473,400558,2025-03-26,405.66,17.87,423.53
600474,400559,2025-03-26,620.71,358.8,979.51
600475,400561,2025-03-20,358.63,762.01,1120.64
600476,400563,2025-03-24,605.09,415.25,1020.34
600477,400564,2025-03-30,647.24,428.79,1076.03
600478,400565,2025-03-31,191.24,463.7,654.94
600479,400566,2025-03-23,184.63,630.22,814.85
600480,400567,2025-03-31,204.72,347.18,551.9
600481,400568,2025-03-23,486.76,656.67,1143.43
600482,400569,2025-03-29,811.33,929.57,1740.9
600483,400570,2025-03-25,773.07,388.36,1161.43
600484,400571,2025-03-27,516.06,1194.25,1710.31
600485,400572,2025-03-29,601.94,799.5,1401.44
600486,400573,2025-03-27,727.91,34.14,762.05
600487,400574,2025-03-25,234.4,974.91,1209.31
600488,400576,2025-03-29,367.32,481.83,849.15
600489,400577,2025-03-31,78.96,329.34,408.3
600490,400578,2025-03-30,503.98,446.29,950.27
600491,400579,2025-03-22,497.19,1173.17,1670.36
600492,400581,2025-03-24,390.65,897.82,1288.47
600493,400582,2025-03-31,162.11,695.31,857.42
600494,400585,2025-04-01,718.97,192.28,911.25
600495,400586,2025-03-31,561.41,591.52,1152.93
600496,400587,2025-03-31,762.44,788.45,1550.89
600497,400588,2025-04-04,153.84,561.62,715.46
600498,400589,2025-03-29,688.96,19.14,708.1
600499,400590,2025-03-29,785.11,999.53,1784.64
600500,400591,2025-04-04,676.42,580.31,1256.73
600501,400592,2025-03-29,668.02,1084.5,1752.52
600502,400593,2025-03-24,241.94,1104.51,1346.45
600503,400594,2025-04-04,785.38,459.22,1244.6
600504,400595,2025-03-29,350.48,942.41,1292.89
600505,400596,2025-03-29,425.94,1024.83,1450.77
600506,400597,2025-04-04,150.18,1146.49,1296.67
600507,400598,2025-03-30,537.2,477.52,1014.72
600508,400599,2025-03-27,333.43,234.03,567.46
600509,400600,2025-04-04,247.23,318.03,565.26
600510,400601,2025-03-26,156.28,369.84,526.12
600511,400602,2025-03-31,474.42,164.69,639.11
600512,400604,2025-04-01,284.73,322.87,607.6
600513,400605,2025-03-27,721.82,215.8,937.62
600514,400606,2025-03-29,185.49,723.42,908.91
600515,400607,2025-03-30,114.01,575.86,689.87
600516,400608,2025-04-01,653.98,1062.89,1716.87
600517,400609,2025-03-31,258.83,486.06,744.89
600518,400610,2025-04-05,772.54,1044.11,1816.65
600519,400611,2025-03-31,543.11,405.97,949.08
600520,400612,2025-03-26,641.57,215.72,857.29
600521,400615,2025-04-05,822.43,934.3,1756.73
600522,400616,2025-04-04,240.86,239.75,480.61
600523,400617,2025-04-08,268.99,1018.57,1287.56
600524,400618,2025-04-02,575.36,472.68,1048.04
600525,400619,2025-04-08,422.12,552.48,974.6
600526,400620,2025-03-29,697.86,626.03,1323.89
600527,400621,2025-04-01,842.57,403.97,1246.54
600528,400623,2025-04-05,827.21,156.64,983.85
600529,400625,2025-04-10,556.85,860.45,1417.3
600530,400626,2025-04-06,723.44,27.57,751.01
600531,400627,2025-04-02,304.42,263.32,567.74
600532,400628,2025-04-08,796.57,38.96,835.53
600533,400630,2025-04-03,830.4,519.97,1350.37
600534,400631,2025-04-11,115.88,426.04,541.92
600535,400632,2025-04-10,614.94,859.76,1474.7
600536,400634,2025-04-05,246.49,1105.96,1352.45
600537,400635,2025-03-29,152.18,166.12,318.3
600538,400637,2025-04-04,284.19,538.97,823.16
600539,400638,2025-04-07,728.45,95.9,824.35
600540,400639,2025-04-07,596.66,882.79,1479.45
600541,400640,2025-04-06,750.19,902.84,1653.03
