work_order_part_id,work_order_id,part_id,quantity
203,400134,167,2
204,400134,125,1
205,400135,90,2
206,400135,40,1
207,400135,106,1
208,400136,187,3
209,400136,84,1
210,400137,37,1
211,400138,71,1
212,400139,34,3
213,400139,7,3
214,400139,199,1
215,400141,101,3
216,400141,124,3
217,400144,40,1
218,400144,22,2
219,400145,82,3
220,400145,44,3
221,400145,139,1
222,400146,66,3
223,400146,20,2
224,400147,99,1
225,400148,145,3
226,400148,197,3
227,400149,93,2
228,400151,21,3
229,400151,106,3
230,400151,197,2
231,400152,111,1
232,400153,66,3
233,400154,84,3
234,400154,66,1
235,400154,37,2
236,400155,121,1
237,400155,115,1
238,400156,76,3
239,400156,89,2
240,400157,191,2
241,400157,160,1
242,400157,180,2
243,400158,160,1
244,400158,198,3
245,400158,56,3
246,400161,164,1
247,400161,46,2
248,400161,59,3
249,400162,96,1
250,400162,151,2
251,400163,26,1
252,400163,10,3
253,400164,18,1
254,400166,58,2
255,400166,170,1
256,400166,113,1
257,400167,6,1
258,400167,182,3
259,400167,78,1
260,400169,79,3
261,400170,171,2
262,400170,29,2
263,400170,38,1
264,400171,84,3
265,400171,166,2
266,400171,140,2
267,400172,111,3
268,400172,126,1
269,400173,109,3
270,400173,184,1
271,400174,36,1
272,400174,47,3
273,400174,107,1
274,400176,19,3
275,400177,161,1
276,400177,24,1
277,400177,91,3
278,400178,59,2
279,400178,54,1
280,400179,194,3
281,400179,117,1
282,400180,12,2
283,400180,128,2
284,400181,16,2
285,400182,159,3
286,400182,144,3
287,400182,192,2
288,400184,152,1
289,400184,180,1
290,400186,155,2
291,400186,177,3
292,400187,64,3
293,400187,30,2
294,400187,115,1
295,400188,147,3
296,400188,74,2
297,400189,36,1
298,400189,57,3
299,400189,34,2
300,400190,173,1
301,400190,35,2
302,400190,130,3
303,400191,15,3
304,400191,108,2
305,400193,84,3
306,400193,72,3
307,400193,173,2
308,400194,141,3
309,400194,162,2
310,400194,185,3
311,400196,163,1
312,400196,60,2
313,400196,180,3
314,400197,19,3
315,400197,148,1
316,400197,185,3
317,400200,158,1
318,400200,189,2
319,400200,50,1
320,400201,1,3
321,400202,157,3
322,400202,185,2
323,400202,148,1
324,400203,148,2
325,400203,37,3
326,400205,172,2
327,400205,50,3
328,400207,118,2
329,400208,61,2
330,400208,112,3
331,400208,197,3
332,400209,140,3
333,400210,171,1
334,400210,15,1
335,400212,84,1
336,400212,197,1
337,400212,138,3
338,400214,81,1
339,400215,48,1
340,400218,95,3
341,400218,9,3
342,400218,169,3
343,400219,163,3
344,400219,7,3
345,400220,123,3
346,400220,148,2
347,400221,59,2
348,400221,117,2
349,400222,12,3
350,400222,52,1
351,400226,124,3
352,400227,154,2
353,400227,60,1
354,400227,93,1
355,400228,118,3
356,400228,70,1
357,400228,99,1
358,400229,178,1
359,400229,89,1
360,400230,43,2
361,400230,60,1
362,400230,61,3
363,400231,135,1
364,400231,54,1
365,400231,96,3
366,400232,21,1
367,400232,122,1
368,400232,152,2
369,400234,121,1
370,400234,97,3
371,400235,69,2
372,400237,183,3
373,400238,59,3
374,400238,173,1
375,400238,94,1
376,400239,199,2
377,400239,126,2
378,400239,93,1
379,400240,65,2
380,400241,154,2
381,400241,128,2
382,400241,68,1
383,400242,22,1
384,400243,145,2
385,400243,146,3
386,400244,56,1
387,400244,154,3
388,400245,114,1
389,400246,168,2
390,400247,41,1
391,400247,84,2
392,400247,166,1
393,400248,189,3
394,400248,148,2
395,400249,189,2
396,400249,173,1
397,400249,20,3
398,400252,41,2
399,400252,194,3
400,400253,93,2
401,400253,52,3
402,400254,109,1
403,400254,33,3
404,400254,121,3
405,400255,65,1
406,400255,196,2
407,400255,175,3
408,400256,195,2
409,400257,5,2
410,400257,173,3
411,400258,197,1
412,400258,178,2
413,400258,113,2
414,400259,123,3
415,400260,126,2
416,400260,101,3
417,400261,92,2
418,400261,59,1
419,400262,139,2
420,400262,88,1
421,400262,23,1
422,400263,174,1
423,400264,168,1
424,400264,62,2
425,400265,116,3
426,400265,11,2
427,400265,9,2
428,400266,69,1
429,400266,24,3
430,400266,105,3
431,400267,115,1
432,400267,33,2
433,400267,178,3
434,400269,171,1
435,400269,5,3
436,400269,24,3
437,400270,17,1
438,400270,144,2
439,400271,184,1
440,400271,173,1
441,400271,104,1
442,400275,131,1
443,400275,135,2
444,400275,125,2
445,400276,134,2
446,400277,74,3
447,400278,132,2
448,400278,37,3
449,400280,160,1
450,400280,30,3
451,400281,40,2
452,400283,42,1
453,400283,63,2
454,400283,129,2
455,400284,198,2
456,400284,124,3
457,400284,130,3
458,400286,189,2
459,400286,131,1
460,400287,60,2
461,400288,80,3
462,400289,179,1
463,400289,95,3
464,400289,52,3
465,400292,95,2
466,400292,43,2
467,400292,61,2
468,400294,79,1
469,400294,73,3
470,400294,102,2
471,400295,6,3
472,400295,120,3
473,400296,141,3
474,400296,131,2
475,400296,31,3
476,400297,24,3
477,400297,108,1
478,400299,159,3
479,400299,122,1
480,400300,135,1
481,400301,9,1
482,400302,112,1
483,400302,82,1
484,400303,141,3
485,400303,176,1
486,400304,73,2
487,400305,163,2
488,400305,155,2
489,400305,158,2
490,400308,32,1
491,400309,111,1
492,400309,77,2
493,400309,84,3
494,400310,74,2
495,400311,54,2
496,400311,114,1
497,400311,39,2
498,400312,110,2
499,400312,122,2
500,400312,177,2
501,400313,72,3
502,400313,8,1
503,400313,96,2
504,400315,77,2
505,400315,109,1
506,400316,156,2
507,400317,112,2
508,400319,61,2
509,400319,104,3
510,400319,47,3
511,400321,27,2
512,400322,124,1
513,400323,143,2
514,400323,60,1
515,400323,11,1
516,400324,118,2
517,400325,150,3
518,400325,12,1
519,400326,141,2
520,400326,11,2
521,400328,133,2
522,400328,11,3
523,400328,167,2
524,400329,162,2
525,400329,7,1
526,400329,34,2
527,400331,179,2
528,400332,56,2
529,400333,177,1
530,400333,68,3
531,400334,179,1
532,400336,197,2
533,400336,199,3
534,400336,174,2
535,400337,110,2
536,400337,95,2
537,400337,175,1
538,400338,66,2
539,400338,75,1
540,400341,49,2
541,400342,40,2
542,400342,49,1
543,400343,188,1
544,400344,147,2
545,400344,191,2
546,400344,90,1
547,400346,5,2
548,400347,3,2
549,400348,125,2
550,400349,43,1
551,400349,50,3
552,400349,145,3
553,400350,57,1
554,400350,94,3
555,400351,41,3
556,400352,198,3
557,400352,7,3
558,400352,33,2
559,400353,75,2
560,400353,138,2
561,400353,79,1
562,400354,57,1
563,400357,110,2
564,400357,102,1
565,400358,186,2
566,400358,6,1
567,400358,33,3
568,400359,56,2
569,400359,23,1
570,400361,11,2
571,400361,68,2
572,400361,184,3
573,400362,36,2
574,400362,146,1
575,400363,116,3
576,400363,177,3
577,400363,104,3
578,400364,142,3
579,400365,130,3
580,400365,142,3
581,400367,18,2
582,400367,165,2
583,400368,127,3
584,400368,118,3
585,400369,135,2
586,400369,132,3
587,400370,163,1
588,400370,84,3
589,400373,149,3
590,400374,69,3
591,400374,175,2
592,400375,22,3
593,400375,166,3
594,400377,189,1
595,400377,47,2
596,400378,25,1
597,400378,79,2
598,400379,154,2
599,400379,157,1
600,400379,36,1
601,400381,92,2
602,400382,44,2
603,400382,155,1
604,400383,179,1
605,400384,163,2
606,400384,127,1
607,400385,162,2
608,400385,118,1
609,400387,74,3
610,400387,85,1
611,400388,82,2
612,400388,72,2
613,400389,138,2
614,400391,130,1
615,400393,138,2
616,400393,139,1
617,400393,61,2
618,400394,98,3
619,400394,104,2
620,400395,82,1
621,400395,127,1
622,400395,109,3
623,400396,195,2
624,400396,38,2
625,400396,34,3
626,400397,86,3
627,400398,124,1
628,400400,13,2
629,400400,197,2
630,400401,179,3
631,400401,181,3
632,400402,79,2
633,400402,20,3
634,400402,43,2
635,400403,45,2
636,400403,85,2
637,400403,153,1
638,400404,116,2
639,400405,179,3
640,400405,88,1
641,400405,13,2
642,400406,172,3
643,400406,194,2
644,400406,171,2
645,400407,105,1
646,400407,89,1
647,400408,55,3
648,400408,83,3
649,400408,150,3
650,400410,5,3
651,400410,196,1
652,400411,149,1
653,400411,11,2
654,400411,29,3
655,400413,96,3
656,400415,160,1
657,400415,77,3
658,400416,70,2
659,400417,175,2
660,400418,162,2
661,400418,13,2
662,400420,162,2
663,400420,27,2
664,400420,119,2
665,400421,92,2
666,400421,95,1
667,400421,164,1
668,400422,159,2
669,400422,75,3
670,400422,178,2
671,400423,179,3
672,400423,38,3
673,400423,180,1
674,400424,136,2
675,400424,174,1
676,400424,119,1
677,400425,106,3
678,400427,49,2
679,400427,127,1
680,400428,191,1
681,400428,142,2
682,400428,112,1
683,400429,159,2
684,400429,70,1
685,400429,4,3
686,400430,39,1
687,400430,135,3
688,400431,49,2
689,400431,28,3
690,400432,7,3
691,400432,149,1
692,400433,169,1
693,400434,20,2
694,400434,69,2
695,400434,90,2
696,400437,143,3
697,400440,18,1
698,400441,59,3
699,400441,87,2
700,400441,64,3
701,400442,69,2
702,400442,50,3
703,400444,30,2
704,400444,185,2
705,400445,22,3
706,400446,110,3
707,400446,7,1
708,400447,197,1
709,400448,66,2
710,400448,38,2
711,400449,95,3
712,400449,93,2
713,400449,118,2
714,400451,71,2
715,400451,67,3
716,400452,58,1
717,400452,177,2
718,400452,172,2
719,400453,137,3
720,400453,182,1
721,400454,26,1
722,400454,89,3
723,400454,112,1
724,400456,155,2
725,400456,67,3
726,400456,58,1
727,400457,118,1
728,400457,59,2
729,400458,192,3
730,400461,46,3
731,400461,57,2
732,400462,131,3
733,400463,41,3
734,400463,52,1
735,400464,101,1
736,400464,76,1
737,400464,7,3
738,400465,37,2
739,400465,115,2
740,400465,150,2
741,400466,75,1
742,400466,29,1
743,400466,90,1
744,400467,148,2
745,400467,26,3
746,400468,67,2
747,400470,175,1
748,400470,118,2
749,400470,102,1
750,400471,94,2
751,400471,99,2
752,400472,177,2
753,400472,174,1
754,400472,136,1
755,400473,106,2
756,400474,50,2
757,400474,113,1
758,400476,1,3
759,400477,54,1
760,400478,93,2
761,400478,148,2
762,400478,145,2
763,400479,78,1
764,400482,148,2
765,400483,1,1
766,400483,32,3
767,400485,154,3
768,400485,54,2
769,400486,109,1
770,400486,121,3
771,400486,132,3
772,400487,68,3
773,400487,15,1
774,400487,166,2
775,400488,166,3
776,400488,94,3
777,400488,78,3
778,400489,104,1
779,400490,30,1
780,400493,99,2
781,400493,149,1
782,400493,36,1
783,400494,193,3
784,400494,61,1
785,400494,23,2
786,400497,27,2
787,400497,200,1
788,400497,157,1
789,400498,157,1
790,400498,151,2
791,400500,24,2
792,400502,182,1
793,400502,126,2
794,400503,27,1
795,400503,193,1
796,400503,114,3
797,400507,165,1
798,400508,186,1
799,400508,60,2
800,400509,50,2
801,400513,128,1
802,400514,119,3
803,400514,104,2
804,400515,100,2
805,400516,19,2
806,400516,200,1
807,400518,4,1
808,400518,66,3
809,400518,188,2
810,400523,119,3
811,400523,94,3
812,400526,200,1
813,400527,150,3
814,400527,130,1
815,400527,164,1
816,400529,87,2
817,400529,10,3
818,400529,144,2
819,400532,145,3
820,400533,185,3
821,400533,155,2
822,400534,4,2
823,400534,94,2
824,400534,3,1
825,400536,33,1
826,400536,129,1
827,400536,137,1
828,400538,106,2
829,400538,84,3
830,400538,141,2
831,400539,100,1
832,400539,117,2
833,400543,133,3
834,400544,116,2
835,400545,76,3
836,400545,60,1
837,400545,25,2
838,400546,68,3
839,400546,72,1
840,400546,9,3
841,400548,2,1
842,400548,164,3
843,400549,118,1
844,400549,129,3
845,400550,49,3
846,400550,148,2
847,400550,117,3
848,400555,143,2
849,400555,144,2
850,400556,54,1
851,400556,17,1
852,400556,147,1
853,400557,47,3
854,400557,68,3
855,400557,193,2
856,400558,166,3
857,400558,62,2
858,400559,122,3
859,400562,78,2
860,400562,22,3
861,400562,194,2
862,400563,16,1
863,400563,61,3
864,400564,25,3
865,400564,166,2
866,400565,199,2
867,400565,138,1
868,400565,123,1
869,400566,185,2
870,400566,200,1
871,400566,50,2
872,400567,143,3
873,400567,110,2
874,400567,154,2
875,400568,109,2
876,400571,190,1
877,400571,126,3
878,400571,125,2
879,400572,40,1
880,400572,67,2
881,400574,66,1
882,400575,81,1
883,400575,7,1
884,400576,187,1
885,400576,57,3
886,400579,14,3
887,400579,171,3
888,400579,3,3
889,400581,179,2
890,400581,88,3
891,400582,159,3
892,400582,170,3
893,400582,99,2
894,400583,66,2
895,400583,44,3
896,400583,107,1
897,400584,138,3
898,400584,87,2
899,400584,175,1
900,400587,87,3
901,400587,59,2
902,400589,151,3
903,400589,111,3
904,400589,79,1
905,400591,188,1
906,400591,102,2
907,400592,66,1
908,400592,200,1
909,400592,109,2
910,400593,51,2
911,400593,191,1
912,400594,17,3
913,400594,10,1
914,400595,103,3
915,400595,108,2
916,400595,120,2
917,400596,132,3
918,400596,6,3
919,400597,44,1
920,400597,187,3
921,400600,119,1
922,400600,105,2
923,400600,192,1
924,400601,140,2
925,400601,1,3
926,400601,156,2
927,400602,22,1
928,400604,163,1
929,400604,126,3
930,400607,182,2
931,400607,183,2
932,400608,17,1
933,400608,75,2
934,400608,176,2
935,400609,125,1
936,400610,65,2
937,400610,20,3
938,400610,37,1
939,400612,85,1
940,400612,100,1
941,400612,110,2
942,400613,174,1
943,400613,13,3
944,400614,177,3
945,400614,52,3
946,400614,100,1
947,400616,18,1
948,400617,79,3
949,400617,130,2
950,400617,60,2
951,400619,9,1
952,400619,73,2
953,400620,198,2
954,400621,154,1
955,400621,155,2
956,400622,49,2
957,400623,44,3
958,400623,93,1
959,400624,142,1
960,400624,199,1
961,400625,171,3
962,400625,151,2
963,400626,75,2
964,400626,14,3
965,400626,68,2
966,400627,87,1
967,400627,99,2
968,400628,127,1
969,400628,182,1
970,400629,94,3
971,400629,155,1
972,400630,191,1
973,400630,26,2
974,400630,2,2
975,400632,170,3
976,400632,24,1
977,400632,160,3
978,400633,32,3
979,400633,171,1
980,400634,74,3
981,400634,6,1
982,400634,86,1
983,400637,34,1
984,400637,161,2
985,400638,40,2
986,400639,148,2
987,400642,108,1
988,400643,113,3
989,400643,25,1
990,400644,174,1
991,400644,21,2
992,400644,135,3
993,400645,4,3
994,400645,16,2
995,400645,187,1
996,400646,164,1
997,400646,81,2
998,400646,88,2
999,400647,60,1
1000,400648,49,2
1001,400649,147,2
1002,400649,172,3
1003,400649,34,2
1004,400650,108,1
1005,400651,118,1
1006,400651,81,2
1007,400651,137,1
1008,400652,170,2
1009,400652,107,2
1010,400652,143,1
1011,400653,75,1
1012,400653,47,1
1013,400653,104,1
1014,400654,146,3
1015,400655,110,2
1016,400655,71,1
1017,400657,50,1
1018,400657,70,1
1019,400658,49,2
1020,400658,19,3
1021,400661,98,3
1022,400661,66,3
1023,400662,101,2
1024,400662,4,3
1025,400663,165,1
1026,400663,64,3
1027,400663,2,2
1028,400664,24,3
1029,400666,50,2
1030,400667,85,3
1031,400668,11,3
1032,400670,75,3
1033,400671,131,1
1034,400671,194,1
1035,400672,28,2
1036,400674,73,2
1037,400674,62,3
1038,400675,17,2
1039,400675,15,1
1040,400676,160,1
1041,400678,139,2
1042,400678,164,2
1043,400679,52,2
1044,400679,187,1
1045,400680,120,3
1046,400680,98,1
1047,400680,36,2
1048,400681,200,1
1049,400681,190,3
1050,400681,149,1
1051,400683,105,3
1052,400684,146,2
1053,400690,61,2
1054,400690,129,2
1055,400691,40,2
1056,400691,187,3
1057,400692,49,1
1058,400693,89,2
1059,400694,105,2
1060,400694,116,2
1061,400694,196,1
1062,400695,47,3
1063,400695,157,3
1064,400696,48,1
1065,400696,178,2
1066,400696,150,3
1067,400697,70,1
1068,400697,160,3
1069,400697,173,3
1070,400698,22,1
1071,400698,184,3
1072,400699,170,3
1073,400699,72,3
1074,400700,44,2
1075,400700,114,1
1076,400700,6,3
1077,400701,31,1
1078,400701,136,1
1079,400702,72,2
1080,400702,64,1
1081,400702,109,2
1082,400704,53,2
1083,400704,119,3
1084,400704,47,1
1085,400705,190,3
1086,400706,14,3
1087,400706,2,2
1088,400706,167,2
1089,400707,50,1
1090,400707,199,3
1091,400707,155,3
1092,400709,147,2
1093,400709,41,3
1094,400710,46,3
1095,400711,24,2
1096,400711,164,1
1097,400711,81,2
1098,400712,20,3
1099,400712,140,3
1100,400712,120,2
1101,400713,5,3
1102,400713,45,2
1103,400713,3,3
1104,400715,53,1
1105,400715,109,1
1106,400717,93,3
1107,400717,76,3
1108,400718,169,2
1109,400718,147,1
1110,400718,146,2
1111,400719,41,3
1112,400719,176,2
1113,400719,149,1
1114,400723,65,1
1115,400724,173,1
1116,400724,187,1
1117,400725,16,2
1118,400725,15,1
1119,400725,65,3
1120,400726,61,3
1121,400726,86,2
1122,400727,70,1
1123,400728,66,3
1124,400729,59,3
1125,400729,76,1
1126,400729,2,1
1127,400730,34,3
1128,400730,150,2
1129,400731,100,1
1130,400731,11,2
1131,400731,42,1
1132,400732,114,1
1133,400732,24,2
1134,400732,52,2
1135,400733,63,2
1136,400733,100,3
1137,400733,21,1
1138,400734,72,1
1139,400735,107,2
1140,400736,78,1
1141,400736,93,1
1142,400736,8,1
1143,400737,19,2
1144,400737,179,1
1145,400738,196,2
1146,400738,84,2
1147,400738,65,1
1148,400739,136,1
1149,400739,92,2
1150,400739,76,3
1151,400740,163,1
1152,400741,41,2
1153,400741,171,2
1154,400741,93,1
1155,400742,84,2
1156,400743,106,3
1157,400743,88,2
1158,400743,134,1
1159,400745,36,3
1160,400745,4,1
1161,400746,29,3
1162,400747,37,1
1163,400752,117,1
1164,400752,85,2
1165,400753,82,1
1166,400753,87,1
1167,400754,136,1
1168,400755,139,3
1169,400756,193,1
1170,400756,143,2
1171,400757,178,2
1172,400757,77,1
1173,400757,75,3
1174,400758,3,1
1175,400758,124,3
1176,400760,51,1
1177,400760,32,2
1178,400760,50,3
1179,400761,74,1
1180,400761,135,1
1181,400762,25,2
1182,400762,129,1
1183,400762,134,1
1184,400763,140,3
1185,400763,92,2
1186,400763,198,3
1187,400764,108,3
1188,400765,23,1
1189,400765,68,1
1190,400766,133,1
1191,400766,113,3
1192,400767,86,1
1193,400767,138,2
1194,400768,147,1
1195,400769,93,2
1196,400769,179,3
1197,400769,119,3
1198,400770,199,1
1199,400770,127,3
1200,400771,151,3
1201,400771,149,2
1202,400772,168,3
1203,400772,84,1
1204,400772,175,3
1205,400774,113,1
1206,400775,172,2
1207,400777,153,1
1208,400777,182,2
1209,400777,83,3
1210,400779,21,2
1211,400779,27,2
1212,400780,156,1
1213,400780,46,2
1214,400781,39,2
1215,400783,30,2
1216,400783,142,2
1217,400783,13,1
1218,400785,174,3
1219,400785,7,3
1220,400785,147,1
1221,400786,158,3
1222,400786,27,3
1223,400789,51,1
1224,400790,16,1
1225,400790,84,1
1226,400790,44,2
1227,400791,119,2
1228,400792,137,3
1229,400792,130,1
1230,400793,7,1
1231,400793,40,1
1232,400794,17,3
1233,400794,179,2
1234,400794,65,3
1235,400796,9,1
1236,400796,108,1
1237,400797,41,2
1238,400797,185,3
1239,400798,98,1
1240,400799,131,2
1241,400802,16,2
1242,400802,77,3
1243,400802,135,3
1244,400803,32,1
1245,400804,198,3
1246,400804,79,1
1247,400804,49,2
1248,400805,18,3
1249,400808,169,3
1250,400808,192,2
1251,400808,122,3
1252,400809,66,2
1253,400809,91,1
1254,400809,20,1
1255,400811,160,1
1256,400811,104,3
1257,400812,1,2
1258,400812,4,2
1259,400814,20,2
1260,400814,66,1
1261,400815,118,3
1262,400817,118,3
1263,400817,126,1
1264,400818,4,2
1265,400818,24,3
1266,400820,175,1
1267,400820,193,3
1268,400820,68,2
1269,400821,100,1
1270,400821,22,2
1271,400822,152,2
1272,400822,159,2
1273,400823,5,2
1274,400823,185,1
1275,400823,72,1
1276,400824,125,2
1277,400825,157,3
1278,400827,63,3
1279,400827,25,2
1280,400827,182,1
1281,400829,132,2
1282,400829,168,2
1283,400830,60,1
1284,400830,156,1
1285,400831,27,2
1286,400833,22,2
1287,400833,105,2
1288,400833,143,1
1289,400838,80,2
1290,400838,10,2
1291,400839,173,3
1292,400839,2,3
1293,400839,70,1
1294,400841,15,3
1295,400842,141,2
1296,400842,3,2
1297,400843,100,3
1298,400843,128,3
1299,400844,87,3
1300,400845,168,1
1301,400846,77,1
1302,400847,2,2
1303,400849,13,3
1304,400850,46,3
1305,400851,164,1
1306,400851,166,2
1307,400851,48,2
1308,400853,80,3
1309,400853,136,3
1310,400853,48,1
1311,400855,132,3
1312,400855,100,1
1313,400855,148,3
1314,400856,26,2
1315,400856,68,2
1316,400857,138,2
1317,400857,126,1
1318,400857,182,1
1319,400858,192,1
1320,400859,120,3
1321,400859,196,1
1322,400859,129,1
1323,400860,62,1
1324,400861,14,3
1325,400861,106,2
1326,400861,75,2
1327,400863,187,3
1328,400863,141,2
1329,400865,53,1
1330,400865,66,3
1331,400867,60,3
1332,400867,176,1
1333,400869,170,1
1334,400869,186,2
1335,400869,84,1
1336,400871,98,3
1337,400871,33,3
1338,400872,33,1
1339,400872,161,3
1340,400872,59,1
1341,400873,58,3
1342,400873,176,2
1343,400873,154,3
1344,400875,133,3
1345,400876,2,1
1346,400876,187,2
1347,400877,172,2
1348,400878,50,3
1349,400879,124,2
1350,400879,56,3
1351,400880,85,2
1352,400880,90,3
1353,400880,93,3
1354,400881,20,3
1355,400882,164,1
1356,400882,1,3
1357,400883,12,1
1358,400883,22,1
1359,400884,25,1
1360,400884,136,3
1361,400884,73,1
1362,400885,200,2
1363,400885,47,2
1364,400885,58,2
1365,400887,182,3
1366,400888,16,1
1367,400889,162,3
1368,400890,42,3
1369,400891,97,2
1370,400892,179,3
1371,400893,1,2
1372,400895,120,2
1373,400896,48,1
1374,400896,40,1
1375,400897,180,1
1376,400897,123,3
1377,400898,56,3
1378,400898,179,3
1379,400898,127,1
1380,400899,197,2
1381,400900,130,1
1382,400901,24,2
1383,400901,31,2
1384,400902,31,2
1385,400903,176,3
1386,400905,57,2
1387,400905,32,3
1388,400905,30,2
1389,400906,7,2
1390,400907,62,1
1391,400907,3,2
1392,400908,138,1
1393,400910,39,2
1394,400911,14,1
1395,400911,151,3
1396,400913,97,2
1397,400913,155,3
1398,400913,115,3
1399,400914,98,3
1400,400914,176,3
1401,400914,81,2
1402,400916,17,2
1403,400916,164,1
1404,400916,120,3
1405,400917,135,1
1406,400918,172,3
1407,400918,173,2
1408,400918,128,3
1409,400920,1,3
1410,400922,185,3
1411,400922,94,2
1412,400923,152,1
1413,400924,192,2
1414,400924,120,2
1415,400926,179,3
1416,400928,114,1
1417,400929,131,3
1418,400929,121,3
1419,400931,183,2
1420,400931,51,2
1421,400931,156,1
1422,400932,38,3
1423,400932,181,3
1424,400933,156,2
1425,400935,193,2
1426,400935,89,2
1427,400935,168,2
1428,400936,61,2
1429,400936,172,1
1430,400936,200,3
1431,400937,43,3
1432,400939,165,2
1433,400939,32,2
1434,400940,60,2
1435,400940,32,1
1436,400941,159,2
1437,400941,141,2
1438,400942,144,3
1439,400942,130,1
1440,400942,34,1
1441,400943,139,2
1442,400943,184,1
1443,400944,57,2
1444,400944,23,2
1445,400945,40,1
1446,400945,93,3
1447,400945,187,2
1448,400946,46,2
1449,400947,189,3
1450,400948,136,2
1451,400948,49,1
1452,400949,168,3
1453,400950,132,2
1454,400950,125,1
1455,400950,153,1
1456,400951,136,2
1457,400951,143,1
1458,400952,109,3
1459,400952,127,3
1460,400953,65,2
1461,400953,59,1
1462,400953,13,2
1463,400954,93,1
1464,400954,110,3
1465,400955,116,2
1466,400955,28,2
1467,400955,22,2
1468,400956,140,2
1469,400957,7,3
1470,400957,190,3
1471,400958,82,3
1472,400958,53,1
1473,400959,170,1
1474,400960,25,1
1475,400961,26,2
1476,400961,154,3
1477,400961,88,2
1478,400962,18,2
1479,400963,16,3
1480,400964,159,1
1481,400966,77,1
1482,400966,43,3
1483,400967,132,2
1484,400967,113,1
1485,400967,10,2
1486,400968,173,3
1487,400969,51,3
1488,400969,49,1
1489,400969,135,2
1490,400970,157,3
1491,400970,136,1
1492,400970,173,1
1493,400971,36,1
1494,400973,14,3
1495,400973,52,2
