product_id,sku,product_name,category_id,unit_cost,list_price,active_flag
69,BRO-000069,Outdoor Product 0069,2,176.91,372.77,1
70,BRO-000070,Outdoor Product 0070,12,65.8,263.13,1
71,BRO-000071,Outdoor Product 0071,4,179.94,224.92,1
72,BRO-000072,Outdoor Product 0072,7,54.3,67.88,1
73,BRO-000073,Outdoor Product 0073,11,51.3,374.9,1
74,BRO-000074,Outdoor Product 0074,9,87.55,222.23,1
75,BRO-000075,Outdoor Product 0075,11,107.31,354.33,1
76,BRO-000076,Outdoor Product 0076,8,17.19,92.47,1
77,BRO-000077,Outdoor Product 0077,7,42.88,266.33,1
78,BRO-000078,Outdoor Product 0078,2,119.86,332.92,1
79,BRO-000079,Outdoor Product 0079,6,118.77,149.58,1
80,BRO-000080,Outdoor Product 0080,7,104.41,130.51,1
81,BRO-000081,Outdoor Product 0081,11,101.28,126.6,1
82,BRO-000082,Outdoor Product 0082,1,133.19,166.49,1
83,BRO-000083,Outdoor Product 0083,12,162.97,207.86,1
84,BRO-000084,Outdoor Product 0084,1,47.03,144.14,1
85,BRO-000085,Outdoor Product 0085,2,97.39,296.51,1
86,BRO-000086,Outdoor Product 0086,1,83.03,222.56,1
87,BRO-000087,Outdoor Product 0087,3,161.77,338.3,1
88,BRO-000088,Outdoor Product 0088,7,72.9,404.2,1
89,BRO-000089,Outdoor Product 0089,7,148.97,383.21,1
90,BRO-000090,Outdoor Product 0090,2,163.58,204.48,1
91,BRO-000091,Outdoor Product 0091,9,122.14,152.68,1
92,BRO-000092,Outdoor Product 0092,1,161.49,348.91,1
93,BRO-000093,Outdoor Product 0093,12,142.19,177.74,1
94,BRO-000094,Outdoor Product 0094,2,138.5,407.58,1
95,BRO-000095,Outdoor Product 0095,7,31.12,374.81,1
96,BRO-000096,Outdoor Product 0096,7,21.53,238.93,1
97,BRO-000097,Outdoor Product 0097,3,43.52,179.81,1
98,BRO-000098,Outdoor Product 0098,8,83.0,408.49,1
99,BRO-000099,Outdoor Product 0099,3,74.46,95.95,1
100,BRO-000100,Outdoor Product 0100,3,28.32,274.5,1
101,BRO-000101,Outdoor Product 0101,1,103.15,128.94,1
102,BRO-000102,Outdoor Product 0102,11,102.46,128.07,1
103,BRO-000103,Outdoor Product 0103,6,23.56,181.4,1
104,BRO-000104,Outdoor Product 0104,3,36.99,66.35,1
105,BRO-000105,Outdoor Product 0105,10,146.18,184.31,1
106,BRO-000106,Outdoor Product 0106,6,40.32,263.64,1
107,BRO-000107,Outdoor Product 0107,9,120.65,263.95,1
108,BRO-000108,Outdoor Product 0108,8,143.05,316.36,1
109,BRO-000109,Outdoor Product 0109,4,40.12,168.06,1
110,BRO-000110,Outdoor Product 0110,8,14.28,302.34,1
111,BRO-000111,Outdoor Product 0111,1,156.61,234.96,1
112,BRO-000112,Outdoor Product 0112,3,151.68,205.29,1
113,BRO-000113,Outdoor Product 0113,5,30.99,65.61,1
114,BRO-000114,Outdoor Product 0114,3,175.51,219.39,1
115,BRO-000115,Outdoor Product 0115,8,147.85,211.04,1
116,BRO-000116,Outdoor Product 0116,4,132.63,237.31,1
117,BRO-000117,Outdoor Product 0117,6,57.12,91.05,1
118,BRO-000118,Outdoor Product 0118,7,62.26,77.82,1
119,BRO-000119,Outdoor Product 0119,12,60.04,321.71,1
120,BRO-000120,Outdoor Product 0120,11,43.29,362.43,1
121,BRO-000121,Outdoor Product 0121,10,102.82,128.52,1
122,BRO-000122,Outdoor Product 0122,3,145.09,181.36,1
123,BRO-000123,Outdoor Product 0123,3,87.59,277.7,1
124,BRO-000124,Outdoor Product 0124,6,62.15,245.95,1
125,BRO-000125,Outdoor Product 0125,2,137.56,171.95,1
126,BRO-000126,Outdoor Product 0126,3,89.35,284.74,1
127,BRO-000127,Outdoor Product 0127,3,54.24,67.8,1
128,BRO-000128,Outdoor Product 0128,10,165.41,320.93,1
129,BRO-000129,Outdoor Product 0129,2,166.58,208.23,1
130,BRO-000130,Outdoor Product 0130,5,92.39,238.61,1
131,BRO-000131,Outdoor Product 0131,1,77.11,357.19,1
132,BRO-000132,Outdoor Product 0132,2,38.29,415.23,1
133,BRO-000133,Outdoor Product 0133,2,116.5,145.62,1
134,BRO-000134,Outdoor Product 0134,9,101.13,126.41,1
135,BRO-000135,Outdoor Product 0135,12,8.95,98.28,1
136,BRO-000136,Outdoor Product 0136,7,172.26,215.32,1
137,BRO-000137,Outdoor Product 0137,1,18.95,396.44,1
138,BRO-000138,Outdoor Product 0138,8,54.74,189.62,1
139,BRO-000139,Outdoor Product 0139,3,95.26,191.45,1
140,BRO-000140,Outdoor Product 0140,3,14.99,87.31,1
141,BRO-000141,Outdoor Product 0141,4,168.67,210.84,1
142,BRO-000142,Outdoor Product 0142,4,131.75,286.11,1
143,BRO-000143,Outdoor Product 0143,2,119.39,149.24,1
144,BRO-000144,Outdoor Product 0144,4,123.58,199.69,1
145,BRO-000145,Outdoor Product 0145,3,168.06,260.95,1
146,BRO-000146,Outdoor Product 0146,11,162.25,202.81,1
147,BRO-000147,Outdoor Product 0147,3,16.79,273.12,1
148,BRO-000148,Outdoor Product 0148,4,36.45,349.28,1
149,BRO-000149,Outdoor Product 0149,4,26.05,177.09,1
150,BRO-000150,Outdoor Product 0150,9,54.46,365.07,1
